D,eta,g_proxy_canonical,g_grad_box,s_part,s_schur
16.8,0.39,1.4428274553853089,0.32876769342679707,0.41886213179953374,0.4456599089594255
17.6,0.39,1.438279476101113,0.32473657353727653,0.42745169286002216,0.42872758961253354
4.0,0.5800000000000001,1.4953524386277817,0.41295141543213154,0.33587564316797797,0.60808693384843
4.8,0.5800000000000001,1.4693076375066296,0.38466729464169885,0.32676955384061085,0.5723249703111746
5.6,0.5800000000000001,1.5608864425357913,0.5105467923017972,0.31773841666217256,0.7238459600508302
6.4,0.5800000000000001,1.509029568862964,0.4270330351136585,0.34270807311871954,0.6250892961104979
7.2,0.5800000000000001,1.3600855232491138,0.26533709656937393,0.3821262833064535,0.32529247670651545
8.0,0.5800000000000001,1.3537138107010258,0.2640693422454314,0.392971732431408,0.3009668631491958
8.8,0.5800000000000001,1.4594919042268744,0.3471512818925813,0.39831748767027503,0.49518382046834075
9.6,0.5800000000000001,1.5153351352762567,0.4075824775714261,0.4030529892624549,0.5877057673187668
10.4,0.5800000000000001,1.506735118284341,0.39658387862107947,0.4055918296915858,0.5710137958590644
11.2,0.5800000000000001,1.4928987059530836,0.38052980562942823,0.40672458170293435,0.5463024984393767
12.0,0.5800000000000001,1.4712894607480065,0.35710346528126596,0.40717553224224773,0.5080968113572326
12.8,0.5800000000000001,1.4961384660350219,0.37877665897169693,0.42393573075394975,0.5367663858602256
13.6,0.5800000000000001,1.4639698111540123,0.34674688383005253,0.4263403196051111,0.4772061746196337
14.4,0.5800000000000001,1.4527791924801534,0.336964077448433,0.4245320808501668,0.458495488674833
15.2,0.5800000000000001,1.4745748408474033,0.3571484343413607,0.42274949912413706,0.4996953204607429
16.0,0.5800000000000001,1.455285949928889,0.33956442946984494,0.420249598537704,0.4671970154187549
16.8,0.5800000000000001,1.4428274553853089,0.32876769342679707,0.41886213179953374,0.4456599089594255
17.6,0.5800000000000001,1.4382794761011128,0.32473657353727653,0.42745169286002205,0.42872758961253354
18.4,0.5800000000000001,1.4027572566578366,0.30004618428696017,0.43211885655718146,0.35572129065108377
4.0,0.77,1.4954217041143887,0.41324095323956805,0.3354648987777554,0.6085124150333935
4.8,0.77,1.4693016191864108,0.3846540081114127,0.3267822549569517,0.5723050559794319
5.6,0.77,1.560885815930051,0.51054370364758,0.3177421346058121,0.7238425345119697
6.4,0.77,1.5090295376652265,0.427032788551545,0.34270848497945783,0.6250889351791543
7.2,0.77,1.3600855290803058,0.2653371046838677,0.38212631499972277,0.3252924546170882
8.0,0.77,1.3537138116063565,0.26406934336557525,0.39297173492748133,0.30096686222665314
8.8,0.77,1.4594919040699215,0.3471512816433772,0.3983174880117796,0.49518381987914584
9.6,0.77,1.5153351354033042,0.4075824778644974,0.40305298889944363,0.5877057678345001
10.4,0.77,1.5067351178727955,0.39658387936779343,0.4055918263652605,0.5710137979776024
11.2,0.77,1.4928987084580494,0.3805298170932147,0.40672455521826595,0.5463025258049385
12.0,0.77,1.471289429289476,0.35710339232798777,0.4071756846007332,0.5080966179312001
12.8,0.77,1.4961386718437677,0.3787768652700375,0.4239357804316193,0.5367667015231896
13.6,0.77,1.4639691512046775,0.3467464094337733,0.426339203134154,0.47720603670492895
14.4,0.77,1.452790298546081,0.33697495616292483,0.4245161381809065,0.45853130004990217
15.2,0.77,1.4745837983240087,0.3571646138488248,0.4227035683481482,0.49975387452811976
16.0,0.77,1.4546396158520194,0.33890110451811434,0.42109662939035714,0.46520771793067967
16.8,0.77,1.4465342891757842,0.3319978555642088,0.4183595920832637,0.4529811182178187
17.6,0.77,1.4382794761011128,0.32473657353727653,0.42745169286002205,0.42872758961253354
18.4,0.77,1.4027572566578366,0.30004618428696017,0.43211885655718146,0.35572129065108377
4.0,0.96,1.4954876408511717,0.413521959614087,0.3350636694193056,0.6089249411237828
4.8,0.96,1.469295603130422,0.3846407009393252,0.32679500831904096,0.5722851040470446
5.6,0.96,1.5608851893153137,0.5105406149283466,0.31774585266497246,0.7238391088619615
6.4,0.96,1.509029506467058,0.42703254198990315,0.34270889683877287,0.6250885742479305
7.2,0.96,1.3600855349115468,0.26533711279847716,0.382126346693576,0.3252924325271379
