edge,edge_label,point_id,rho,z_rel,missing_component_count,exact_boundary_defect,flux_reconstruction_exact,flux_reconstruction_resid_abs,certified_boundary_defect_floor,certified_flux_floor,flux_floor_minus_boundary_floor,exact_poisson_weight,certified_poisson_weight_floor,exact_product,certified_product_floor,flux_certified_product_with_p_floor,point_flux_certificate_valid
outer_rho,out,21,0.69,-0.5749999999999993,1,7.615008989073255,7.615008989073284,2.930988785010413e-14,7.615,7.614999999999999,-8.881784197001252e-16,0.0003496079015337638,0.0003496,0.002662267312830649,0.002662204,0.0026622039999999996,True
outer_rho,out,22,0.69,-0.5450000000000017,1,7.228345808490463,7.228345808490451,1.2434497875801753e-14,7.228,7.2282,0.00020000000000042206,0.0003434663772725087,0.0003434,0.0024826937485151425,0.0024820951999999998,0.00248216388,True
outer_rho,out,23,0.69,-0.5150000000000006,1,6.834150267798501,6.834150267798492,8.881784197001252e-15,6.8340000000000005,6.834,-8.881784197001252e-16,0.00033577243208994555,0.0003357,0.0022947192566868556,0.0022941738,0.0022941738,True
outer_rho,out,24,0.69,-0.48499999999999943,1,6.433107792007611,6.433107792007621,9.769962616701378e-15,6.433,6.433,0.0,0.0003264019432550579,0.00032639999999999996,0.0020997788844805392,0.0020997311999999997,0.0020997311999999997,True
outer_rho,out,25,0.69,-0.45500000000000185,1,6.025908162207185,6.025908162207201,1.5987211554602254e-14,6.025,6.0258,0.0007999999999999119,0.00031519612223076713,0.00031509999999999996,0.0018993428856464332,0.0018984775,0.00189872958,True
outer_rho,out,26,0.69,-0.4250000000000007,1,5.613244270190241,5.613244270190211,2.930988785010413e-14,5.613,5.613199999999999,0.0001999999999986457,0.00030195320534894503,0.00030189999999999997,0.001694937099790543,0.0016945647,0.0016946250799999996,True
outer_rho,out,27,0.69,-0.3949999999999996,1,5.195810885465079,5.195810885465091,1.2434497875801753e-14,5.195,5.195799999999999,0.0007999999999990237,0.0002864164575290083,0.00028639999999999997,0.0014881657478055677,0.001487848,0.0014880771199999997,True
outer_rho,out,28,0.69,-0.365000000000002,1,4.774303439637313,4.774303439637335,2.220446049250313e-14,4.774,4.7741999999999996,0.00019999999999953388,0.0002682565093051988,0.0002682,0.0012807379750809094,0.0012803868000000002,0.0012804404399999999,True
outer_rho,out,29,0.69,-0.33500000000000085,1,4.349416833272415,4.349416833272446,3.108624468950438e-14,4.349,4.3494,0.00039999999999995595,0.00024704467295650836,0.000247,0.0010745002591273161,0.001074203,0.0010743018,True
outer_rho,out,30,0.69,-0.3049999999999997,1,3.9218442703458964,3.921844270345863,3.3306690738754696e-14,3.9210000000000003,3.9217999999999997,0.0007999999999994678,0.00022221138313902508,0.00022219999999999998,0.0008714784397694222,0.0008712462,0.0008714239599999998,True
outer_rho,out,31,0.69,-0.27500000000000213,1,3.4922761252068475,3.492276125206901,5.3290705182007514e-14,3.492,3.4922,0.00019999999999997797,0.00019297922380516404,0.0001929,0.0006739367359557233,0.0006736068,0.00067364538,True
outer_rho,out,32,0.69,-0.245000000000001,1,3.0613988466031117,3.0613988466031103,1.3322676295501878e-15,3.061,3.0612,0.00019999999999997797,0.00015825098174840327,0.0001582,0.00048446937299837184,0.0004842502,0.00048428184,True
outer_rho,out,33,0.69,-0.21499999999999986,1,2.6298939027115273,2.6298939027115593,3.197442310920451e-14,2.629,2.6298,0.0007999999999999119,0.00011641532697777706,0.0001164,0.0003061599586010247,0.0003060156,0.00030610872,True
bottom,bot,1,0.09,-1.205,1,7.072294261499018,7.0722942614990165,1.7763568394002505e-15,7.072,7.0722,0.00019999999999953388,0.00023926183745211872,0.0002392,0.0016921301200083301,0.0016916224,0.0016916702399999998,True
bottom,bot,2,0.15,-1.205,1,11.761209144571211,11.7612091445712,1.0658141036401503e-14,11.76,11.761166666666664,0.0011666666666645398,0.00023562414872796682,0.00023559999999999998,0.0027712248927011704,0.002770656,0.002770930866666666,True
