alpha,beta,lambda,j_parent_statement,u_overlap_max,u_overlap_p95,u_overlap_p50,xi_overlap_max,xi_overlap_p95
1.0,1.0,0.03,9.70017705067601e-10,0.00011991663731072749,0.00011991661224733412,0.0001152483988739513,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.035,1.7971857610902946e-09,0.00016321986745071243,0.00016321983333664926,0.00015686587624510041,0.13324070812303054,0.1332406802748157
1.0,1.0,0.035,1.7971857610902946e-09,0.00016321986745071243,0.00016321983333664926,0.00015686587624510041,0.13324070812303054,0.1332406802748157
1.0,1.0,0.03999999999999998,3.066132584586143e-09,0.00021318513299684865,0.0002131850884397049,0.0002048860424425799,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.04000000000000001,3.066132584586143e-09,0.00021318513299684898,0.00021318508843970522,0.0002048860424425802,0.13324070812303054,0.1332406802748157
1.0,1.0,0.044999999999999984,4.911738292292563e-09,0.0002698124339491367,0.0002698123775565016,0.00025930889746639024,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.04500000000000001,4.911738292292563e-09,0.000269812433949137,0.00026981237755650193,0.0002593088974663906,0.13324070812303054,0.1332406802748157
1.0,1.005,-0.14,6.4687153072671805e-09,0.0026215252049770444,0.002621524657538825,0.0025196915022135335,0.13375128596821653,0.13375125803769514
1.0,1.005,0.14,6.4687153072671805e-09,0.0026215252049770444,0.002621524657538825,0.0025196915022135335,0.13375128596821653,0.13375125803769514
1.005,1.005,-0.19,6.546980254121108e-09,0.004847961224336343,0.004847960212366791,0.00465950407619317,0.13429255469075743,0.13429252665835986
1.005,1.005,0.19,6.546980254121108e-09,0.004847961224336343,0.004847960212366791,0.00465950407619317,0.13429255469075743,0.13429252665835986
1.0,1.0,0.04999999999999999,7.486923654192586e-09,0.00033310177030757617,0.0003331017006870391,0.00032013444131653125,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.05000000000000002,7.486923654192586e-09,0.0003331017703075766,0.0003331017006870395,0.0003201344413165316,0.13324070812303054,0.1332406802748157
1.0,1.005,-0.14500000000000002,8.337257489637003e-09,0.0028121207874817534,0.0028121202002425413,0.002702883358879569,0.13375128596821653,0.13375125803769514
1.0,1.005,0.14500000000000002,8.337257489637003e-09,0.0028121207874817534,0.0028121202002425413,0.002702883358879569,0.13375128596821653,0.13375125803769514
1.005,1.005,-0.185,8.7504361768286e-09,0.004596162684291173,0.004596161724882366,0.0044174938229282895,0.13429255469075743,0.13429252665835986
