D,gap_ratio,r_on_shell,q_on_shell,q_single_pole,delta_q_abs,q_tail_floor,gap_separator,eps_delta_factor,actual_tail_mass_upper,actual_eps0_upper,actual_eps_delta_upper
7.0,1.5,0.24999622083210643,0.9411781443968663,0.9411781443968666,3.3306690738754696e-16,0.9729737680007422,0.031795623603875556,0.45945901777736536,1.0475243748543732e-14,1.0475243748543843e-14,4.812945203684441e-15
7.0,2.0,0.24999622083210643,0.9411781443968663,0.9411781443968666,3.3306690738754696e-16,0.9846158425846713,0.04343769818780463,0.2615381180614964,7.667692379727831e-15,7.66769237972789e-15,2.0053938348685092e-15
7.0,3.0,0.24999622083210643,0.9411781443968663,0.9411781443968666,3.3306690738754696e-16,0.9931036553421839,0.05192551094531728,0.11724119525139215,6.414321232934993e-15,6.414321232935034e-15,7.520226880756867e-16
8.0,1.25,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.9668676137771385,0.017689795906424277,0.6519276590402301,6.276064633521095e-15,6.276064633521135e-15,4.091540124516613e-15
8.0,1.5,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.9767560820357751,0.02757826416506093,0.4573577322023471,4.025717565036979e-15,4.025717565036995e-15,1.841193056032475e-15
8.0,2.0,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.9867909706979747,0.03761315282726052,0.25990677197651907,2.951688282351356e-15,2.9516882823513648e-15,7.671637733468594e-16
8.0,3.0,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.9940859207288851,0.04490810285817093,0.11636807046321332,2.472210924009572e-15,2.4722109240095783e-15,2.8768641500507233e-16
9.0,1.25,0.21556299385600938,0.9555959372185574,0.9555959372185573,1.1102230246251565e-16,0.9711197354306877,0.015523798212130457,0.6503968952449525,7.15174862140128e-15,7.151748621401331e-15,4.651475098931795e-15
9.0,1.5,0.21556299385600938,0.9555959372185574,0.9555959372185573,1.1102230246251565e-16,0.9797657026471395,0.02416976542858218,0.4556857207515892,4.59343731698882e-15,4.593437316988841e-15,2.093163794519306e-15
9.0,2.0,0.21556299385600938,0.9555959372185574,0.9555959372185573,1.1102230246251565e-16,0.9885165504433434,0.03292061322478612,0.2586125871674925,3.3724251035192236e-15,3.3724251035192347e-15,8.721515810497081e-16
9.0,3.0,0.21556299385600938,0.9555959372185574,0.9555959372185573,1.1102230246251565e-16,0.9948634751839182,0.039267537965360866,0.1156769109476283,2.827330365363164e-15,2.827330365363172e-15,3.27056842893641e-16
10.0,1.25,0.21177043249499855,0.9570781863129071,0.9570781863129071,0.0,0.9720989157905423,0.01502072947763522,0.6500443903154047,0.0,0.0,0.0
10.0,1.5,0.21177043249499855,0.9570781863129071,0.9570781863129071,0.0,0.9804576420007075,0.02337945568780042,0.45530130999960694,0.0,0.0,0.0
10.0,2.0,0.21177043249499855,0.9570781863129071,0.9570781863129071,0.0,0.988912629024768,0.031834442711860866,0.2583155282314242,0.0,0.0,0.0
10.0,3.0,0.21177043249499855,0.9570781863129071,0.9570781863129071,0.0,0.9950417384078611,0.037963552094954056,0.11551845474856791,0.0,0.0,0.0
11.0,1.25,0.19810712878741552,0.9622356804176413,0.962235680417641,3.3306690738754696e-16,0.9754977232153333,0.013262042797692386,0.6488208196424801,2.511429894084651e-14,2.511429894084714e-14,1.629468002354671e-14
11.0,1.5,0.19810712878741552,0.9622356804176413,0.962235680417641,3.3306690738754696e-16,0.9828561775240374,0.020620497106396463,0.4539687902644237,1.615222492789613e-14,1.615222492789639e-14,7.332606010595992e-15
11.0,2.0,0.19810712878741552,0.9622356804176413,0.962235680417641,3.3306690738754696e-16,0.9902837236813749,0.02804804326373389,0.25728720723896875,1.1874871421715267e-14,1.1874871421715407e-14,3.0552525044149993e-15
11.0,3.0,0.19810712878741552,0.9622356804176413,0.962235680417641,3.3306690738754696e-16,0.9956582183303794,0.033422537912738415,0.11497047259521838,9.965338606455865e-15,9.965338606455964e-15,1.1457196891556172e-15
12.0,1.25,0.19483639417943444,0.9634271302749896,0.9634271302749895,1.1102230246251565e-16,0.9762810744736075,0.012853944198617961,0.6485388131895014,8.637216775412221e-15,8.637216775412295e-15,5.6015703167863416e-15
12.0,1.5,0.19483639417943444,0.9634271302749896,0.9634271302749895,1.1102230246251565e-16,0.9834082762606438,0.01998114598565426,0.4536620687440868,5.556353101179765e-15,5.556353101179796e-15,2.5207066425538485e-15
12.0,2.0,0.19483639417943444,0.9634271302749896,0.9634271302749895,1.1102230246251565e-16,0.9905989140499538,0.02717178377496432,0.2570508144625346,4.085940893023371e-15,4.085940893023388e-15,1.0502944343974376e-15
12.0,3.0,0.19483639417943444,0.9634271302749896,0.9634271302749895,1.1102230246251565e-16,0.9957998026799724,0.03237267240498287,0.11484461984002453,3.4295068715249736e-15,3.4295068715249854e-15,3.938604128990388e-16
13.0,1.25,0.1835948288193278,0.967392056767927,0.9673920567679269,1.1102230246251565e-16,0.9788830271528128,0.01149097038488589,0.6476021102249874,9.66169946870141e-15,9.661699468701505e-15,6.256936964290734e-15
13.0,1.5,0.1835948288193278,0.967392056767927,0.9673920567679269,1.1102230246251565e-16,0.985240199260959,0.017848142493032015,0.45264433374391166,6.220384138341522e-15,6.220384138341561e-15,2.8156216339308117e-15
13.0,2.0,0.1835948288193278,0.967392056767927,0.9673920567679269,1.1102230246251565e-16,0.9916436516935794,0.02425159492565243,0.2562672612298155,4.577938185215209e-15,4.5779381852152296e-15,1.1731756808044987e-15
13.0,3.0,0.1835948288193278,0.967392056767927,0.9673920567679269,1.1102230246251565e-16,0.9962687453842636,0.028876688616336632,0.11442778188065461,3.844703384712406e-15,3.8447033847124205e-15,4.3994088030168737e-16
14.0,1.25,0.18040871656153307,0.9684786306124533,0.9684786306124532,1.1102230246251565e-16,0.9795947713217525,0.011116140709299338,0.6473458823241691,9.9874862477801e-15,9.987486247780199e-15,6.465358097269778e-15
14.0,1.5,0.18040871656153307,0.9684786306124533,0.9684786306124532,1.1102230246251565e-16,0.985740797161171,0.017262166548717817,0.45236622379934943,6.43153929428181e-15,6.4315392942818515e-15,2.909411143771414e-15
14.0,2.0,0.18040871656153307,0.9684786306124533,0.9684786306124532,1.1102230246251565e-16,0.9919288473142194,0.02345021670176617,0.25605336451433536,4.734382793748509e-15,4.734382793748531e-15,1.21225464323809e-15
14.0,3.0,0.18040871656153307,0.9684786306124533,0.9684786306124532,1.1102230246251565e-16,0.996396663763574,0.027918033151120847,0.1143140766546009,3.976723641724681e-15,3.976723641724697e-15,4.545954912142806e-16
15.0,1.25,0.17075690266696264,0.9716681772085642,0.9716681772085642,0.0,0.9816807874069295,0.010012610198365302,0.6465949165335053,0.0,0.0,0.0
15.0,1.5,0.17075690266696264,0.9716681772085642,0.9716681772085642,0.0,0.9872067136923686,0.015538536483804322,0.4515518257264619,0.0,0.0,0.0
15.0,2.0,0.17075690266696264,0.9716681772085642,0.9716681772085642,0.0,0.9927632720313426,0.021095094822778382,0.255427545976493,0.0,0.0,0.0
15.0,3.0,0.17075690266696264,0.9716681772085642,0.9716681772085642,0.0,0.9967706933395808,0.02510251613101655,0.11398160592037268,0.0,0.0,0.0
16.0,1.25,0.16823630920554344,0.9724755804551196,0.9724755804551197,1.1102230246251565e-16,0.9822080750245641,0.009732494569444361,0.6464050929911569,1.1407383962080551e-14,1.140738396208068e-14,7.373791090794594e-15
16.0,1.5,0.16823630920554344,0.9724755804551196,0.9724755804551197,1.1102230246251565e-16,0.98757695966099,0.015101379205870291,0.45134613352167224,7.351798862143562e-15,7.351798862143615e-15,3.3182059908575504e-15
16.0,2.0,0.16823630920554344,0.9724755804551196,0.9724755804551197,1.1102230246251565e-16,0.9929738521325131,0.020498271677393376,0.2552696109006152,5.416178700810038e-15,5.416178700810068e-15,1.3825858295239854e-15
16.0,3.0,0.16823630920554344,0.9724755804551196,0.9724755804551197,1.1102230246251565e-16,0.9968650305260703,0.024389450070950613,0.11389775064349301,4.552062557357547e-15,4.552062557357568e-15,5.184696860714934e-16
17.0,1.25,0.159593423412457,0.9751625505509887,0.9751625505509888,1.1102230246251565e-16,0.9839606164969306,0.008798065945941791,0.645774178061105,1.26189441116574e-14,1.261894411165756e-14,8.148988261704682e-15
17.0,1.5,0.159593423412457,0.9751625505509887,0.9751625505509888,1.1102230246251565e-16,0.9888066816455532,0.013644131094564416,0.4506629546413593,8.13700056771992e-15,8.137000567719986e-15,3.667044717767107e-15
17.0,2.0,0.159593423412457,0.9751625505509887,0.9751625505509888,1.1102230246251565e-16,0.9936727735117056,0.018510222960716805,0.2547454198662208,5.997891149022461e-15,5.997891149022497e-15,1.5279352990696255e-15
17.0,3.0,0.159593423412457,0.9751625505509887,0.9751625505509888,1.1102230246251565e-16,0.9971779795816796,0.02201542903069087,0.11361957370517374,5.042931587103922e-15,5.042931587103947e-15,5.729757371511057e-16
18.0,1.25,0.15191474205043914,0.9774424952467297,0.9774424952467295,1.1102230246251565e-16,0.9854450001456837,0.008002504898954155,0.6452397999475539,1.3873443860937233e-14,1.3873443860937426e-14,8.951698141414885e-15
18.0,1.5,0.15191474205043914,0.9774424952467297,0.9774424952467295,1.1102230246251565e-16,0.9898472080807817,0.0124047128340522,0.4500848843995658,8.950009883158932e-15,8.950009883159013e-15,4.028264163636596e-15
18.0,2.0,0.15191474205043914,0.9774424952467297,0.9774424952467295,1.1102230246251565e-16,0.9942635742228817,0.01682107897615215,0.25430231933283864,6.600189121037716e-15,6.60018912103776e-15,1.678443401515272e-15
18.0,3.0,0.15191474205043914,0.9774424952467297,0.9774424952467295,1.1102230246251565e-16,0.9974423263741047,0.019999831127375134,0.11338459877857363,5.5511619950906414e-15,5.551161995090672e-15,6.294162755682222e-16
19.0,1.25,0.1500178154398872,0.9779899977437568,0.9779899977437568,0.0,0.9858010920776579,0.007811094333901036,0.6451116068520432,0.0,0.0,0.0
19.0,1.5,0.1500178154398872,0.9779899977437568,0.9779899977437568,0.0,0.9900966811808058,0.012106683437049015,0.44994628823288557,0.0,0.0,0.0
19.0,2.0,0.1500178154398872,0.9779899977437568,0.9779899977437568,0.0,0.994405142313207,0.016415144569450146,0.25419614326509476,0.0,0.0,0.0
19.0,3.0,0.1500178154398872,0.9779899977437568,0.9779899977437568,0.0,0.9975056434893713,0.019515645745614485,0.11332831689833654,0.0,0.0,0.0
20.0,1.25,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.9870753580559877,0.007124352675311418,0.6446528710998445,3.116698667859327e-14,3.1166986678594245e-14,2.0091887445886386e-14
20.0,1.5,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.9909889678721641,0.011037962491487807,0.4494505734043533,2.011644858335643e-14,2.0116448583356836e-14,9.04134935064892e-15
20.0,2.0,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.9949112328462051,0.01496022746552883,0.2538165753653463,1.4842328128811125e-14,1.4842328128811343e-14,3.767228896103644e-15
20.0,3.0,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.9977319136186024,0.017780908237926107,0.11312718789457563,1.2487810068746504e-14,1.248781006874666e-14,1.4127108360388768e-15
