D,family,R,exact,max_overlap_identity_residual_abs,right_signed,left_signed,mid_signed,outer_signed,union_abs_share,mid_abs_share,outer_abs_share,union_exact,union_jet,rel_jet_err_vs_union,rel_jet_err_vs_exact,a0,ar,az,z_peak,I_z_peak
11.0,zslab,2.0,6.707950157337475e-05,5.204170427930421e-18,9.45104837044611e-05,0.00010291381479182068,-9.103851766890283e-05,-3.930627925400424e-05,0.82359592558016,0.014197574411937289,0.16220650000790268,,,,,,,,,
11.0,core_ball,0.5,6.707950157337475e-05,5.204170427930421e-18,-1.2336274393835617e-05,-1.7749834342254356e-05,-5.4717334973234316e-05,9.71656103094647e-05,0.04570792876151854,0.003985576556981042,0.9542920712384816,,,,,,,,,
11.0,core_ball,0.75,6.707950157337475e-05,5.204170427930421e-18,-1.8962357923090152e-05,-4.634602567907428e-05,-5.418848096845604e-05,0.00013238788517553915,0.13651298698461747,0.004351443767731444,0.8634870130153826,,,,,,,,,
11.0,core_ball,1.0,6.707950157337475e-05,5.204170427930421e-18,-1.5334520144599605e-06,-3.2968291111262144e-05,-4.7622272509687856e-05,0.00010158124469909679,0.26204683676039836,0.005659270759837173,0.7379531632396016,,,,,,,,,
11.0,core_ball,1.25,6.707950157337475e-05,5.204170427930421e-18,5.165284899438067e-05,2.1920833075424685e-05,-5.432939881613447e-05,-6.494180496430626e-06,0.386535685943134,0.007788533962805821,0.6134643140568661,,,,,,,,,
11.0,core_ball,1.5,6.707950157337475e-05,5.204170427930421e-18,0.00010922190512949672,8.553855340551321e-05,-8.124069557081246e-05,-0.00012768095696163528,0.4897348330990487,0.010673597174333423,0.5102651669009514,,,,,,,,,
11.0,core_ball,2.0,6.707950157337475e-05,5.204170427930421e-18,0.00012626227591001763,0.00011870760296315782,-9.103851766890283e-05,-0.0001778903772998008,0.6822262529863047,0.014197574411937289,0.3177737470136954,,,,,,,,,
11.0,quad_jet_ball,0.75,6.707950157337475e-05,5.204170427930421e-18,-1.8962357923090152e-05,-1.8962357923090152e-05,,0.00010500421741955506,,,,-3.7924715846180304e-05,0.00010991568454794541,3.898259936706049,0.6385882716751317,-0.32912066121618605,1.2129058829697952,1.1661461292850686,,
11.0,quad_jet_ball,1.0,6.707950157337475e-05,5.204170427930421e-18,-1.5334520144599605e-06,-1.5334520144599605e-06,,7.014640560229467e-05,,,,-3.066904028919921e-06,0.00017119206578064834,56.8191792655923,1.5520771884893974,-0.11839759143695919,0.30137086493168713,0.30570734692394697,,
11.0,quad_jet_ball,1.25,6.707950157337475e-05,5.204170427930421e-18,5.165284899438067e-05,5.165284899438067e-05,,-3.622619641538659e-05,,,,0.00010330569798876134,0.0002999841168959453,1.903848700858501,3.4720683645481234,-0.0338283272325407,0.09362403399191387,0.09583054274535674,,
11.0,quad_jet_ball,1.5,6.707950157337475e-05,5.204170427930421e-18,0.00010922190512949672,0.00010922190512949672,,-0.0001513643086856187,,,,0.00021844381025899344,0.00039438309613765106,0.8054212461779475,4.879338499649644,0.00532573417814197,0.03018387734490283,0.0313159487169859,,
11.0,z_profile_peak,1.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,4.954999999999998,8.852747799001661e-05
11.0,z_profile_peak,2.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,4.984999999999999,8.838325693270457e-05
11.0,z_profile_peak,3.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,4.925000000000001,8.810789195621007e-05
11.0,z_profile_peak,4.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,-4.945,8.777069277472641e-05
11.0,z_profile_peak,5.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,5.015000000000001,8.764810349689851e-05
11.0,z_profile_peak,6.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,-4.9750000000000005,8.762615144432138e-05
11.0,z_profile_peak,7.0,6.707950157337475e-05,5.204170427930421e-18,,,,,,,,,,,,,,,-4.915,8.735698806737519e-05
