edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_floor,component_exact,component_certified,component_slack
outer_rho,out,25,rho_plus,0.69,-0.45500000000000185,0.75,-0.45500000000000185,200.0,0.030129540811036002,0.030129,6.025908162207201,6.0258,0.00010816220720055725
outer_rho,out,26,rho_plus,0.69,-0.4250000000000007,0.75,-0.4250000000000007,200.0,0.02806622135095106,0.028065999999999997,5.613244270190211,5.613199999999999,4.4270190212358784e-05
outer_rho,out,27,rho_plus,0.69,-0.3949999999999996,0.75,-0.3949999999999996,200.0,0.025979054427325454,0.025979,5.195810885465091,5.195799999999999,1.0885465091980961e-05
outer_rho,out,28,rho_plus,0.69,-0.365000000000002,0.75,-0.365000000000002,200.0,0.023871517198186674,0.023871,4.774303439637335,4.7741999999999996,0.00010343963733561168
outer_rho,out,29,rho_plus,0.69,-0.33500000000000085,0.75,-0.33500000000000085,200.0,0.021747084166362233,0.021747,4.349416833272446,4.3494,1.683327244617061e-05
outer_rho,out,30,rho_plus,0.69,-0.3049999999999997,0.75,-0.3049999999999997,200.0,0.019609221351729315,0.019608999999999998,3.921844270345863,3.9217999999999997,4.427034586340639e-05
outer_rho,out,31,rho_plus,0.69,-0.27500000000000213,0.75,-0.27500000000000213,200.0,0.017461380626034504,0.017461,3.492276125206901,3.4922,7.612520690081226e-05
outer_rho,out,32,rho_plus,0.69,-0.245000000000001,0.75,-0.245000000000001,200.0,0.015306994233015552,0.015306,3.0613988466031103,3.0612,0.00019884660311042524
outer_rho,out,33,rho_plus,0.69,-0.21499999999999986,0.75,-0.21499999999999986,200.0,0.013149469513557796,0.013149,2.6298939027115593,2.6298,9.390271155940155e-05
bottom,bot,1,z_minus,0.09,-1.205,0.09,-1.2350000000000012,100.0,0.07072294261499017,0.070722,7.0722942614990165,7.0722,9.426149901692327e-05
bottom,bot,2,z_minus,0.15,-1.205,0.15,-1.2350000000000012,166.66666666666666,0.07056725486742721,0.07056699999999999,11.7612091445712,11.761166666666664,4.247790453604239e-05
bottom,bot,3,z_minus,0.21,-1.205,0.21,-1.2350000000000012,233.33333333333334,0.07033395492345754,0.07033299999999999,16.41125614880676,16.411033333333332,0.0002228154734282839
bottom,bot,4,z_minus,0.27,-1.205,0.27,-1.2350000000000012,300.0,0.07002332431251419,0.070023,21.006997293754257,21.0069,9.729375425493458e-05
bottom,bot,5,z_minus,0.32999999999999996,-1.205,0.32999999999999996,-1.2350000000000012,366.66666666666663,0.06963574394096053,0.069635,25.533106111685527,25.532833333333333,0.00027277835219408075
bottom,bot,6,z_minus,0.39,-1.205,0.39,-1.2350000000000012,433.33333333333337,0.06917169822529166,0.069171,29.974402564293058,29.9741,0.00030256429305808297
bottom,bot,7,z_minus,0.44999999999999996,-1.205,0.44999999999999996,-1.2350000000000012,499.99999999999994,0.06863177958675033,0.068631,34.31588979337516,34.31549999999999,0.00038979337517019985
bottom,bot,8,z_minus,0.51,-1.205,0.51,-1.2350000000000012,566.6666666666667,0.06801669298086335,0.068016,38.5427926891559,38.5424,0.0003926891559018486
bottom,bot,9,z_minus,0.57,-1.205,0.57,-1.2350000000000012,633.3333333333333,0.06732726016198902,0.067327,42.64059810259304,42.64043333333333,0.00016476925971176115
bottom,bot,10,z_minus,0.63,-1.205,0.63,-1.2350000000000012,700.0,0.06656442343138172,0.066564,46.595096401967204,46.5948,0.00029640196720492895
corner_rb,rb,1,rho_plus,0.69,-1.205,0.75,-1.205,200.0,0.0644640583347702,0.064464,12.89281166695404,12.8928,1.1666954041089639e-05
corner_rb,rb,1,z_minus,0.69,-1.205,0.69,-1.2350000000000012,766.6666666666666,0.06572924867792715,0.065729,50.39242398641081,50.39223333333333,0.00019065307748178384
corner_lb,lb,1,z_minus,0.03,-1.205,0.03,-1.2350000000000012,33.333333333333336,0.07080083256491293,0.0708,2.3600277521637647,2.3600000000000003,2.7752163764382942e-05
