objective_tol,lambda_upper,family_g_floor,proxy_name,envelope,xi_upper,a_upper_rank1,sigma_upper_rank1,lifted_g_floor,separator_min,eps_delta_factor_max,tail_mass_upper,eps0_upper,eps_delta_upper,delta_q_ref
2e-06,0.24064489846051348,1.330785531528289,xi_exact,exact,0.1332407081230305,0.007715965031123076,0.007745887107143725,1.3256414420967493,0.011673724541159336,0.5881705766421605,0.08566246329302957,0.09368800891796147,0.05510453022973328,0.001
2e-06,0.24064489846051348,1.330785531528289,runnerup_blend_abs_action,p95,0.1796951674928049,0.010406141247433286,0.010460663710739516,1.3238432526076547,0.011631319809068508,0.5896983598571351,0.08597476609836978,0.09406169863754836,0.055468029411938395,0.001
2e-06,0.24064489846051348,1.330785531528289,runnerup_blend_abs_action,max,0.1800120579497321,0.010424492363385695,0.010479207971038362,1.3238309778176258,0.011631029764792356,0.5897088089311399,0.08597691006062459,0.09406426490421288,0.0554705256196466,0.001
2e-06,0.24064489846051348,1.330785531528289,best_blend_curv_action,p95,0.2245821723535536,0.013005546224608748,0.013090858839629774,1.3221034138500511,0.011590129794858073,0.5911821516701706,0.08628031072125242,0.09442754898863844,0.05582388158804372,0.001
2e-06,0.24064489846051348,1.330785531528289,best_blend_curv_action,max,0.22490066696956565,0.013023990237361073,0.013109546062254063,1.3220910606873493,0.01158983676930303,0.5911927065571161,0.0862824921442044,0.09443016184146671,0.055826422959683215,0.001
2.5e-06,0.25445100032571943,1.3280792154962835,xi_exact,exact,0.1332407081230305,0.008626711160801243,0.00866413662810795,1.3223383295415243,0.011595700627677119,0.5909814860968712,0.08623885973851005,0.09437790242845212,0.05577559303187214,0.001
2.5e-06,0.25445100032571943,1.3280792154962835,runnerup_blend_abs_action,p95,0.1796951674928049,0.011634419606362648,0.011702629033690959,1.3203308973335568,0.011548002154471715,0.5926994885245342,0.08659506524362498,0.09480468294899434,0.05619068709359958,0.001
2.5e-06,0.25445100032571943,1.3280792154962835,runnerup_blend_abs_action,max,0.1800120579497321,0.011654936777728931,0.011723387935792485,1.3203171930947584,0.011547675796932833,0.592711242230247,0.08659751257180333,0.09480761631778548,0.056193540040603264,0.001
2.5e-06,0.25445100032571943,1.3280792154962835,best_blend_curv_action,p95,0.2245821723535536,0.01454064272137046,0.01464739395147365,1.3183882957575819,0.011501640953466397,0.5943690379971835,0.08694411554367094,0.09522321363214371,0.05659772988153755,0.001
2.5e-06,0.25445100032571943,1.3280792154962835,best_blend_curv_action,max,0.22490066696956565,0.014561263754516496,0.014668319470874727,1.3183745018498128,0.011501311037357853,0.5943809178501684,0.08694660954319568,0.095226205227381,0.056600639266439226,0.001
