D,eta,parent_blockdet_k11,parent_blockdet_k_bg,parent_blockdet_k22,parent_blockdet_c_parent,parent_blockdet_det_ratio,parent_blockdet_schur_norm,parent_blockdet_action,parent_blockdet_action_residual,parent_blockdet_coeff_share,parent_blockdet_tree_share,eymh_parented_prefactor_diag,parent_proxy_x,parent_proxy_g_schur,parent_proxy_y,parent_proxy_mix_norm_sq,parent_proxy_rank1_residual_abs,parent_proxy_lambda1,parent_proxy_lambda2,parent_proxy_lambda1_residual_abs,parent_proxy_lambda2_formula,parent_proxy_lambda2_residual_abs,parent_proxy_g,parent_proxy_active,omega1,delta_micro,tau_env,Szz_0,Sxx_delta,parent_proxy_Omega1,parent_proxy_Omega2,parent_proxy_r_on_shell,parent_proxy_q_on_shell,parent_proxy_q_single_pole,parent_proxy_delta_q_abs,parent_proxy_gap_separator,parent_proxy_eps_delta_factor
19.200000000000003,0.39,1.0,1.2685122027208124,1.2685122027208124,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0580670617382019,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,,,,,,,,,,,,,
20.0,0.39,1.0,1.3261537967964965,1.3261537967964965,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0622911350603241,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,False,1.8126809346147252,0.2592778908604871,0.5516690670178777,1.103338134035755,1.0812173137231778,1.8126809346147252,1.8126809346147252,0.14303559214936803,0.9799510053806765,0.9799510053806763,2.220446049250313e-16,0.0,1.0
4.0,0.5800000000000001,1.399165018262556,1.052928468881864,1.9341389375072109,0.5930837991397101,2.5701456668688705,1.8369138974474977,0.9439625770164078,2.220446049250313e-16,0.3558145750116319,0.6441854249883684,0.0433252408187335,0.3991650182625559,1.8369138974474977,0.8369138974474977,0.3340667511588171,1.1102230246251565e-16,1.0,2.2360789157100536,0.0,2.2360789157100536,0.0,1.4953524386277817,True,1.7512011374518028,0.5002558656877873,0.5710366322940573,1.1420732645881146,1.0559068677898105,1.7512011374518028,2.6186628914162986,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.040237974950244615,0.46667474654405994
4.8,0.5800000000000001,1.3864819309265684,1.3330127461264274,2.3626091336285877,0.6308093213617363,2.4573770079370503,1.7723830027087453,0.8990945241517855,-1.1102230246251563e-16,0.3634429362684512,0.6365570637315486,0.0392193376908345,0.38648193092656835,1.7723830027087453,0.7723830027087453,0.29851207430173676,0.0,0.9999999999999998,2.1588649336353134,2.220446049250313e-16,2.1588649336353134,0.0,1.4693076375066296,True,,,,,,,,,,,,,
5.6,0.5800000000000001,1.3740167943150456,1.0489632309804584,2.163328996517532,0.645593921378298,2.8337031128016523,2.0623496921769924,1.0415843767130029,-2.220446049250313e-16,0.3050529786793469,0.6949470213206528,0.0448967538721383,0.37401679431504564,2.0623496921769924,1.0623496921769924,0.39733662630961425,5.551115123125783e-17,1.0,2.4363664864920382,0.0,2.4363664864920382,0.0,1.5608864425357913,True,,,,,,,,,,,,,
6.4,0.5800000000000001,1.408757447724341,1.236842257453033,2.31093189548469,0.6626025498509506,2.632140436123003,1.8684127919784017,0.9677973692292174,2.220446049250313e-16,0.3541113915112855,0.6458886084887147,0.0493701311782508,0.40875744772434097,1.8684127919784017,0.8684127919784017,0.35497019642026045,5.551115123125783e-17,1.0000000000000002,2.277170239702743,2.220446049250313e-16,2.277170239702743,0.0,1.509029568862964,True,,,,,,,,,,,,,
7.2,0.5800000000000001,1.4653971286434333,1.5397550802947837,2.131691597403891,0.52486717881934,2.028747809288574,1.3844355019083825,0.7074187600129689,1.1102230246251563e-16,0.5401698469227026,0.4598301530772976,0.0543924294753566,0.4653971286434333,1.3844355019083825,0.3844355019083825,0.17891517873675838,5.551115123125783e-17,1.0,1.8498326305518158,0.0,1.8498326305518158,0.0,1.3600855232491138,True,,,,,,,,,,,,,
8.0,0.5800000000000001,1.4813765138251926,1.5891268740470006,2.1471719254068047,0.5182950717313286,2.001583456544316,1.3511645674575,0.6939385955806039,-4.440892098500626e-16,0.5662917943087119,0.4337082056912875,0.0579949944055722,0.48137651382519264,1.3511645674575,0.3511645674574999,0.16904237526162308,8.326672684688674e-17,1.0,1.8325410812826926,0.0,1.8325410812826926,0.0,1.3537138107010258,True,1.802159760664197,0.4170096953791304,0.5548897616221571,1.1097795232443142,1.0533781061906398,1.802159760664197,2.4396085571007786,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.02243354180807955,0.558587591713178
8.8,0.5800000000000001,1.489316794574241,1.1526414316992488,1.891253858186028,0.6011783969515314,2.443670734312731,1.6407998239295467,0.8935013081386156,-5.551115123125784e-16,0.4457939613989695,0.55420603860103,0.0457081664657773,0.48931679457424093,1.6407998239295467,0.6407998239295467,0.3135541158089438,5.551115123125783e-17,1.0,2.130116618503788,0.0,2.130116618503788,0.0,1.4594919042268744,True,,,,,,,,,,,,,
9.6,0.5800000000000001,1.4963861819629267,1.1066533286499558,1.991814852044094,0.6628589209010497,2.6932772391001225,1.7998543902397843,0.9907587565812218,1.1102230246251563e-16,0.4068124420653686,0.5931875579346314,0.0411393810761781,0.4963861819629267,1.7998543902397843,0.7998543902397843,0.3970366668974114,0.0,1.0,2.296240572202711,0.0,2.296240572202711,0.0,1.5153351352762567,True,,,,,,,,,,,,,
10.4,0.5800000000000001,1.5001900944194106,1.191089660939199,2.1083009063998626,0.6773329900938788,2.655427412024183,1.7700606222519162,0.9766056255506502,0.0,0.4153076933822663,0.5846923066177339,0.0443592616451587,0.5001900944194106,1.7700606222519162,0.7700606222519162,0.38517669535285615,5.551115123125783e-17,0.9999999999999998,2.2702507166713266,2.220446049250313e-16,2.2702507166713266,0.0,1.506735118284341,True,,,,,,,,,,,,,
11.2,0.5800000000000001,1.5018904005970817,1.263616892757297,2.1820845969915874,0.6789478065460037,2.5935486683477555,1.72685614563931,0.9530270801423112,-1.1102230246251563e-16,0.4267712745814105,0.5732287254185895,0.0459252717726018,0.5018904005970817,1.72685614563931,0.7268561456393099,0.36480212211136387,1.1102230246251565e-16,1.0,2.2287465462363913,0.0,2.2287465462363913,0.0,1.4928987059530836,True,,,,,,,,,,,,,
