case,mode,phi_scale,mix_scale,D,chi_eff,chi_lr_baseline,ratio_to_baseline
open_micro_base,open_system_micro,1.0,1.0,13.491525423728813,2.59420001829371e-05,0.0002734306360434836,0.09487598229048318
open_micro_base,open_system_micro,1.0,1.0,13.76271186440678,3.050595304827703e-05,0.00018418687760165037,0.16562500784802753
open_micro_base,open_system_micro,1.0,1.0,14.033898305084746,3.290267230779677e-05,0.00019144744371395978,0.17186268810648844
open_micro_base,open_system_micro,1.0,1.0,14.305084745762711,3.0253306226995845e-05,0.00019881801613775982,0.15216581884628358
open_micro_base,open_system_micro,1.0,1.0,14.576271186440678,2.6785004314616595e-05,0.00020629482805265207,0.12983846743739175
open_micro_base,open_system_micro,1.0,1.0,14.847457627118644,2.2476334622356425e-05,0.00021387347931540876,0.10509173317936055
open_micro_base,open_system_micro,1.0,1.0,15.11864406779661,2.0600493290927362e-05,0.00022154890273389926,0.09298395540090064
open_micro_base,open_system_micro,1.0,1.0,15.389830508474576,2.27508757000293e-05,0.00022931535286951714,0.09921217840558101
open_micro_base,open_system_micro,1.0,1.0,15.661016949152541,2.4268168030955007e-05,0.0002371664164434909,0.10232548265001645
open_micro_base,open_system_micro,1.0,1.0,15.932203389830509,2.5300419963188423e-05,0.00016476734538185893,0.1535523917348615
open_micro_base,open_system_micro,1.0,1.0,16.203389830508474,2.4880786602945878e-05,0.00017081582758589044,0.14565855491602617
open_micro_base,open_system_micro,1.0,1.0,16.474576271186443,2.381999752927891e-05,0.00017695064199635914,0.1346137954660205
open_micro_base,open_system_micro,1.0,1.0,16.74576271186441,2.2438732839417078e-05,0.00018316917718353738,0.12250277685602769
open_micro_base,open_system_micro,1.0,1.0,17.016949152542374,2.059234836008736e-05,0.00018946844560445685,0.1086848435072767
open_micro_base,open_system_micro,1.0,1.0,17.28813559322034,1.7008795514737587e-05,0.00019584505996956276,0.08684822337301236
open_micro_base,open_system_micro,1.0,1.0,17.559322033898304,1.2617260117365679e-05,0.0002022952212735166,0.062370529753178416
open_micro_base,open_system_micro,1.0,1.0,17.83050847457627,7.140303110995159e-06,0.0002088147182516318,0.03419444362341715
open_micro_base,open_system_micro,1.0,1.0,18.101694915254235,5.412311469440731e-06,0.00021539893765938362,0.025126918118785577
open_micro_base,open_system_micro,1.0,1.0,18.372881355932204,1.0636901065245805e-05,0.00015406311339344081,0.069042490645257
open_micro_base,open_system_micro,1.0,1.0,18.64406779661017,1.4648453716764837e-05,0.00015924763064387745,0.09198537935878559
open_micro_base,open_system_micro,1.0,1.0,18.915254237288135,1.77109130773679e-05,0.00016507717111369344,0.1072886878172263
open_micro_base,open_system_micro,1.0,1.0,19.186440677966104,1.699635298979569e-05,0.00017039804290683611,0.09974500117403533
open_micro_base,open_system_micro,1.0,1.0,19.45762711864407,1.4390952341015434e-05,0.00017578126224563766,0.08186852317003755
open_micro_base,open_system_micro,1.0,1.0,19.728813559322035,1.122839633753189e-05,0.00018122424225918405,0.061958577933923516
open_micro_base,open_system_micro,1.0,1.0,20.0,7.474704999704069e-06,0.00018672413360390017,0.04003073869155145
open_micro_phi_x0p5,open_system_micro,0.5,1.0,4.0,9.79771369389487e-05,0.00052658181469949,0.18606251527098852
open_micro_phi_x0p5,open_system_micro,0.5,1.0,4.271186440677966,9.5622077973463e-05,0.000554539279260162,0.17243517555877572
open_micro_phi_x0p5,open_system_micro,0.5,1.0,4.5423728813559325,9.155399132093507e-05,0.0002987362172957779,0.3064710136243297
open_micro_phi_x0p5,open_system_micro,0.5,1.0,4.813559322033898,8.860613834878361e-05,0.00031680709250514786,0.279684831700363
open_micro_phi_x0p5,open_system_micro,0.5,1.0,5.084745762711864,8.412037151118152e-05,0.0003352973412873796,0.2508829064620673
open_micro_phi_x0p5,open_system_micro,0.5,1.0,5.3559322033898304,7.531481887038413e-05,0.00035626016425235034,0.21140398626503823
open_micro_phi_x0p5,open_system_micro,0.5,1.0,5.627118644067797,5.757445779775326e-05,0.0003755509545519471,0.15330664747329095
open_micro_phi_x0p5,open_system_micro,0.5,1.0,5.898305084745763,2.373950420939595e-05,0.0003951816269869163,0.0600723884619816
open_micro_phi_x0p5,open_system_micro,0.5,1.0,6.169491525423728,2.9001263927858656e-05,0.00041511018665719003,0.06986401408599673
open_micro_phi_x0p5,open_system_micro,0.5,1.0,6.4406779661016955,5.14037956078089e-05,0.00043528679503544823,0.11809178728617933
open_micro_phi_x0p5,open_system_micro,0.5,1.0,6.711864406779661,6.255105019127582e-05,0.00045565487426463025,0.13727725461562407
open_micro_phi_x0p5,open_system_micro,0.5,1.0,6.983050847457627,6.641423488050343e-05,0.00026609082899812207,0.2495923483367108
open_micro_phi_x0p5,open_system_micro,0.5,1.0,7.254237288135593,6.40181692243469e-05,0.00028003780408858956,0.228605453584027
open_micro_phi_x0p5,open_system_micro,0.5,1.0,7.525423728813559,5.8389650379085114e-05,0.00029426167538217443,0.19842764200690133
open_micro_phi_x0p5,open_system_micro,0.5,1.0,7.796610169491526,4.948071023284841e-05,0.00030874954848086807,0.1602616440293014
open_micro_phi_x0p5,open_system_micro,0.5,1.0,8.067796610169491,3.8392784096068924e-05,0.000323484609859588,0.11868504072800784
open_micro_phi_x0p5,open_system_micro,0.5,1.0,8.338983050847457,3.54133343192631e-05,0.0003384459717582209,0.10463511837736299
open_micro_phi_x0p5,open_system_micro,0.5,1.0,8.610169491525424,3.176690663761441e-05,0.00035360875405870815,0.0898363127976755
open_micro_phi_x0p5,open_system_micro,0.5,1.0,8.881355932203391,2.7444332817109555e-05,0.0003689443806368159,0.07438609789838595
open_micro_phi_x0p5,open_system_micro,0.5,1.0,9.152542372881356,3.0449337152350085e-05,0.00022780640990313205,0.13366321503112125
open_micro_phi_x0p5,open_system_micro,0.5,1.0,9.423728813559322,3.710177696211069e-05,0.0002386824312014784,0.15544410527137653
open_micro_phi_x0p5,open_system_micro,0.5,1.0,9.694915254237287,4.151175889176959e-05,0.0002497582928068284,0.1662077299826685
open_micro_phi_x0p5,open_system_micro,0.5,1.0,9.966101694915254,4.440503173436453e-05,0.00026102647220006304,0.17011696691180966
open_micro_phi_x0p5,open_system_micro,0.5,1.0,10.237288135593221,3.847499940738324e-05,0.0002724774999322682,0.14120431748290138
open_micro_phi_x0p5,open_system_micro,0.5,1.0,10.508474576271187,2.932282022365643e-05,0.0002840998307725082,0.10321308585057398
open_micro_phi_x0p5,open_system_micro,0.5,1.0,10.779661016949152,1.5889372652202546e-05,0.00029587981685466727,0.053702117370199746
open_micro_phi_x0p5,open_system_micro,0.5,1.0,11.050847457627118,4.751120490745062e-06,0.0003078017769070365,0.015435649977355439
open_micro_phi_x0p5,open_system_micro,0.5,1.0,11.322033898305085,2.1105154759016185e-05,0.00019885524546821575,0.10613325642641673
open_micro_phi_x0p5,open_system_micro,0.5,1.0,11.593220338983052,3.1556713700484204e-05,0.00020757062986382943,0.15202879964851507
