audit,objective,p95_linf,p95_l2,max_linf,max_l2,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,param_m,param_u,param_v,param_q_ss,param_q_bb,param_q_sb,param_p_sys,param_p_spec,param_zeta_sys,param_zeta_spec
family,0.26584381764576,0.0989540934653721,0.13478664123275616,0.0995572647323745,0.13630997815447093,0.0528314726392993,0.0524412368286925,0.0524412368286925,0.0989540934653721,0.0091757778837035,0.0551153447152248,0.0526133185775389,0.0526133185775389,0.0995572647323745,0.0097333127412504,-0.05,0.0,-0.25,,,,,,,
generator_affinity,0.3103724414563487,0.0999973896192081,0.17050956373503257,0.1104384811804006,0.1879561300577285,0.0958578804316778,0.0078309818869188,0.0078842982546623,0.0999973896192081,0.0988018912638815,0.1063168155953825,0.008593290956127,0.0086179683508158,0.1080715938373686,0.1104384811804006,,,,0.0,0.125,0.0625,,,,
generator_affinity,0.310916763345704,0.1001441209062266,0.17066137693041508,0.1104817895393273,0.18809641233214336,0.095916009024526,0.0079845437573461,0.0080377787627578,0.1001441209062266,0.0988343108948472,0.1063878572997882,0.0087591673624852,0.0087837611474254,0.1081747699733738,0.1104817895393273,,,,0.0,0.0625,0.0625,,,,
generator_affinity,0.3114610081866372,0.10029082664634,0.17081346366905667,0.1105250978982539,0.18823696289360292,0.0959741337128144,0.0081380818214347,0.0081912354802348,0.10029082664634,0.098866730525813,0.1064588933568645,0.0089250160153679,0.0089495262059611,0.1082779341742122,0.1105250978982539,,,,0.0,0.0,0.0625,,,,
generator_affinity,0.3120051759914892,0.1004375068442273,0.17096582302625846,0.1105684062571805,0.1883777809705626,0.0960322544968154,0.008291596082881,0.0083446684107871,0.1004375068442273,0.0988991501567782,0.1065299237670596,0.0090908369194185,0.0091152635310638,0.1083810864412634,0.1105684062571805,,,,0.0,-0.0625,0.0625,,,,
generator_affinity,0.3125492667726032,0.100584161504567,0.17111845407938472,0.1106117146161071,0.18851886579270624,0.0960903713768024,0.0084450865453812,0.0084980775581084,0.100584161504567,0.098931569787744,0.1066009485308224,0.0092566300792791,0.0092809731273731,0.1084842267759078,0.1106117146161071,,,,0.0,-0.125,0.0625,,,,
family,0.269815126501179,0.1033329453471985,0.13942128710119986,0.103875485647509,0.1401835337849308,0.0525596087279765,0.0546683405506001,0.054666342933175,0.1033329453471985,0.0045878889422287,0.0530017517261852,0.0549030553263781,0.0549007387151946,0.103875485647509,0.0048666563712078,-0.05,0.0,0.125,,,,,,,
family,0.2589842072044956,0.1051709180756329,0.13764845796329367,0.1051709180756577,0.13764845796332012,0.0512710963760243,0.0512710963760361,0.0512710963760361,0.1051709180756329,7.661871137543129e-13,0.0512710963760245,0.0512710963760461,0.0512710963760461,0.1051709180756577,8.428813202954188e-13,0.05,0.0,0.0,,,,,,,
family,0.2722166086659193,0.1074938540312259,0.14185814878208022,0.1078645729438392,0.14270335992120192,0.0535241796914372,0.0533053430005137,0.0533053430005137,0.1074938540312259,0.0045878889422287,0.0547947607390244,0.0534009957199346,0.0534009957199346,0.1078645729438392,0.0048666563712078,0.05,0.0,0.125,,,,,,,
family,0.2854679566746096,0.1098217742624515,0.14622794246535428,0.1105647931101394,0.14795285201937222,0.0557833482475667,0.0553435281401923,0.0553435281401923,0.1098217742624515,0.0091757778842065,0.0583302357668344,0.0555352102887425,0.0555352102887425,0.1105647931101394,0.0097333127420284,0.05,0.0,0.25,,,,,,,
generator_affinity,0.3319697397254054,0.11118118026291,0.18307035472138683,0.1211662203935133,0.20293162567713147,0.1061421709353303,0.0078929390150122,0.0079515582476899,0.11118118026291,0.0988018912644628,0.1189647712418489,0.0086677756741597,0.008694048429213,0.1211662203935133,0.1104384811814318,,,,0.0,-0.125,-0.0625,,,,
generator_affinity,0.3325659914482767,0.1113616046983361,0.1832524918066972,0.1212959292137456,0.20309936460196817,0.1062136068662796,0.0080489635829644,0.0081075054052679,0.1113616046983361,0.0988343108954285,0.1190537283639834,0.008836568343236,0.0088627569303998,0.1212959292137456,0.1104817895403584,,,,0.0,-0.0625,-0.0625,,,,
family,0.2979934976229302,0.1114292670644544,0.15166176667360143,0.1125044906223611,0.1531858773692977,0.0563333809490169,0.0605295240951419,0.0605255476301098,0.1114292670644544,0.009175777884207,0.0572141072019578,0.0609959996765546,0.0609913862673335,0.1125044906223611,0.0097333127420284,-0.05,0.0,0.25,,,,,,,
generator_affinity,0.3331623276694795,0.111542060443322,0.18343494834713986,0.1214256530401192,0.20326739183976128,0.1062850476163488,0.0082050123436027,0.0082634767398121,0.111542060443322,0.0988667305263937,0.1191426925581635,0.0090053892584467,0.0090314936620621,0.1214256530401192,0.1105250978992851,,,,0.0,0.0,-0.0625,,,,
generator_affinity,0.3337587484025844,0.1117225475035885,0.18361772361565776,0.121555391874369,0.20343570685645992,0.1063564931858762,0.0083610853006838,0.0084194722550767,0.1117225475035885,0.098899150157359,0.1192316638249511,0.0091742384245181,0.0092002586289234,0.121555391874369,0.1105684062582117,,,,0.0,0.0625,-0.0625,,,,
generator_affinity,0.3343552536611665,0.1119030658848586,0.18380081688651034,0.1216851457182319,0.20360430911862343,0.1064279435751999,0.0085171824579658,0.0085754919548173,0.1119030658848586,0.0989315697883247,0.1193206421649084,0.0093431158461771,0.0093690518357083,0.1216851457182319,0.1106117146171383,,,,0.0,0.125,-0.0625,,,,
family,0.2909623403303067,0.1152414872178229,0.15187990132804027,0.1159163531218192,0.15278056250797287,0.0554755606922399,0.0578298160419794,0.0578275874365378,0.1152414872178229,0.0045878889417265,0.0559681623728416,0.058092511710595,0.0580899294088406,0.1159163531218192,0.0048666563704315,0.05,0.0,-0.125,,,,,,,
family,0.3231314296543985,0.1254041588551568,0.16636066143353584,0.1267662646547349,0.16818352715843074,0.0596970292401093,0.0644294709685028,0.064424992706926,0.1254041588551568,0.0091757778837035,0.0606862148012792,0.0649581893743433,0.0649530025658344,0.1267662646547349,0.0097333127412504,0.05,0.0,-0.25,,,,,,,
family,0.4667569928170125,0.181269246922646,0.24500263447231102,0.1812692469227083,0.2450026344723746,0.0951625819640409,0.0951625819647798,0.0951625819647796,0.181269246922646,7.661871137543129e-13,0.095162581964041,0.0951625819648027,0.0951625819648017,0.1812692469227083,8.428813202954188e-13,-0.1,0.0,0.0,,,,,,,
family,0.4784911137516616,0.1829864358262208,0.248426985217797,0.1832599036616683,0.2491247934322554,0.0970966071761437,0.0969100909037855,0.0969100909037855,0.1829864358262208,0.004587888941726,0.098185296413256,0.0969920966795573,0.0969920966795573,0.1832599036616683,0.0048666563704315,-0.1,0.0,-0.125,,,,,,,
family,0.4902095991524303,0.184699948399337,0.2519317614684175,0.1852457203312049,0.2533410575959721,0.099025426813492,0.0986542230279488,0.0986542230279488,0.184699948399337,0.0091757778837035,0.101197913133908,0.098817912250871,0.098817912250871,0.1852457203312049,0.0097333127412504,-0.1,0.0,-0.25,,,,,,,
family,0.4935603272806726,0.1886620974300505,0.2562795658435942,0.1891530081945639,0.2569836865393121,0.0987668218615819,0.1007727096196425,0.1007708094271689,0.1886620974300505,0.0045878889422287,0.0991874012913149,0.1009959772207278,0.1009937735920049,0.1891530081945639,0.0048666563712078,-0.1,0.0,0.125,,,,,,,
family,0.5202125724007625,0.1959879522682809,0.2675655831747486,0.1969608547762285,0.2689710167527267,0.1023565450395989,0.10634803986961,0.106344257339066,0.1959879522682809,0.0091757778842065,0.1031943177663264,0.1067917651684607,0.1067873767578626,0.1969608547762285,0.0097333127420284,-0.1,0.0,0.25,,,,,,,
generator_affinity,0.6059897183907994,0.1976686217899818,0.3323131103491066,0.2209635790791626,0.36318143244795137,0.1862024817013348,0.0159051845649419,0.0160067991036006,0.1902066312309401,0.1976686217899818,0.201457338418731,0.0174416117119505,0.017489290267222,0.20464775908754,0.2209635790791626,,,,0.0,0.125,0.125,,,,
generator_affinity,0.6064586276918584,0.1977010414209474,0.3324226267599118,0.2210068874380901,0.36331071549254096,0.1862021347255013,0.0160574943136207,0.0161590258870752,0.1903389313447136,0.1977010414209474,0.2015208171019038,0.0176060076687254,0.0176536029477319,0.2047397635246829,0.2210068874380901,,,,0.0,0.0625,0.125,,,,
generator_affinity,0.6069274657353864,0.1977334610519131,0.33253228627766307,0.2210501957970168,0.3634401292457004,0.18620178677382,0.0162097804504752,0.0163112290744273,0.1904712083847505,0.1977334610519131,0.2015842907389551,0.0177703761197253,0.0178178881377386,0.2048317573189737,0.2210501957970168,,,,0.0,0.0,0.125,,,,
generator_affinity,0.6073962325330715,0.1977658806828784,0.3326420886713448,0.2210935041559434,0.36356967348392866,0.1862014378464181,0.0163620429791718,0.0164634086693206,0.1906034623552822,0.1977658806828784,0.2016477593302861,0.0179347170695514,0.0179821458418405,0.204923740471643,0.2210935041559434,,,,0.0,-0.0625,0.125,,,,
generator_affinity,0.6078649280966016,0.1977983003138441,0.3327520337100976,0.22113681251487,0.36369934798393416,0.186201087943423,0.016514281903376,0.0166155646754184,0.1907356932605399,0.1977983003138441,0.2017112228762979,0.0180990305228049,0.0181463760646364,0.2050157129839221,0.22113681251487,,,,0.0,-0.125,0.125,,,,
family,0.5369155123878889,0.2214027581601539,0.2867088197937984,0.2214027581601811,0.28670881979382734,0.105170918075648,0.1051709180756603,0.1051709180756603,0.2214027581601539,7.661871137543129e-13,0.1051709180756483,0.105170918075671,0.105170918075671,0.2214027581601811,8.428813202954188e-13,0.1,0.0,0.0,,,,,,,
family,0.5507163333176729,0.2239699994228272,0.29116833482006593,0.224379707183828,0.29205749585057844,0.1075395194428686,0.1073094627548742,0.1073094627548742,0.2239699994228272,0.0045878889422287,0.1088752445738003,0.107410019694091,0.107410019694091,0.224379707183828,0.0048666563712078,0.1,0.0,0.125,,,,,,,
family,0.5645373408565162,0.2265427491619775,0.295713643119441,0.227363911984024,0.29751284137082806,0.109914518047769,0.1094521478812815,0.1094521478812815,0.2265427491619775,0.0091757778842065,0.112591987282496,0.1096536577837434,0.1096536577837434,0.227363911984024,0.0097333127420284,0.1,0.0,0.25,,,,,,,
family,0.570840775244241,0.2325324583045724,0.3020257947082178,0.2332783004752701,0.30299715014046885,0.1095909498870296,0.1120659104896997,0.1120635676212139,0.2325324583045724,0.0045878889417252,0.1101088077958727,0.1123420748532584,0.1123393601540618,0.2332783004752701,0.0048666563704298,0.1,0.0,-0.125,,,,,,,
generator_affinity,0.6891660418162503,0.235205363419293,0.3808238374278125,0.2573045608719575,0.42344834621177097,0.2238434366052527,0.0161628680613194,0.0162857519398225,0.235205363419293,0.1976686217905625,0.2522812469653233,0.0177512216266986,0.0178052841714262,0.2573045608719575,0.2209635790801938,,,,0.0,-0.125,-0.125,,,,
generator_affinity,0.6897923530532725,0.2354055026523366,0.3810243105605446,0.2574500196703919,0.4236330097210496,0.2239226494285517,0.0163201753676011,0.0164429841832542,0.2354055026523366,0.1977010414215287,0.2523808026785117,0.0179215343394638,0.0179755124480733,0.2574500196703919,0.2210068874391213,,,,0.0,-0.0625,-0.125,,,,
generator_affinity,0.6904187530836593,0.2356056765554335,0.38122495900731757,0.2575954952970976,0.4238178246972478,0.2240018676068711,0.0164775070658809,0.0166002408029797,0.2356056765554335,0.1977334610524939,0.2524803663063275,0.0180918755527308,0.0181457692094308,0.2575954952970976,0.2210501957980479,,,,0.0,0.0,-0.125,,,,
generator_affinity,0.6910452419216914,0.2358058851349113,0.3814257826141815,0.2577409877540211,0.42400279103583144,0.224081091140588,0.0166348631599471,0.0167575218027851,0.2358058851349113,0.1977658806834596,0.2525799378494004,0.0182622452712688,0.0183160544602651,0.2577409877540211,0.2210935041569746,,,,0.0,0.0625,-0.125,,,,
generator_affinity,0.6916718195816483,0.2360061283970985,0.38162678122731375,0.2578864970431094,0.42418790863231837,0.224160320030079,0.0167922436535887,0.0169148271864563,0.2360061283970985,0.1977983003144254,0.2526795173083596,0.0184326434998471,0.0184863682053433,0.2578864970431094,0.2211368125159012,,,,0.0,0.125,-0.125,,,,
family,0.6049717491405352,0.2437639474481056,0.31753801491008604,0.2452693071651415,0.31950017233349276,0.1140288577556655,0.1190039369600093,0.1189992290930513,0.2437639474481056,0.0091757778837035,0.1150687599450759,0.1195597633381915,0.1195543105963234,0.2452693071651415,0.0097333127412504,0.1,0.0,-0.25,,,,,,,
family,8.349215521148546,5.7389617385538125,5.9257378552750835,5.8978860964098825,6.105829868104595,0.9969121277703968,0.31011141050354,0.3055805280956346,0.9976497162251622,5.7389617385538125,0.9969381489261216,0.5146328069373711,0.491978394897844,0.9976585749676302,5.8978860964098825,0.05,-0.125,-0.25,,,,,,,
family,8.360061650957906,5.7389617385538125,5.926349273052687,5.8978860964098825,6.094671735436418,0.9970627250761028,0.3150767763610385,0.3110870356694292,0.9978733752975238,5.7389617385538125,0.9970874771650876,0.4407632932729366,0.4192137499461752,0.9978813910191858,5.8978860964098825,0.0,-0.125,-0.25,,,,,,,
family,8.388393599773492,5.7389617385538125,5.927918707436262,5.8978860964098825,6.085676867388566,0.9972059776645408,0.3289726459510225,0.3251774872090359,0.99807575039508,5.7389617385538125,0.9972295225799012,0.3704964383017688,0.3499978786048003,0.9980830033199722,5.8978860964098825,-0.05,-0.125,-0.25,,,,,,,
family,8.415420268607349,5.7389617385538125,5.929475329243543,5.8978860964098825,6.0847470135406505,0.997342243741799,0.3401897856702395,0.3406676336856699,0.9982588669558274,5.7389617385538125,0.9973646403580873,0.3518243729085325,0.3521864978619067,0.9982654296736602,5.8978860964098825,-0.1,-0.125,-0.25,,,,,,,
family,8.482919414525435,5.7389617385538125,5.933390613445299,5.8978860964098825,6.1194308510126465,0.996753809175716,0.3772822588947959,0.3725190731782863,0.997402534722824,5.7389617385538125,0.9967811644646236,0.5922896915561451,0.5684737629735972,0.9974123251473708,5.8978860964098825,0.1,-0.125,-0.25,,,,,,,
family,8.354591650489915,5.739456188285677,5.926474779095245,5.898013115977834,6.1062758343656744,0.9969205680991456,0.312540192714222,0.3080035023610205,0.9976711990298496,5.739456188285677,0.9969489032048028,0.5165738200098611,0.4938903682438533,0.9976785685514002,5.898013115977834,0.05,-0.125,-0.125,,,,,,,
family,8.368703637207993,5.739456188285677,5.9272644199023174,5.898013115977834,6.095058455009318,0.9970707537651612,0.3191406083234371,0.3151432730906673,0.9978928137430496,5.739456188285677,0.9970977069514084,0.4426096420208294,0.4210324752517602,0.9978994819619016,5.898013115977834,0.0,-0.125,-0.125,,,,,,,
family,8.396637324190191,5.739456188285677,5.928830288488549,5.898013115977834,6.08601115862636,0.9972136147898134,0.3328382824898824,0.3290358995968784,0.99809333902794,5.739456188285677,0.9972392534536558,0.3722527395586545,0.3517279036305569,0.998099372681869,5.898013115977834,-0.05,-0.125,-0.125,,,,,,,
family,8.42411534580534,5.739456188285677,5.930430048158062,5.898013115977834,6.085360264766732,0.997349508400077,0.3442799902200394,0.3447548770905749,0.9982747818089712,5.739456188285677,0.9973738966515288,0.356003095575309,0.3563628794284686,0.9982802412848136,5.898013115977834,-0.1,-0.125,-0.125,,,,,,,
family,8.488546990851882,5.739456188285677,5.9341976820363955,5.898013115977834,6.119943587135658,0.9967626822493736,0.379835567432278,0.3750662759907494,0.9974262768938036,5.739456188285677,0.9967924701269636,0.5943302224969416,0.570483765289298,0.9974344214747012,5.898013115977834,0.1,-0.125,-0.125,,,,,,,
family,8.359976814242552,5.739950638017541,5.9272140893695795,5.898140135545786,6.106723362435317,0.9969289838475834,0.3149736066704537,0.3104311009272005,0.9976924847797728,5.739950638017541,0.996959619710742,0.518517320504867,0.4958047917886008,0.9976983914086311,5.898140135545786,0.05,-0.125,0.0,,,,,,,
family,8.3772987375551,5.739950638017541,5.928182464680799,5.898140135545786,6.095446557741323,0.9970787590727044,0.3231810950390695,0.3191761715397333,0.997912073886051,5.739950638017541,0.9971079008071858,0.4444583568782108,0.4228535312584811,0.9979174184248564,5.898140135545786,0.0,-0.125,0.0,,,,,,,
family,8.404836457628196,5.739950638017541,5.929744263248817,5.898140135545786,6.086346671310671,0.9972212296739006,0.3366817123430964,0.3328721112676533,0.9981107663260044,5.739950638017541,0.9972489501492204,0.3740112915285074,0.3534601456878135,0.998115602264698,5.898140135545786,-0.05,-0.125,0.0,,,,,,,
family,8.43275954352028,5.739950638017541,5.931387283147078,5.898140135545786,6.085975976674857,0.9973567519018848,0.3483448294279445,0.3488167734925533,0.9982905506803552,5.739950638017541,0.9973831204336702,0.3601548784399765,0.360512336299481,0.9982949264186364,5.898140135545786,-0.1,-0.125,0.0,,,,,,,
family,8.49418405417255,5.739950638017541,5.935007455948391,5.898140135545786,6.120458081963119,0.9967715294824604,0.3823937451899825,0.3776183401969783,0.997449801285588,5.739950638017541,0.9968037360799118,0.5963733683931338,0.5724963434281127,0.997456329120026,5.898140135545786,0.1,-0.125,0.0,,,,,,,
family,8.365371032313595,5.740445087749407,5.92795579786397,5.898267155113738,6.107172457434632,0.9969373750913788,0.317411661385873,0.3128633327982699,0.9977135752886656,5.740445087749407,0.9969702985766106,0.5204633116100394,0.4977216686720238,0.9977180449971684,5.898267155113738,0.05,-0.125,0.125,,,,,,,
family,8.385847261940523,5.740445087749407,5.929103327882237,5.898267155113736,6.09583604827493,0.9970867410707108,0.3271983906696302,0.3231858850831119,0.9979311573676628,5.740445087749407,0.9971180588586204,0.4463094408772672,0.4246769209531378,0.9979352017271638,5.898267155113736,0.0,-0.125,0.125,,,,,,,
family,8.41299129483665,5.740445087749407,5.930660561354475,5.898267155113736,6.086683409641174,0.9972288223852708,0.3405030821538037,0.3366862687739341,0.9981280337742332,5.740445087749407,0.9972586127866404,0.3757720970956326,0.3551946076177026,0.9981316932620418,5.898267155113736,-0.05,-0.125,0.125,,,,,,,
family,8.441353177779476,5.740445087749407,5.932346947722928,5.898267155113736,6.086594059311306,0.9973639743123516,0.3523844606600018,0.3528534801440889,0.9983061749136266,5.740445087749407,0.9973923118187024,0.3642798951807124,0.3646350420557026,0.9983094861551266,5.898267155113736,-0.1,-0.125,0.125,,,,,,,
family,8.499830625513,5.740445087749407,5.935819948208254,5.898267155113736,6.120974341131382,0.9967803509545254,0.3849568016436859,0.380175275262718,0.9974731099026638,5.740445087749407,0.9968149624629414,0.5984191325958064,0.5745115006909667,0.9974780496945136,5.898267155113736,0.1,-0.125,0.125,,,,,,,
family,8.370774324628744,5.740939537481271,5.92869991638593,5.8983941746816875,6.107623124494626,0.9969457419059576,0.3198543658919047,0.3153002069960986,0.9977344723535124,5.740939537481271,0.9969809399346132,0.5224117965171131,0.4996410020380826,0.9977375307624088,5.8983941746816875,0.05,-0.125,0.25,,,,,,,
family,8.39434951831235,5.740939537481271,5.930026931314572,5.8983941746816875,6.096226931261867,0.9970946998309276,0.3311926483876348,0.3271725667986539,0.997950065813863,5.740939537481271,0.9971281812314692,0.4481628970540712,0.4265026473263593,0.9979528331766722,5.8983941746816875,0.0,-0.125,0.25,,,,,,,
family,8.4211021286694,5.740939537481271,5.931579113621866,5.8983941746816875,6.087021377826117,0.9972363929921712,0.3443025376242089,0.3404785177278767,0.9981451428438722,5.740939537481271,0.99726824148554,0.3775351591480311,0.3569312922649978,0.9981476468572912,5.8983941746816875,-0.05,-0.125,0.25,,,,,,,
family,8.44989656264492,5.740939537481271,5.9333089568326765,5.8983941746816875,6.087214424268802,0.9973711756963968,0.3563990403055585,0.3568651533216693,0.9983216558400236,5.740939537481271,0.9974014709204152,0.3683783183560088,0.3687311691588338,0.9983239215650606,5.8983941746816875,-0.1,-0.125,0.25,,,,,,,
family,8.505486725917402,5.740939537481271,5.9366351718880805,5.8983941746816875,6.121492370287359,0.9967891467448609,0.3875247462878645,0.3827370906723998,0.9974962047310056,5.740939537481271,0.9968261494150358,0.6004675184603379,0.5765292403830145,0.9974995847955734,5.8983941746816875,0.1,-0.125,0.25,,,,,,,
family,14.693329583132895,11.478912376571811,11.597535935771203,11.79602623195566,11.943901427199316,0.999992235519636,0.6099357086759585,0.6044928977513382,0.9999963646141516,11.478912376571811,0.9999923782785068,0.8830775812262155,0.8548350082581591,0.9999963876157976,11.79602623195566,-0.1,-0.25,-0.25,,,,,,,
family,14.694068573173311,11.478912376571811,11.597574679669314,11.79602623195566,11.958605750168886,0.9999918374262148,0.6104451233530476,0.6047232535449546,0.9999959822772844,11.478912376571811,0.9999919875044896,0.9796250333767952,0.9499344327281868,0.9999960076980344,11.79602623195566,-0.05,-0.25,-0.25,,,,,,,
family,14.694845431435423,11.478912376571811,11.597615437152246,11.79602623195566,11.975698126724843,0.9999914189221076,0.6109806562791411,0.6049654199326663,0.999995559729698,11.478912376571811,0.99999157669506,1.081122579251447,1.0499097089555214,0.9999955878239716,11.79602623195566,0.0,-0.25,-0.25,,,,,,,
family,14.7696188686648,11.478912376571811,11.601655167623178,11.79602623195566,11.995465114170171,0.999990978960836,0.648641529032584,0.642078891357176,0.9999950927423936,11.478912376571811,0.9999911448229808,1.1878240155825672,1.155010827205527,0.999995123791368,11.79602623195566,0.05,-0.25,-0.25,,,,,,,
family,14.938336733865798,11.478912376571811,11.611649530412468,11.79602623195566,12.018223130672842,0.9999905164422676,0.7331691877571291,0.7262700764529844,0.999994576641606,11.478912376571811,0.9999906908083463,1.2999961515392808,1.2655005950185565,0.9999946109560296,11.79602623195566,0.1,-0.25,-0.25,,,,,,,
