h_cap,signed_mass,signed_mass_over_required_global,signed_mass_over_required_local,min_phiL,min_phiR,min_phiL_boundary,min_phiR_boundary,min_rhs0,max_rhs0,kappa_needed,all_phiL_positive,all_phiR_positive,boundary_phiL_positive,boundary_phiR_positive,rhs0_nonnegative,admissible_global,point_count,boundary_count
0.42,0.13784403695440645,0.9485449169246621,0.9770812079965158,0.02845567968988424,0.0077871024723240095,0.02845567968988424,0.0077871024723240095,0.044630093734693524,0.15890624981365395,0.0,1,1,1,1,1,0,324,74
0.45,0.13496742366006606,0.9287501040434419,0.9566908824178866,0.030547316050146656,0.0077871024723240095,0.030547316050146656,0.0077871024723240095,0.04982293686448041,0.15890624981365395,0.0,1,1,1,1,1,0,312,72
0.48,0.13187935732501024,0.9075002212776592,0.9348017122245635,0.032611328288109635,0.0077871024723240095,0.032611328288109635,0.0077871024723240095,0.054989389639237954,0.15890624981365395,0.0,1,1,1,1,1,0,300,70
0.51,0.12858260292360613,0.8848142952202613,0.9114332964108478,0.034644201440151554,0.0077871024723240095,0.034644201440151554,0.0077871024723240095,0.060120373624635744,0.15890624981365395,0.0,1,1,1,1,1,0,288,68
0.54,0.1250802827619625,0.8607138113678576,0.8866077668490491,0.036642435692612274,0.0077871024723240095,0.036642435692612274,0.0077871024723240095,0.06520673810191278,0.15890624981365395,0.0,1,1,1,1,1,0,276,66
0.57,0.12137587507225653,0.8352227044478718,0.8603497783256376,0.03860255280771758,0.0077871024723240095,0.03860255280771758,0.0077871024723240095,0.07023929054748117,0.15890624981365395,0.0,1,1,1,1,1,0,264,64
0.6,0.11747321189333017,0.8083673438343106,0.8326864935182567,0.040521102581317255,0.0077871024723240095,0.040521102581317255,0.0077871024723240095,0.07520882567352787,0.15890624981365395,0.0,1,1,1,1,1,0,252,62
0.63,0.11337647624988366,0.7801765141369724,0.8036475630009715,0.04239466930774345,0.0077871024723240095,0.04239466930774345,0.0077871024723240095,0.0801061528807398,0.15890624981365395,0.0,1,1,1,1,1,0,240,60
0.66,0.10909019864205205,0.7506813910452027,0.7732651003613017,0.0442198782295795,0.0077871024723240095,0.0442198782295795,0.0077871024723240095,0.08492212208269853,0.15890624981365395,0.0,1,1,1,1,1,0,228,58
0.69,0.1046192528568384,0.7199155125051475,0.7415736525103627,0.045993401952497806,0.0077871024723240095,0.045993401952497806,0.0077871024723240095,0.08964764793886504,0.15890624981365395,0.0,1,1,1,1,1,0,216,56
