objective_tol,lambda_upper,family_g_floor,proxy_name,envelope,xi_upper,a_upper_rank1,det_deficit_upper,opA_upper_from_detdeficit,trA_upper_from_detdeficit,sigma_upper_from_detdeficit,trA_vs_sigma_gain,heff_loewner_factor_from_detdeficit,cor1_logdet_gap_upper_from_detdeficit,lifted_g_floor,separator_min,eps_delta_factor_max,tail_mass_upper,eps0_upper,eps_delta_upper,delta_q_ref,conditional_statement
1e-06,0.2023574324645399,1.3375010684862083,xi_exact,exact,0.1332407081230305,0.0054560111969053,0.0054560111969053,0.0054560111969053,0.005463473582802747,0.005470949586787628,7.4760039848811854e-06,0.9945439888030947,0.010971885121886774,1.3338473676088858,0.0118651092399538,0.5812723046629771,0.0842807242458972,0.0920377308607939,0.0534989839334045,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1e-06,0.2023574324645399,1.3375010684862083,runnerup_blend_abs_action,p95,0.1796951674928049,0.0073582530420451,0.0073582530420451,0.0073582530420451,0.007371839044770567,0.007385458524667236,1.3619479896668715e-05,0.9926417469579549,0.014825596575189724,1.332571147186664,0.0118355714341732,0.5823372808109192,0.0844910620126601,0.0922886260383276,0.0537431075369355,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1e-06,0.2023574324645399,1.3375010684862083,runnerup_blend_abs_action,max,0.1800120579497321,0.0073712292405774,0.0073712292405774,0.0073712292405774,0.007384863292037913,0.007398530998586266,1.3667706548353004e-05,0.9926287707594226,0.01485193550240933,1.3325624372143456,0.0118353695584954,0.5823445589780244,0.0844925031751291,0.092290345483967,0.0537447805387903,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1e-06,0.2023574324645399,1.3375010684862083,best_blend_curv_action,p95,0.2245821723535536,0.0091963099284559,0.0091963099284559,0.0091963099284559,0.009217550738861657,0.009238857038437805,2.1306299576147325e-05,0.9908036900715441,0.018563334029956736,1.3313368265051817,0.0118069242356859,0.5833700364765975,0.0846960630930059,0.0925332664679799,0.0539811350347241,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1e-06,0.2023574324645399,1.3375010684862083,best_blend_curv_action,max,0.2249006669695656,0.0092093518149454,0.0092093518149454,0.0092093518149454,0.009230653053895699,0.009252020062007201,2.1367008111502356e-05,0.9907906481850546,0.01858990460157296,1.3313280643250027,0.0118067205964156,0.5833773774566406,0.0846975239088479,0.0925350101428253,0.053982831540045,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
2e-06,0.2406448984605134,1.330785531528289,xi_exact,exact,0.1332407081230305,0.007715965031123,0.007715965031123,0.007715965031123,0.007730906760959666,0.007745887107143725,1.4980346184059225e-05,0.992284034968877,0.015551928196375771,1.3256414420967493,0.0116737245411593,0.5881705766421605,0.0856624632930295,0.0936880089179614,0.0551045302297332,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
2e-06,0.2406448984605134,1.330785531528289,runnerup_blend_abs_action,p95,0.1796951674928049,0.0104061412474332,0.0104061412474332,0.0104061412474332,0.010433354971423059,0.010460663710739403,2.730873931634445e-05,0.9895938587525668,0.021031135461068176,1.323843252607655,0.0116313198090685,0.5896983598571351,0.0859747660983697,0.0940616986375483,0.0554680294119383,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
2e-06,0.2406448984605134,1.330785531528289,runnerup_blend_abs_action,max,0.1800120579497321,0.0104244923633856,0.0104244923633856,0.0104244923633856,0.010451802406773236,0.01047920797103825,2.7405564265014365e-05,0.9895755076366144,0.0210686143360242,1.3238309778176258,0.0116310297647923,0.5897088089311399,0.0859769100606245,0.0940642649042128,0.0554705256196466,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
2e-06,0.2406448984605134,1.330785531528289,best_blend_curv_action,p95,0.2245821723535536,0.0130055462246087,0.0130055462246087,0.0130055462246087,0.013048109515088058,0.013090858839629774,4.274932454171633e-05,0.9869944537753913,0.02635383851420983,1.3221034138500511,0.011590129794858,0.5911821516701706,0.0862803107212524,0.0944275489886384,0.0558238815880437,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
2e-06,0.2406448984605134,1.330785531528289,best_blend_curv_action,max,0.2249006669695656,0.013023990237361,0.013023990237361,0.013023990237361,0.013066674734515393,0.01310954606225395,4.287132773855666e-05,0.986976009762639,0.026391705793321524,1.3220910606873493,0.011589836769303,0.5911927065571161,0.0862824921442044,0.0944301618414667,0.0558264229596832,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
