edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_barrier,phi_floor,barrier_minus_floor,component_exact,component_barrier,component_certified,component_barrier_minus_certified
outer_rho,out,11,rho_plus,0.69,-0.875,0.75,-0.875,200.0,0.054610934148860237,0.05461090684339316,0.054610000000000006,9.068433931558317e-07,10.922186829772047,10.922181368678633,10.922,0.00018136867863205453
outer_rho,out,12,rho_plus,0.69,-0.8449999999999989,0.75,-0.8449999999999989,200.0,0.05323346944455552,0.053233442827820804,0.053230000000000006,3.442827820797356e-06,10.646693888911104,10.64668856556416,10.646,0.0006885655641593047
outer_rho,out,13,rho_plus,0.69,-0.8150000000000013,0.75,-0.8150000000000013,200.0,0.051786640779660185,0.051786614886339795,0.05178000000000001,6.614886339788295e-06,10.357328155932038,10.357322977267959,10.356000000000002,0.0013229772679572704
outer_rho,out,14,rho_plus,0.69,-0.7850000000000001,0.75,-0.7850000000000001,200.0,0.050273316412126776,0.05027329127546857,0.05027,3.291275468567112e-06,10.054663282425356,10.054658255093713,10.054,0.0006582550937128673
outer_rho,out,15,rho_plus,0.69,-0.754999999999999,0.75,-0.754999999999999,200.0,0.04869644757600486,0.048696423227781074,0.048690000000000004,6.42322778107024e-06,9.739289515200971,9.739284645556214,9.738000000000001,0.0012846455562129933
outer_rho,out,16,rho_plus,0.69,-0.7250000000000014,0.75,-0.7250000000000014,200.0,0.04705906269487701,0.047059039165345665,0.04705,9.039165345663125e-06,9.411812538975402,9.411807833069133,9.41,0.0018078330691331246
outer_rho,out,17,rho_plus,0.69,-0.6950000000000003,0.75,-0.6950000000000003,200.0,0.045364261485322896,0.04536423880319215,0.045360000000000004,4.238803192148366e-06,9.072852297064578,9.07284776063843,9.072000000000001,0.0008477606384289516
outer_rho,out,18,rho_plus,0.69,-0.6649999999999991,0.75,-0.6649999999999991,200.0,0.04361520896207351,0.04361518715446903,0.04361,5.187154469024624e-06,8.723041792414701,8.723037430893806,8.722000000000001,0.0010374308938043697
outer_rho,out,19,rho_plus,0.69,-0.6350000000000016,0.75,-0.6350000000000016,200.0,0.0418151293573778,0.04181510844981312,0.04181000000000001,5.1084498131140355e-06,8.36302587147556,8.363021689962624,8.362000000000002,0.0010216899626218634
outer_rho,out,20,rho_plus,0.69,-0.6050000000000004,0.75,-0.6050000000000004,200.0,0.0399672999681164,0.03996727998446641,0.03996,7.279984466410094e-06,7.993459993623279,7.993455996893283,7.992000000000001,0.0014559968932816858
