q_ss,q_bb,q_sb,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,-0.125,-0.0625,0.10614217093533033,0.00789293901501229,0.007951558247689982,0.11118118026291005,0.0988018912644628,0.1189647712418489,0.008667775674159772,0.008694048429213064,0.12116622039351332,0.11043848118143185,0.33196973972540544
0.0,-0.0625,-0.0625,0.10621360686627965,0.008048963582964495,0.0081075054052679,0.11136160469833611,0.09883431089542855,0.11905372836398342,0.008836568343236095,0.00886275693039984,0.12129592921374566,0.11048178954035848,0.3325659914482767
0.0,0.0,-0.0625,0.1062850476163488,0.00820501234360278,0.008263476739812158,0.11154206044332202,0.09886673052639379,0.11914269255816357,0.009005389258446739,0.009031493662062129,0.12142565304011921,0.11052509789928511,0.33316232766947956
0.0,0.0625,-0.0625,0.1063564931858762,0.008361085300683867,0.008419472255076776,0.11172254750358857,0.09889915015735905,0.1192316638249511,0.009174238424518144,0.009200258628923486,0.12155539187436903,0.11056840625821174,0.33375874840258446
0.0,0.125,-0.0625,0.10642794357519993,0.008517182457965821,0.00857549195481737,0.11190306588485863,0.09893156978832479,0.11932064216490845,0.009343115846177197,0.009369051835708353,0.12168514571823197,0.11061171461713837,0.33435525366116653
0.0,0.125,0.125,0.18620248170133485,0.015905184564941943,0.016006799103600654,0.19020663123094017,0.1976686217899818,0.20145733841873104,0.017441611711950578,0.017489290267222013,0.20464775908754007,0.22096357907916264,0.6059897183907994
0.0,0.0625,0.125,0.18620213472550132,0.016057494313620777,0.016159025887075205,0.19033893134471364,0.19770104142094744,0.20152081710190384,0.017606007668725443,0.017653602947731994,0.20473976352468293,0.22100688743809016,0.6064586276918584
0.0,0.0,0.125,0.18620178677382004,0.016209780450475296,0.016311229074427346,0.1904712083847505,0.19773346105191317,0.20158429073895512,0.017770376119725317,0.017817888137738658,0.20483175731897374,0.2210501957970168,0.6069274657353864
0.0,-0.0625,0.125,0.18620143784641818,0.016362042979171897,0.016463408669320632,0.19060346235528228,0.19776588068287843,0.2016477593302861,0.01793471706955141,0.017982145841840547,0.20492374047164308,0.22109350415594342,0.6073962325330715
0.0,-0.125,0.125,0.18620108794342305,0.016514281903376005,0.01661556467541849,0.1907356932605399,0.19779830031384416,0.20171122287629795,0.018099030522804926,0.018146376064636427,0.20501571298392218,0.22113681251487005,0.6078649280966016
0.0,-0.125,-0.125,0.22384343660525274,0.01616286806131941,0.016285751939822513,0.23520536341929307,0.19766862179056255,0.2522812469653233,0.01775122162669862,0.01780528417142624,0.2573045608719575,0.22096357908019382,0.6891660418162503
0.0,-0.0625,-0.125,0.2239226494285517,0.016320175367601174,0.016442984183254204,0.23540550265233667,0.1977010414215287,0.2523808026785117,0.017921534339463863,0.017975512448073383,0.25745001967039194,0.22100688743912134,0.6897923530532725
