width_peak,refamp_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,extra_width_beta,extra_refamp_beta,width_component,refamp_component
0.0,0.0,5.63,0.15,5.898305084745763,0.5800000000000001,-13.035251325943428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,0.77,-13.033783990446778,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,0.96,-13.032316420181012,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,1.15,-13.030849387158916,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,1.34,-13.029382278677964,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,1.53,-13.027914871799616,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,1.72,-13.026447166470142,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,1.91,-13.024979162643547,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,2.1,-13.02351205437919,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,2.29,-13.022045722537882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,2.4800000000000004,-13.020579092519803,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,2.6700000000000004,-13.019112164269103,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,2.8600000000000003,-13.017644937754476,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,3.0500000000000003,-13.016177412907751,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,3.24,-13.014709589706662,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,3.43,-13.013241468088154,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,3.62,-13.01177304801756,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,3.81,-13.010304329444338,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,5.898305084745763,4.0,-13.008835312309223,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,0.2,-0.7906554960706131,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,0.39,-0.7886349930710566,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,0.5800000000000001,-0.7866142976205168,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,0.77,-0.7845938668794759,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,0.96,-0.7825732975518775,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,1.15,-0.7805532418536956,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,1.34,-0.778533182105221,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,1.53,-0.7765129299497033,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,1.72,-0.7744924854291213,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,1.91,-0.7724718485043383,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,2.1,-0.7704520277439286,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,2.29,-0.768432922542786,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,2.4800000000000004,-0.7664136251116247,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,2.6700000000000004,-0.7643941354834709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,2.8600000000000003,-0.7623744536072792,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,3.0500000000000003,-0.76035457945828,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,3.24,-0.7583345130212109,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,3.43,-0.7563142542729508,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,3.62,-0.75429380319801,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,3.81,-0.7522731597469061,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.169491525423729,4.0,-0.7502523239387244,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,0.2,30.243964462376354,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,0.39,30.244042938605986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.4406779661016955,0.5800000000000001,30.24412141671715,0.0,0.0,0.0,0.0,0.0
