beta_peak,center_D,sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch,slice_max_beta_eff
0.2,6.0,0.1,6.169491525423728,30.276331437847787,30.275870365654082,0.0,0.047557928103354394
0.2,6.0,0.1,6.4406779661016955,2.0075417395583415,2.007534886842494,0.0,1.2136520804648272e-05
0.2,6.0,0.1,6.711864406779661,20.6944482976973,20.694422780848534,0.0,1.9818614345005904e-12
0.2,6.0,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,1.3846973485687124e-35
0.2,6.0,0.15,4.813559322033898,1.3307499165754653,1.3279309276456186,0.0,5.198741894046933e-15
0.2,6.0,0.15,5.627118644067797,8.849723555861246,8.849280791610997,0.0,0.009102311144257667
0.2,6.0,0.15,5.898305084745763,37.8397444277924,37.83955893375161,0.0,0.15893548243506847
0.2,6.0,0.15,6.169491525423728,28.44312368786354,28.44267431831026,0.0,0.10562881535826152
0.2,6.0,0.15,6.4406779661016955,1.9714319633348723,1.971425093021321,0.0,0.0026719991201275602
0.2,6.0,0.15,6.711864406779661,20.694448476944896,20.69442296007193,0.0,2.572661038762673e-06
0.2,6.0,0.15,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,1.315079954229318e-16
0.2,6.0,0.2,4.813559322033898,1.330749906359907,1.327930917450661,0.0,4.564501900343312e-09
0.2,6.0,0.2,5.627118644067797,8.722225014822925,8.721784604827628,0.0,0.03517413623658345
0.2,6.0,0.2,5.898305084745763,37.40060885508105,37.40042563334352,0.0,0.17574677299603336
0.2,6.0,0.2,6.169491525423728,27.341309543145925,27.340867714980998,0.0,0.13966199076265512
0.2,6.0,0.2,6.4406779661016955,1.7675888033225178,1.7675818339771538,0.0,0.01765208653996555
0.2,6.0,0.2,6.711864406779661,20.694473021218375,20.694447501031927,0.0,0.0003548467389655561
0.2,6.0,0.2,7.254237288135593,0.13179658505165603,0.13179657805078007,0.0,5.769141776993994e-10
0.2,6.1,0.1,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,2.3157407900476396e-37
0.2,6.1,0.1,5.627118644067797,8.894144453500644,8.893700862061662,0.0,2.7877471767157035e-06
0.2,6.1,0.1,5.898305084745763,41.18347691474049,41.183276708052745,0.0,0.02616114839658128
0.2,6.1,0.1,6.169491525423728,26.768840831693097,26.76840306931841,0.0,0.15709704906141342
0.2,6.1,0.1,6.4406779661016955,1.9995136354274905,1.9995067787978087,0.0,0.0006036525693767197
0.2,6.1,0.1,6.711864406779661,20.694448297800577,20.694422780951797,0.0,1.4842733268823902e-09
0.2,6.1,0.1,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0,2.351207465387398e-30
0.2,6.1,0.15,4.813559322033898,1.3307499165754795,1.3279309276456324,0.0,2.1346334308314622e-17
0.2,6.1,0.15,5.627118644067797,8.887376834928126,8.886933369745579,0.0,0.0013896552018406842
0.2,6.1,0.15,5.898305084745763,39.829126888510444,39.82893208079881,0.0,0.08098781616740262
0.2,6.1,0.15,6.169491525423728,26.02020108320515,26.01976878800071,0.0,0.17964894716931487
0.2,6.1,0.15,6.4406779661016955,1.8014503161655497,1.8014433632346083,0.0,0.015167780018204803
0.2,6.1,0.15,6.711864406779661,20.69445169381398,20.694426176506738,0.0,4.874294029795146e-05
0.2,6.1,0.15,7.254237288135593,0.1317965848954743,0.13179657789459834,0.0,2.775672345547915e-14
0.2,6.1,0.2,4.813559322033898,1.33074991611117,1.327930927182258,0.0,2.0746506818880323e-10
0.2,6.1,0.2,5.627118644067797,8.834492691623907,8.834050210168389,0.0,0.012220411857002835
