alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
1.0,8.0,0.2,2.0000312369836744,2.3245432700992796,-0.3245120331156053,-0.1503607778440056,1.0
0.0,8.0,0.6,2.010642552191636,2.3245432642222132,-0.31390071203057746,-0.14506922555331894,1.0
0.25,8.0,0.6,2.0079844557106474,2.3245432642222132,-0.3165588085115658,-0.1463921136259904,1.0
0.5,8.0,0.6,2.0053298732689364,2.3245432642222132,-0.31921339095327683,-0.1477150016986621,1.0
0.75,8.0,0.6,2.0026788002208966,2.3245432642222132,-0.32186446400131663,-0.14903788977133364,1.0
1.0,8.0,0.6,2.000031231927062,2.3245432642222132,-0.32451203229515135,-0.1503607778440052,1.0
0.0,8.0,1.0,2.0106425465029867,2.324543258320207,-0.3139007118172201,-0.14506922584359197,1.0
0.25,8.0,1.0,2.0079844501752344,2.324543258320207,-0.3165588081449724,-0.14639211384369538,1.0
0.5,8.0,1.0,2.0053298678863647,2.324543258320207,-0.3192133904338421,-0.1477150018437988,1.0
0.75,8.0,1.0,2.002678794990772,2.324543258320207,-0.32186446332943497,-0.1490378898439019,1.0
1.0,8.0,1.0,2.0000312268489897,2.324543258320207,-0.3245120314712171,-0.15036077784400548,1.0
0.0,8.0,2.0,2.0106425318039802,2.3245432430099426,-0.3139007112059624,-0.14506922656783977,1.0
0.25,8.0,2.0,2.0079844358592296,2.3245432430099426,-0.31655880715071305,-0.14639211438688124,1.0
0.5,8.0,2.0,2.0053298539523747,2.3245432430099426,-0.3192133890575679,-0.14771500220592276,1.0
0.75,8.0,2.0,2.0026787814378113,2.3245432430099426,-0.32186446157213133,-0.1490378900249642,1.0
1.0,8.0,2.0,2.000031213676076,2.3245432430099426,-0.3245120293338668,-0.15036077784400584,1.0
0.0,8.0,4.0,2.0106425021571295,2.324543212101218,-0.3139007099440887,-0.145069228016116,1.0
0.25,8.0,4.0,2.007984406978602,2.324543212101218,-0.31655880512261625,-0.1463921154730883,1.0
0.5,8.0,4.0,2.005329825835996,2.324543212101218,-0.319213386265222,-0.1477150029300604,1.0
0.75,8.0,4.0,2.002678754083711,2.324543212101218,-0.3218644580175072,-0.14903789038703275,1.0
1.0,8.0,4.0,2.000031187082288,2.324543212101218,-0.32451202501892995,-0.15036077784400495,1.0
0.0,8.8,0.2,1.2145655576357983,1.58369053588783,-0.3691249782520316,-0.2653714584287997,0.0
0.25,8.8,0.2,1.2360952934150509,1.58369053588783,-0.34759524247277906,-0.24780045125176428,0.0
0.5,8.8,0.2,1.2580066714365108,1.58369053588783,-0.32568386445131914,-0.2302294440747293,0.0
0.75,8.8,0.2,1.280306456799506,1.58369053588783,-0.303384079088324,-0.21265843689769406,0.0
1.0,8.8,0.2,1.3030015345234454,1.58369053588783,-0.28068900136438457,-0.1950874297206588,0.0
0.0,8.8,0.6,1.2145655553142571,1.58369053214171,-0.36912497682745293,-0.26537145797477985,0.0
0.25,8.8,0.6,1.2360952909120542,1.58369053214171,-0.3475952412296559,-0.24780045091124972,0.0
0.5,8.8,0.6,1.2580066687463554,1.58369053214171,-0.3256838633953547,-0.2302294438477195,0.0
0.75,8.8,0.6,1.2803064539163427,1.58369053214171,-0.3033840782253674,-0.21265843678418941,0.0
1.0,8.8,0.6,1.303001531441277,1.58369053214171,-0.280689000700433,-0.19508742972065918,0.0
0.0,8.8,1.0,1.2145655524896561,1.5836905276071858,-0.3691249751175296,-0.2653714574371218,0.0
0.25,8.8,1.0,1.2360952878712343,1.5836905276071858,-0.3475952397359514,-0.24780045050800603,0.0
0.5,8.8,1.0,1.2580066654825388,1.5836905276071858,-0.32568386212464695,-0.2302294435788903,0.0
0.75,8.8,1.0,1.2803064504225794,1.5836905276071858,-0.30338407718460636,-0.21265843664977443,0.0
1.0,8.8,1.0,1.30300152771044,1.5836905276071858,-0.2806889998967457,-0.19508742972065865,0.0
0.0,8.8,2.0,1.2145655435466616,1.5836905136293764,-0.36912497008271483,-0.2653714559741449,0.0
0.25,8.8,2.0,1.2360952783176191,1.5836905136293764,-0.3475952353117573,-0.2478004494107734,0.0
0.5,8.8,2.0,1.2580066552994649,1.5836905136293764,-0.32568385832991154,-0.2302294428474018,0.0
0.75,8.8,2.0,1.2803064395907324,1.5836905136293764,-0.303384074038644,-0.2126584362840304,0.0
1.0,8.8,2.0,1.3030015162100195,1.5836905136293764,-0.28068899741935693,-0.1950874297206588,0.0
0.0,8.8,4.0,1.2145655254293668,1.5836904855004585,-0.36912496007109175,-0.26537145312920696,0.0
0.25,8.8,4.0,1.236095259000018,1.5836904855004585,-0.3475952265004405,-0.24780044727707018,0.0
0.5,8.8,4.0,1.2580066347446965,1.5836904855004585,-0.325683850755762,-0.23022944142493335,0.0
0.75,8.8,4.0,1.2803064177610064,1.5836904855004585,-0.30338406773945215,-0.21265843557279637,0.0
1.0,8.8,4.0,1.3030014930665936,1.5836904855004585,-0.2806889924338649,-0.19508742972065946,0.0
0.0,9.600000000000001,0.2,1.0000000014340404,1.0000000014340387,1.7763568394002505e-15,1.7763568394002489e-15,0.0
0.25,9.600000000000001,0.2,1.0000000014340404,1.0000000014340387,1.7763568394002505e-15,1.7763568394002489e-15,0.0
0.5,9.600000000000001,0.2,1.0000000014340404,1.0000000014340387,1.7763568394002505e-15,1.7763568394002489e-15,0.0
0.75,9.600000000000001,0.2,1.0000000014340404,1.0000000014340387,1.7763568394002505e-15,1.7763568394002489e-15,0.0
1.0,9.600000000000001,0.2,1.0000000014340404,1.0000000014340387,1.7763568394002505e-15,1.7763568394002489e-15,0.0
