center_D,sigma_D,beta_peak,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch,slice_max_beta_eff
6.71,0.08,0.65,6.711864406779661,13.173106635848633,13.17311028097299,0.0,0.6498235076986397
6.71,0.1,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,9.869920542339783e-16
6.71,0.1,0.2,6.4406779661016955,5.531162979348991,5.5311991119788075,0.0,0.005320671245668193
6.71,0.1,0.2,6.711864406779661,19.355792487151877,19.355801776802718,0.0,0.19996524289409054
6.71,0.1,0.35,5.898305084745763,30.544136573925428,30.54537190672358,0.0,1.7272360949094618e-15
6.71,0.1,0.35,6.4406779661016955,5.413775822352754,5.4138116395129785,0.0,0.009311174679919338
6.71,0.1,0.35,6.711864406779661,17.840028162850864,17.84003428122906,0.0,0.3499391750646584
6.71,0.1,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.4674801355849455e-15
6.71,0.1,0.5,6.4406779661016955,5.2966233759749315,5.2966588782962205,0.0,0.013301678114170483
6.71,0.1,0.5,6.711864406779661,15.831975138417999,15.831977055559818,0.0,0.4999131072352263
6.71,0.1,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,3.2077241762604294e-15
6.71,0.1,0.65,6.4406779661016955,5.17970517092143,5.179740359033559,0.0,0.017292181548421628
6.71,0.1,0.65,6.711864406779661,13.171813951367884,13.171817599197006,0.0,0.6498870394057942
6.74,0.03,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,2.343583605401246e-172
6.74,0.03,0.2,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,4.8343784698779093e-23
6.74,0.03,0.2,6.711864406779661,19.938598674063147,19.93860918305736,0.0,0.1288350805455719
6.74,0.03,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,4.10127130945218e-172
6.74,0.03,0.35,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,8.46016232228634e-23
6.74,0.03,0.35,6.711864406779661,19.12722622702891,19.12723503847486,0.0,0.22546139095475082
6.74,0.03,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,5.858959013503115e-172
6.74,0.03,0.5,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,1.2085946174694772e-22
6.74,0.03,0.5,6.711864406779661,18.154667652474423,18.15467442913942,0.0,0.3220877013639298
6.74,0.03,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,7.61664671755405e-172
6.74,0.03,0.65,6.4406779661016955,5.688045106969767,5.6880816612090825,0.0,1.5711730027103205e-22
6.74,0.03,0.65,6.711864406779661,16.98890193736196,16.988906275019062,0.0,0.41871401177310874
6.74,0.05,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,5.83198179553903e-63
6.74,0.05,0.2,6.4406779661016955,5.688045009424087,5.688081563663147,0.0,3.303861477582725e-09
6.74,0.05,0.2,6.711864406779661,19.60490046236707,19.604910273200026,0.0,0.17071492249096784
6.74,0.05,0.35,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.0205968142193302e-62
6.74,0.05,0.35,6.4406779661016955,5.688044936264859,5.68808149050362,0.0,5.781757585769768e-09
6.74,0.05,0.35,6.711864406779661,18.405939074857745,18.405946377231256,0.0,0.29875111435919366
6.74,0.05,0.5,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.4579954488847575e-62
6.74,0.05,0.5,6.4406779661016955,5.688044863105432,5.688081417344186,0.0,8.259653693956812e-09
6.74,0.05,0.5,6.711864406779661,16.881598866264493,16.881602979422762,0.0,0.42678730622741956
6.74,0.05,0.65,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.8953940835501848e-62
6.74,0.05,0.65,6.4406779661016955,5.688044789946176,5.68808134418466,0.0,1.0737549802143856e-08
6.74,0.05,0.65,6.711864406779661,14.943577262115012,14.943577320556019,0.0,0.5548234980956455
6.74,0.08,0.2,5.898305084745763,30.544136573925506,30.545371906723688,0.0,1.8358495651785892e-25
