D,eta,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,cur_partial_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,2.1,1199.8223670460682,430.7879162236567,2.7851811108442135,11.992041936497557,969.7564922940676,490.8014509857266,1.9758631323245006,2.0726146698161587,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8093179785197129,-0.3433075701798314,-0.21288379624753473,0.13042377393229673,-1.124689230642347e-11,0.1064418981125206,1.1102230246251565e-16,0.13042377393229673,0.21288379624753473,2.249378461284694e-11,0.2128837962250412,2.251122781704464,2.444618622533292,2.4446186224783037,1.975863132368945,2.7851811107815645,2.2511227817551,-0.5340583291397496,-0.3405624883109213,-0.34056248836590974,-0.8093179784752684,-6.264899710117788e-11,-0.5340583290891137,1.0
4.0,2.1950000000000003,1202.511572960845,428.7590380643746,2.8046325936114678,12.331204518972994,971.9300431184197,488.5915778157183,1.9892484587300883,2.170085913223654,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8153841348813795,-0.3435156392502684,-0.21288379624753584,0.1306318430027325,-1.1247336395633325e-11,0.1064418981125206,-5.551115123125783e-17,0.1306318430027325,0.21288379624753584,2.249467279126665e-11,0.2128837962250412,2.2668444436907533,2.4611794954320625,2.4611794953766983,1.989248458774836,2.804632593548378,2.2668444437417454,-0.5377881499207144,-0.3434530981794053,-0.34345309823476944,-0.8153841348366317,-6.3089977686559e-11,-0.5377881498697223,1.0
4.0,2.29,1205.178862413571,426.7423812301534,2.824136798738971,12.67603513451553,974.0858799611497,486.3841417716133,2.002708962535505,2.270363084503904,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8214278362034664,-0.3437020145921267,-0.21288379624753528,0.1308182183445913,-1.1247114351028397e-11,0.1064418981125206,-1.1102230246251565e-16,0.1308182183445913,0.21288379624753528,2.2494228702056794e-11,0.2128837962250412,2.282608718527536,2.4778333808824615,2.4778333808267248,2.002708962580554,2.8241367986754446,2.282608718578881,-0.5415280802114353,-0.34630341785650964,-0.3463034179122464,-0.8214278361584171,-6.352651737984161e-11,-0.5415280801600901,1.0
4.0,2.3850000000000002,1207.8242675345248,424.7379260459354,2.8436930009492456,13.026559256186491,976.2240287915527,484.1791402912532,2.0162455330155584,2.3734909810101863,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8274474679336872,-0.3438664249305302,-0.21288379624753692,0.13098262868299332,-1.124778048484318e-11,0.1064418981125206,0.0,0.13098262868299332,0.21288379624753692,2.249556096968636e-11,0.2128837962250412,2.298415020009242,2.494581379131637,2.4945813790755196,2.016245533060915,2.8436930008852745,2.2984150200609466,-0.5452779809400035,-0.3491116218176087,-0.349111621873726,-0.8274474678883306,-6.397105067890152e-11,-0.545277980888299,1.0
4.0,2.4800000000000004,1210.4478221531972,422.745651475404,2.863300469037759,13.382801641788287,978.3445169523214,481.97657038902264,2.0298590783420454,2.4795153660618183,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8334413906957137,-0.34400859851883425,-0.21288379624753598,0.1311248022712983,-1.1247336395633325e-11,0.1064418981125206,0.0,0.1311248022712983,0.21288379624753598,2.249467279126665e-11,0.2128837962250412,2.3142627571397814,2.5114246138068417,2.5114246137503473,2.0298590783877066,2.8633004689733492,2.31426275719184,-0.5490377118979777,-0.35187585523091736,-0.3518758552874117,-0.8334413906500524,-6.440981081823338e-11,-0.5490377118459189,1.0
4.0,2.575,1213.049561768705,420.76553515460034,2.882958465985097,13.744786323980453,980.4473731356161,479.77642865957404,2.043550525970699,2.588482996732273,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8394079400143979,-0.344128263097815,-0.21288379624753528,0.13124446685027968,-1.1247114351028397e-11,0.1064418981125206,-5.551115123125783e-17,0.13124446685027968,0.21288379624753528,2.2494228702056794e-11,0.2128837962250412,2.330151334223165,2.5283642323942215,2.5283642323373483,2.0435505260166673,2.882958465920247,2.3301513342755804,-0.5528071317619321,-0.3545942335908756,-0.3545942336477488,-0.8394079399684298,-6.48499032251948e-11,-0.5528071317095167,1.0
4.0,2.6700000000000004,1215.62952352036,418.7975534251082,2.902666249070497,14.112536600597483,982.5326273592868,477.5787112815179,2.0573208230383497,2.700441652498835,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8453454260321474,-0.34422514585383135,-0.2128837962475357,0.13134134960629548,-1.1247225373330861e-11,0.1064418981125206,-1.6653345369377348e-16,0.13134134960629548,0.2128837962475357,2.2494450746661722e-11,0.2128837962250412,2.346080150955297,2.5454014067301753,2.5454014066729176,2.057320823084628,2.9026662490052026,2.34608015100807,-0.5565860981152002,-0.35726484234032174,-0.3572648423975795,-0.8453454259858693,-6.52944365242547e-11,-0.5565860980624269,1.0
4.0,2.765,1218.1877461583854,416.8416813668033,2.9224230699866864,14.486075025173047,984.6003109432053,475.38341402108745,2.0711709367704816,2.8154401647835368,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8512521332162049,-0.34429897337599313,-0.21288379624753515,0.131415177128458,-1.124689230642347e-11,0.1064418981125206,0.0,0.131415177128458,0.21288379624753515,2.249378461284694e-11,0.2128837962250412,2.3620486025167864,2.5625373335055985,2.5625373334479566,2.07117093681707,2.9224230699209492,2.362048602569918,-0.5603744674699,-0.3598857364810879,-0.3598857365387298,-0.8512521331696163,-6.573719346647522e-11,-0.5603744674167683,1.0
4.0,2.8600000000000003,1220.724270014829,414.89789283016677,2.94222817495609,14.865423397677455,986.6504564857499,473.1905322357675,2.085101854899647,2.9335284474183565,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8571263200564432,-0.34434947161229873,-0.21288379624753528,0.13146567536476333,-1.1247003328725933e-11,0.1064418981125206,-1.1102230246251565e-16,0.13146567536476333,0.21288379624753528,2.2494006657451866e-11,0.2128837962250412,2.378056079666866,2.5797732347835782,2.579773234725549,2.0851018549465494,2.9422281748899075,2.3780560797203583,-0.5641720952892242,-0.3624549401725119,-0.36245494023054103,-0.8571263200095407,-6.618261494395483e-11,-0.5641720952357319,1.0
4.0,2.955,1223.2391369746092,412.966160468165,2.9620808048481906,15.250602755469819,988.683097840409,471.0000608778976,2.09911458609496,3.0547575280670443,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,0.0,-0.8629662187532308,-0.3443763658247121,-0.21288379624753528,0.1314925695771769,-1.1247003328725933e-11,0.1064418981125206,1.1102230246251565e-16,0.1314925695771769,0.21288379624753528,2.2494006657451866e-11,0.2128837962250412,2.394101968838256,2.5971103585307658,2.597110358472346,2.099114586142177,2.9620808047815608,2.3941019688921084,-0.5679788360099347,-0.3649704463174248,-0.36497044637584475,-0.8629662187060134,-6.662981277827384e-11,-0.5679788359560822,1.0
