mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,5.898305084745763,0.96,90.80341161896216,90.80341161896216,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,0.96,60.26298173779924,90.80341161896216,-30.540429881162922,-0.4099788441080581,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,0.96,60.25894440075592,90.80341161896216,-30.544467218206236,-0.410045841660689,0.0
full_direct,5.898305084745763,1.15,90.80500805110192,90.80500805110192,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,1.15,60.26581328900283,90.80500805110192,-30.539194762099093,-0.40994943967199465,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,1.15,60.26177576225884,90.80500805110192,-30.54323228884308,-0.4100164372246259,0.0
full_direct,5.898305084745763,1.34,90.8066044569945,90.8066044569945,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,1.34,60.268644897635,90.8066044569945,-30.537959559359507,-0.4099200358924533,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,1.34,60.26460718118651,90.8066044569945,-30.541997275807994,-0.40998703344508464,0.0
full_direct,5.898305084745763,1.53,90.80820083658355,90.80820083658355,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,1.53,60.27147678658714,90.80820083658355,-30.536724049996415,-0.40989062907064233,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,1.53,60.2674388804154,90.80820083658355,-30.540761956168154,-0.40995762662327356,0.0
full_direct,5.898305084745763,1.72,90.80979718986694,90.80979718986694,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,1.72,60.27430895591068,90.80979718986694,-30.535488233956258,-0.4098612192061597,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,1.72,60.2702708599969,90.80979718986694,-30.539526329870043,-0.40992821675879054,0.0
full_direct,5.898305084745763,1.91,90.81139351683984,90.81139351683984,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,1.91,60.27714140564782,90.81139351683984,-30.534252111192025,-0.40983180629872645,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,1.91,60.27310311997318,90.81139351683984,-30.538290396866664,-0.4098988038513576,0.0
full_direct,5.898305084745763,2.1,90.81298981754493,90.81298981754493,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,2.1,60.27997294177464,90.81298981754493,-30.533016875770294,-0.409802410157257,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,2.1,60.27593446640037,90.81298981754493,-30.53705535114456,-0.40986940770988795,0.0
full_direct,5.898305084745763,2.29,90.81458609192988,90.81458609192988,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,2.29,60.28280368338697,90.81458609192988,-30.53178240854291,-0.40977302880323946,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,2.29,60.27876501836629,90.81458609192988,-30.53582107356359,-0.4098400263558706,0.0
full_direct,5.898305084745763,2.4800000000000004,90.81618234001765,90.81618234001765,0.0,0.0,0.0
fullwidthrefamp_pointamp2_widthboost_base,5.898305084745763,2.4800000000000004,60.28563470510325,90.81618234001765,-30.5305476349144,-0.4097436444094411,0.0
fullwidthrefamp_pointamp3_widthboost_candidate,5.898305084745763,2.4800000000000004,60.28159585041738,90.81618234001765,-30.534586489600265,-0.40981064196207234,0.0
full_direct,5.898305084745763,2.6700000000000004,90.81777856178608,90.81777856178608,0.0,0.0,0.0
