family,peak,center_D,sigma_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta
pointamp3,0.25,6.1,0.03,5.627118644067797,1.72,48.24239526376186,58.50670630618943,58.50670630618943,10.264311042427572,0.1929031811307359,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,1.91,48.244713462375024,58.50971648889707,58.50971648889707,10.265003026522045,0.1929065780374382,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,2.1,48.24703162394638,58.512725619946536,58.512725619946536,10.26569399600016,0.19290995740077088,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,2.29,48.249349748467594,58.5157338313672,58.5157338313672,10.266384082899606,0.19291332147992438,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,2.4800000000000004,48.25166783592071,58.51874231460356,58.51874231460356,10.267074478682844,0.19291669063768385,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,2.6700000000000004,48.25398588629282,58.52175106972318,58.52175106972318,10.267765183430363,0.19292006487469476,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,2.8600000000000003,48.25630389956368,58.52476009677827,58.52476009677827,10.26845619721459,0.19292344419149082,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,3.0500000000000003,48.25862187572324,58.52776939583219,58.52776939583219,10.269147520108945,0.19292682858858565,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,3.24,48.26093981475331,58.53077896693631,58.53077896693631,10.269839152183003,0.19293021806645655,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,3.43,48.26325771664072,58.53378881015599,58.53378881015599,10.270531093515267,0.19293361262571498,2.7852652003774818e-55
pointamp3,0.25,6.1,0.03,5.627118644067797,3.62,48.26557558136573,58.53679892554618,58.53679892554618,10.271223344180449,0.19293701226693144,2.7852652003774818e-55
