label,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
baseline_d4p8_only,3.24,106.03998411302743,2.3108519267087737,68434.53921984143,5.185320202431784,103.72913218631865,0.0
baseline_d4p8_only,3.3350000000000004,106.53061216288071,2.3261799110666166,69077.78508588775,5.361307672896037,104.2044322518141,0.0
baseline_d4p8_only,3.43,107.02072022092992,2.3415413932725633,69723.3533749247,5.540626220285248,104.67917882765735,0.0
baseline_d4p8_only,3.5250000000000004,107.51028957119024,2.356935770659859,70371.2097055115,5.723287932302366,105.15335380053038,0.0
baseline_d4p8_only,3.62,107.99930159039742,2.3723624371071432,71021.31937225314,5.909304431855894,105.62693915329028,0.0
baseline_d4p8_only,3.715,108.48773775009465,2.3878207831346545,71673.64735270651,6.098686872454763,106.09991696696,0.0
baseline_d4p8_only,3.81,108.97557961869562,2.4033101960011223,72328.1583143645,6.291445933748815,106.57226942269449,0.0
baseline_d4p8_only,3.905,109.46280886351951,2.4188300598013246,72984.81662170966,6.487591817217316,107.04397880371819,0.0
baseline_d4p8_only,4.0,109.94940725280017,2.4343797555642395,73643.58634333916,6.687134242007098,107.51502749723593,0.0
candidate_d4p0_beta1p5,0.2,0.9991205566419756,1.8414344787177772,1.0044020506689961,1.2179024937552234,0.8423139220758016,0.0
candidate_d4p0_beta1p5,0.295,1.0087875515176368,1.8553977041522351,0.9565448740472852,1.2961691809195433,0.8466101526345984,0.0
candidate_d4p0_beta1p5,0.39,1.0185157213579155,1.869411360343974,0.909564092819197,1.3771689076248776,0.8508956389860585,0.0
candidate_d4p0_beta1p5,0.485,1.0283049552937011,1.8834750003050624,0.863482539120109,1.4609254744998763,0.8551700450113613,0.0
candidate_d4p0_beta1p5,0.5800000000000001,1.0381551351806122,1.8975881710511824,0.818323163726006,1.5474624248128812,0.8594330358705702,0.0
candidate_d4p0_beta1p5,0.675,1.0480661355876666,1.9117504136610723,0.7741090307512414,1.636803036764242,0.8636842780734058,0.0
candidate_d4p0_beta1p5,0.77,1.0580378237879076,1.9259612633374992,0.7308633122481881,1.7289703158223635,0.8679234395495916,0.0
candidate_d4p0_beta1p5,0.865,1.0680700597509245,1.9402202494696392,0.6886092827109673,1.823986987106496,0.8721501897187147,0.0
candidate_d4p0_beta1p5,0.96,1.078162696137419,1.9545268956969832,0.6473703134845948,1.9218754878208313,0.8763641995595641,0.0
candidate_d4p0_beta1p5,1.055,1.0883155782957064,1.9688807199746967,0.6071698670821244,2.0226579597433085,0.8805651416789904,0.0
candidate_d4p0_beta1p5,1.15,1.0985285442602204,1.983281234640386,0.5680314914116364,2.1263562417725805,0.8847526903801657,0.0
candidate_d4p0_beta1p5,1.245,1.1088014247520088,1.997727946482298,0.5299788139153745,2.232991862537155,0.8889265217302891,0.0
candidate_d4p0_beta1p5,1.34,1.1191340431812546,2.012220356808913,0.49303553562318303,2.342586033070207,0.8930863136276586,0.0
candidate_d4p0_beta1p5,1.435,1.1295262156517374,2.0267579615199205,0.4572254251229401,2.455159639553789,0.8972317458681831,0.0
candidate_d4p0_beta1p5,1.53,1.1399777509673807,2.041340251178509,0.42257231244988386,2.570733236135707,0.9013625002111283,0.0
candidate_d4p0_beta1p5,1.625,1.1504884506407589,2.0559667110850164,0.38910008289780607,2.689327037823084,0.9054782604442575,0.0
candidate_d4p0_beta1p5,1.72,1.1610581089036331,2.070636821351888,0.356832670754425,2.8109609134560283,0.9095787124482551,0.0
candidate_d4p0_beta1p5,1.815,1.171686512719506,2.0853500569798915,0.3257940529636267,2.935654378764629,0.9136635442603855,0.0
candidate_d4p0_beta1p5,1.91,1.182373441798182,2.100105887935608,0.2960082427173079,3.0634265895131625,0.9177324461374259,0.0
candidate_d4p0_beta1p5,2.005,1.1931186686123316,2.1149037792301515,0.2674992829795889,3.1942963347347084,0.9217851106178199,0.0
candidate_d4p0_beta1p5,2.1,1.2039219584160927,2.129743190999092,0.24029123994612772,3.328282030059609,0.9258212325829993,0.0
