peak2,center2_D,sigma2_D,peak3,center3_D,sigma3_D,D60_D6p169_max_abs_delta_mu,D60_D6p441_max_abs_delta_mu,D21_D6p4_max_abs_delta_mu,D60_guard_D5p627_max_abs_delta_mu,D60_guard_D6p712_max_abs_delta_mu,D21_guard_D4p0_max_abs_delta_mu,D21_guard_D8p0_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.55,6.71,0.1,0.0,6.24,0.1,25.89060322082166,31.396118731990306,2.082139503597112,10.272608773798765,0.0458141573750126,0.9244091557313041,0.32265909973747986,31.396118731990306,10.272608773798765,31.396118731990306
0.55,6.71,0.1,0.0,6.31,0.06,25.89060322082166,31.396118731990306,2.082139503597112,10.272608773798765,0.0458141573750126,0.9244091557313041,0.32265909973747986,31.396118731990306,10.272608773798765,31.396118731990306
0.55,6.71,0.1,0.0,6.31,0.1,25.89060322082166,31.396118731990306,2.082139503597112,10.272608773798765,0.0458141573750126,0.9244091557313041,0.32265909973747986,31.396118731990306,10.272608773798765,31.396118731990306
0.65,6.71,0.08,0.25,6.24,0.06,22.690930298372948,32.09371217056222,2.1979473526156355,10.272608773798765,7.447417483162898,0.9244091557313041,0.32265909973747986,32.09371217056222,10.272608773798765,32.09371217056222
0.55,6.71,0.08,0.25,6.24,0.06,22.69093029868047,32.114877832651125,2.19582697128876,10.272608773798765,0.042385212239093306,0.9244091557313041,0.32265909973747986,32.114877832651125,10.272608773798765,32.114877832651125
0.65,6.71,0.08,0.0,6.24,0.06,25.890609680854595,32.1506727283683,1.9213623833047464,10.272608773798765,7.447417483162056,0.9244091557313041,0.32265909973747986,32.1506727283683,10.272608773798765,32.1506727283683
0.65,6.71,0.08,0.0,6.24,0.1,25.890609680854595,32.1506727283683,1.9213623833047464,10.272608773798765,7.447417483162056,0.9244091557313041,0.32265909973747986,32.1506727283683,10.272608773798765,32.1506727283683
0.65,6.71,0.08,0.0,6.31,0.06,25.890609680854595,32.1506727283683,1.9213623833047464,10.272608773798765,7.447417483162056,0.9244091557313041,0.32265909973747986,32.1506727283683,10.272608773798765,32.1506727283683
0.65,6.71,0.08,0.0,6.31,0.1,25.890609680854595,32.1506727283683,1.9213623833047464,10.272608773798765,7.447417483162056,0.9244091557313041,0.32265909973747986,32.1506727283683,10.272608773798765,32.1506727283683
0.55,6.71,0.08,0.0,6.24,0.06,25.890609681171924,32.17185359596797,1.9192318342655668,10.272608773798765,0.04238521223847158,0.9244091557313041,0.32265909973747986,32.17185359596797,10.272608773798765,32.17185359596797
0.55,6.71,0.08,0.0,6.24,0.1,25.890609681171924,32.17185359596797,1.9192318342655668,10.272608773798765,0.04238521223847158,0.9244091557313041,0.32265909973747986,32.17185359596797,10.272608773798765,32.17185359596797
0.55,6.71,0.08,0.0,6.31,0.06,25.890609681171924,32.17185359596797,1.9192318342655668,10.272608773798765,0.04238521223847158,0.9244091557313041,0.32265909973747986,32.17185359596797,10.272608773798765,32.17185359596797
0.55,6.71,0.08,0.0,6.31,0.1,25.890609681171924,32.17185359596797,1.9192318342655668,10.272608773798765,0.04238521223847158,0.9244091557313041,0.32265909973747986,32.17185359596797,10.272608773798765,32.17185359596797
