mode,layer,D,eta,g_eff,gamma,p_kin,B,W,amp,mu,chi2,log_g_eff_ratio,log_gamma_ratio,log_p_kin_ratio,log_B_ratio,log_W_ratio,log_amp_ratio,delta_mu,delta_log_mu,acceptance_mismatch
release_eftsumanchor,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,1.8693414876713939,1.4993659150537064,0.0014804778760172169,0.9249524896501363,1.4104383568100232,0.0,0.0,0.0,-0.04416813426229238,-0.04416813426229238,-1.1247336395633325e-11,-1.4833306021507529,-0.9569269889060238,1.0
release_fullsumanchor,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,1.9537573358242133,1.567074381508572,0.0014804778760172169,0.9249524896501363,1.4104383568100232,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247336395633325e-11,-1.4833306021507529,-0.9569269889060238,1.0
release_fullwidthrefamp,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,1.9537573358242133,1.567074381508572,0.0014804778760172169,1.7088539774157627,0.5961923710346033,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247336395633325e-11,-0.6994291143851263,-0.3430911263848026,1.0
tailm2_detlin,2,4.0,0.2,49.20070244586661,0.016436598974928104,0.5837769412588872,2.131575825270784,1.709699463068519,0.0016149254340001808,1.9649703091684754,1.9949465640120172,0.0,0.0,0.0,0.08710717277651545,0.08710717277651545,0.08692385984039652,-0.4433127826324137,-0.20343694820767444,1.0
cell_direct_runtime,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,1.0,0.36474937099472876,0.000344593326539179,15.833232260087359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,1.0,0.36474937099472876,0.000344199390105059,15.833497836346266,,0.0,0.0,0.0,0.0,0.0,-0.001143846232843296,0.0002655762589078847,1.6773203807723787e-05,0.0
release_sumanchor,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,0.42106514326887545,0.15358324615512764,0.00034459332653744403,15.85487743320759,,0.0,0.0,0.0,-0.864967722664515,-0.8649677226645153,-5.03486141668776e-12,0.021645173120232286,0.0013661386997306894,0.0
release_eftsumanchor,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,0.9567930742566731,0.34898967200723435,0.00034459332653744403,15.85487743320759,,0.0,0.0,0.0,-0.04416813425607994,-0.04416813425607994,-5.03486141668776e-12,0.021645173120232286,0.0013661386997306894,0.0
release_fullsumanchor,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,1.0000000000125084,0.36474937099929117,0.00034459332653744403,15.85487743320759,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.03486141668776e-12,0.021645173120232286,0.0013661386997306894,0.0
release_fullwidthrefamp,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,1.0000000000125084,0.36474937099929117,0.00034459332653744403,29.291958956101755,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.03486141668776e-12,13.458726696014397,0.6152020012209415,0.0
tailm2_detlin,3,4.0,0.2,11.397664004427238,0.03252537814744661,0.26547430907411185,1.0,0.36474937099472876,0.0003445301639141641,28.296917391228266,,0.0,0.0,0.0,0.0,0.0,-0.00018331293611907173,12.463685131140908,0.5806418338326239,0.0
cell_direct_runtime,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,1.9331165831267465,0.5175730715245829,0.00016662024006418267,0.4907943979315072,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,0.36633155054415156,0.09808169226132389,0.00016659767161365934,0.48439269819977765,,0.0,0.0,0.0,-1.663349990258345,-1.663349990258345,-0.00013545760757096076,-0.006401699731729549,-0.013129360955128283,0.0
release_sumanchor,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,0.8139680110090749,0.21793197950808757,0.00016662024005912124,0.24602878040662132,,0.0,0.0,0.0,-0.864967722689857,-0.864967722689857,-3.037703422183521e-11,-0.24476561752488588,-0.6905767760021257,0.0
release_eftsumanchor,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,1.849592558419523,0.495210330243925,0.00016662024005912124,0.24602878040662132,,0.0,0.0,0.0,-0.04416813428142194,-0.04416813428142194,-3.037703422183521e-11,-0.24476561752488588,-0.6905767760021257,0.0
release_fullsumanchor,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,1.9331165831019377,0.5175730715179406,0.00016662024005912124,0.24602878040662132,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.283340100863192e-11,-3.037703422183521e-11,-0.24476561752488588,-0.6905767760021257,0.0
release_fullwidthrefamp,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,1.9331165831019377,0.5175730715179406,0.00016662024005912124,0.45452739233718736,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.283340100863192e-11,-3.037703422183521e-11,-0.036267005594319834,-0.07676711764398185,0.0
tailm2_detlin,1,4.0,0.6,49.080091101131785,0.00547010348408943,0.06640263998527512,1.9331165830777577,0.5175730715114666,0.0001665896992138895,0.4385576716664286,,0.0,0.0,0.0,-2.5341839738112465e-11,-2.534195076041493e-11,-0.0001833129614612267,-0.05223672626507858,-0.11253397511600347,0.0
cell_direct_runtime,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,1.9537573358119125,4.624999076527793,0.0014889075549423792,2.4855873168468285,7.365623890616853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,0.7673417358612442,1.816476772569439,0.0014821359369538974,2.4609574639347693,7.035192126743109,0.0,0.0,0.0,-0.9345773856120406,-0.9345773856120405,-0.004558418436262893,-0.024629852912059214,-0.009958489228974523,0.0
release_sumanchor,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,0.8226591125111486,1.947425898764494,0.0014889075549256333,0.9546731485936135,1.239475028647036,0.0,0.0,0.0,-0.8649677226707274,-0.8649677226707272,-1.1247114351028397e-11,-1.530914168253215,-0.9568952262959483,1.0
release_eftsumanchor,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,1.8693414876713939,4.425167084837811,0.0014889075549256333,0.9546731485936135,1.239475028647036,0.0,0.0,0.0,-0.04416813426229238,-0.04416813426229226,-1.1247114351028397e-11,-1.530914168253215,-0.9568952262959483,1.0
release_fullsumanchor,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,1.9537573358242133,4.624999076556912,0.0014889075549256333,0.9546731485936135,1.239475028647036,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247114351028397e-11,-1.530914168253215,-0.9568952262959483,1.0
release_fullwidthrefamp,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,1.9537573358242133,4.624999076556912,0.0014889075549256333,1.7637168141362407,0.8268120055338546,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247114351028397e-11,-0.7218705027105878,-0.343085567937796,1.0
tailm2_detlin,2,4.0,0.6,49.20070244586661,0.0493097969247843,0.587100903236751,2.131575825270784,5.045936894373572,0.001624120642581263,2.025610013819489,2.4461743086951335,0.0,0.0,0.0,0.08710717277651545,0.08710717277651565,0.08692385984039652,-0.4599773030273395,-0.2046380798443702,1.0
cell_direct_runtime,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,1.0,1.059603410186036,0.0003411139108492788,15.832320851954758,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,1.0,1.059603410186036,0.0003407239520563496,15.832592812952289,,0.0,0.0,0.0,0.0,0.0,-0.0011438462328431848,0.0002719609975301296,1.717743496255045e-05,0.0
release_sumanchor,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,0.42106514326887545,0.4461620617181723,0.00034111391084756137,15.854468350412935,,0.0,0.0,0.0,-0.864967722664515,-0.864967722664515,-5.034750394385297e-12,0.02214749845817643,0.0013979013098056397,0.0
release_eftsumanchor,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,0.9567930742566731,1.0138212043247523,0.00034111391084756137,15.854468350412935,,0.0,0.0,0.0,-0.04416813425607994,-0.044168134256079704,-5.034750394385297e-12,0.02214749845817643,0.0013979013098056397,0.0
release_fullsumanchor,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,1.0000000000125084,1.0596034101992902,0.00034111391084756137,15.854468350412935,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.034750394385297e-12,0.02214749845817643,0.0013979013098056397,0.0
release_fullwidthrefamp,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,1.0000000000125084,1.0596034101992902,0.00034111391084756137,29.29043563234972,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.034750394385297e-12,13.458114780394961,0.6152075596679477,0.0
tailm2_detlin,3,4.0,0.6,11.397664004427238,0.09757613444233983,0.2627937711613938,1.0,1.059603410186036,0.0003410513859877131,28.261322572808453,,0.0,0.0,0.0,0.0,0.0,-0.00018331293611896068,12.429001720853694,0.5794407021959281,0.0
cell_direct_runtime,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,1.9331165831267465,0.8610522506301399,0.0001699659617310206,0.5211120687722901,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,0.36633155054415156,0.16317205533598647,0.00016994294010773823,0.5143151303507728,,0.0,0.0,0.0,-1.663349990258345,-1.663349990258345,-0.00013545760757084974,-0.006796938421517296,-0.013128950174327633,0.0
release_sumanchor,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,0.8139680110090749,0.3625590892643796,0.00016996596172585754,0.2612350642850003,,0.0,0.0,0.0,-0.864967722689857,-0.8649677226898569,-3.037692319953275e-11,-0.2598770044872898,-0.6905444903879717,0.0
release_eftsumanchor,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,1.849592558419523,0.8238488299551611,0.00016996596172585754,0.2612350642850003,,0.0,0.0,0.0,-0.04416813428142194,-0.04416813428142182,-3.037692319953275e-11,-0.2598770044872898,-0.6905444903879717,0.0
release_fullsumanchor,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,1.9331165831019377,0.8610522506190896,0.00016996596172585754,0.2612350642850003,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.283340100863192e-11,-3.037692319953275e-11,-0.2598770044872898,-0.6905444903879717,0.0
release_fullwidthrefamp,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,1.9331165831019377,0.8610522506190896,0.00016996596172585754,0.4826074808258144,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.283340100863192e-11,-3.037692319953275e-11,-0.03850458794647571,-0.07676146767142268,0.0
tailm2_detlin,1,4.0,1.0,49.080091101131785,0.00911683914014905,0.0677359999135071,1.9331165830777577,0.8610522506083192,0.00016993480762279126,0.46509141314095975,,0.0,0.0,0.0,-2.5341839738112465e-11,-2.5341839738112465e-11,-0.00018331296146100463,-0.05602065563133035,-0.11373114816525949,0.0
cell_direct_runtime,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,1.9537573358119125,7.584034319235385,0.0014970377069760457,2.564024495423726,8.468456412165374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,0.7673417358612442,2.978643228963198,0.0014902291126933827,2.5386184460171304,8.102824785065405,0.0,0.0,0.0,-0.9345773856120406,-0.9345773856120405,-0.004558418436262893,-0.02540604940659552,-0.009958078448174534,0.0
release_sumanchor,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,0.8226591125111486,3.1933724971650777,0.001497037706959208,0.9848313723281679,1.0772811837682017,0.0,0.0,0.0,-0.8649677226707274,-0.8649677226707272,-1.1247336395633325e-11,-1.579193123095558,-0.9568629406817948,1.0
release_eftsumanchor,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,1.8693414876713939,7.25635151152426,0.001497037706959208,0.9848313723281679,1.0772811837682017,0.0,0.0,0.0,-0.04416813426229238,-0.04416813426229226,-1.1247336395633325e-11,-1.579193123095558,-0.9568629406817948,1.0
release_fullsumanchor,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,1.9537573358242133,7.584034319283134,0.001497037706959208,0.9848313723281679,1.0772811837682017,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247336395633325e-11,-1.579193123095558,-0.9568629406817948,1.0
release_fullwidthrefamp,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,1.9537573358242133,7.584034319283134,0.001497037706959208,1.8193843500235705,1.0992702065293296,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247336395633325e-11,-0.7446401454001554,-0.3430799179652372,1.0
tailm2_detlin,2,4.0,1.0,49.20070244586661,0.08218299487464051,0.5903067568080981,2.131575825270784,8.274284588258817,0.00163298912316716,2.0870317468955193,2.9500788827644313,0.0,0.0,0.0,0.08710717277651545,0.08710717277651545,0.08692385984039652,-0.4769927485282066,-0.20583525289362703,1.0
cell_direct_runtime,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,1.0,1.7106954742490839,0.0003376798577517965,15.831394383110004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,1.0,1.7106954742490839,0.000337293824741892,15.831672831538931,,0.0,0.0,0.0,0.0,0.0,-0.0011438462328435183,0.00027844842892754684,1.758821576228782e-05,0.0
release_sumanchor,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,0.42106514326887545,0.7203142349541073,0.0003376798577500963,15.854052435107487,,0.0,0.0,0.0,-0.864967722664515,-0.864967722664515,-5.0349724389902225e-12,0.022658051997483497,0.0014301869239593983,0.0
release_eftsumanchor,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,0.9567930742566731,1.6367815819237586,0.0003376798577500963,15.854052435107487,,0.0,0.0,0.0,-0.04416813425607994,-0.04416813425607982,-5.0349724389902225e-12,0.022658051997483497,0.0014301869239593983,0.0
release_fullsumanchor,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,1.0000000000125084,1.710695474270482,0.0003376798577500963,15.854052435107487,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.0349724389902225e-12,0.022658051997483497,0.0014301869239593983,0.0
release_fullwidthrefamp,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,1.0000000000125084,1.710695474270482,0.0003376798577500963,29.28888710835631,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.0349724389902225e-12,13.457492725246306,0.6152132096405063,0.0
tailm2_detlin,3,4.0,1.0,11.397664004427238,0.16262689073723305,0.2601481805385752,1.0,1.7106954742490839,0.000337617962338892,28.22585731833701,,0.0,0.0,0.0,0.0,0.0,-0.00018331293611896068,12.394462935227006,0.5782435291466715,0.0
cell_direct_runtime,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,1.9331165831267465,1.7142901018368346,0.00017838446515910583,0.6034969984736965,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,0.36633155054415156,0.32486325789653825,0.00017836030326272084,0.5956261296720139,,0.0,0.0,0.0,-1.663349990258345,-1.663349990258345,-0.00013545760757096076,-0.00787086880168264,-0.01312789597079573,0.0
release_sumanchor,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,0.8139680110090749,0.7218278073160492,0.00017838446515368704,0.30255995961567006,,0.0,0.0,0.0,-0.864967722689857,-0.8649677226898571,-3.037703422183521e-11,-0.3009370388580265,-0.6904615955589507,0.0
release_eftsumanchor,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,1.849592558419523,1.640220896662684,0.00017838446515368704,0.30255995961567006,,0.0,0.0,0.0,-0.04416813428142194,-0.04416813428142194,-3.037703422183521e-11,-0.3009370388580265,-0.6904615955589507,0.0
release_fullsumanchor,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,1.9331165831019377,1.7142901018148342,0.00017838446515368704,0.30255995961567006,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833512030934384e-11,-3.037703422183521e-11,-0.3009370388580265,-0.6904615955589507,0.0
release_fullwidthrefamp,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,1.9331165831019377,1.7142901018148342,0.00017838446515368704,0.5589131564463331,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833512030934384e-11,-3.037703422183521e-11,-0.04458384202736343,-0.07674696110181076,0.0
tailm2_detlin,1,4.0,2.0,49.080091101131785,0.0182336782802981,0.07109099959502607,1.9331165830777577,1.7142901017933911,0.00017835176797151956,0.537022173625679,,0.0,0.0,0.0,-2.5341839738112465e-11,-2.534195076041493e-11,-0.00018331296146111567,-0.06647482484801759,-0.11670168166932827,0.0
cell_direct_runtime,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,1.9537573358119125,14.569714010785955,0.001516085660501909,2.7647636140617435,11.64112326416795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,0.7673417358612442,5.722281593068156,0.0015091904352767733,2.737371394533144,11.17851404322204,0.0,0.0,0.0,-0.9345773856120406,-0.9345773856120405,-0.004558418436262781,-0.027392219528599604,-0.009957024244641666,0.0
release_sumanchor,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,0.8226591125111486,6.134798717300019,0.0015160856604848573,1.0620224832508025,0.7139300114247126,0.0,0.0,0.0,-0.8649677226707274,-0.8649677226707272,-1.1247225373330861e-11,-1.702741130810941,-0.9567800458527732,1.0
release_eftsumanchor,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,1.8693414876713939,13.940201459333815,0.0015160856604848573,1.0620224832508025,0.7139300114247126,0.0,0.0,0.0,-0.04416813426229238,-0.04416813426229226,-1.1247225373330861e-11,-1.702741130810941,-0.9567800458527732,1.0
release_fullsumanchor,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,1.9537573358242133,14.569714010877686,0.0015160856604848573,1.0620224832508025,0.7139300114247126,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247225373330861e-11,-1.702741130810941,-0.9567800458527732,1.0
release_fullwidthrefamp,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,1.9537573358242133,14.569714010877686,0.0015160856604848573,1.9618535746920482,1.972996496213957,0.0,0.0,0.0,6.296074772629443e-12,6.296074772629443e-12,-1.1247225373330861e-11,-0.8029100393696953,-0.3430654113956246,1.0
tailm2_detlin,2,4.0,2.0,49.20070244586661,0.16436598974928102,0.5978176802920473,2.131575825270784,15.895756139845492,0.0016537668903412143,2.2437517489265844,4.449481336354187,0.0,0.0,0.0,0.08710717277651545,0.08710717277651545,0.08692385984039652,-0.5210118651351592,-0.20880578639769504,0.0
cell_direct_runtime,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,1.0,3.1646296503514995,0.00032930293828315583,15.829015380585071,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,1.0,3.1646296503514995,0.0003289264817030028,15.829310474477454,,0.0,0.0,0.0,0.0,0.0,-0.0011438462328431848,0.0002950938923831359,1.864241929540851e-05,0.0
release_sumanchor,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,0.42106514326887545,1.3325152371181854,0.0003293029382814979,15.852984103671,,0.0,0.0,0.0,-0.864967722664515,-0.864967722664515,-5.034639372082833e-12,0.0239687230859289,0.0015130817529811784,0.0
release_eftsumanchor,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,0.9567930742566731,3.027895732043632,0.0003293029382814979,15.852984103671,,0.0,0.0,0.0,-0.04416813425607994,-0.04416813425607994,-5.034639372082833e-12,0.0239687230859289,0.0015130817529811784,0.0
release_fullsumanchor,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,1.0000000000125084,3.1646296503910842,0.0003293029382814979,15.852984103671,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.034639372082833e-12,0.0239687230859289,0.0015130817529811784,0.0
release_fullwidthrefamp,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,1.0000000000125084,3.1646296503910842,0.0003293029382814979,29.2849106528549,,0.0,0.0,0.0,1.2508438729163559e-11,1.2508438729163559e-11,-5.034639372082833e-12,13.45589527226983,0.6152277162101194,0.0
tailm2_detlin,3,4.0,2.0,11.397664004427238,0.3252537814744661,0.25369461125317583,1.0,3.1646296503514995,0.000329242578327216,28.13790692139494,,0.0,0.0,0.0,0.0,0.0,-0.0001833129361187386,12.308891540809869,0.5752729956426037,0.0
cell_direct_runtime,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,1.9331165831267465,3.397605637776112,0.0001954190551047678,0.7988687186337425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,0.36633155054415156,0.643856740089052,0.00019539258589985762,0.7884515366813843,,0.0,0.0,0.0,-1.663349990258345,-1.663349990258345,-0.0001354576075707387,-0.01041718195235819,-0.013125683334725061,0.0
release_sumanchor,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,0.8139680110090749,1.4306133046050828,0.00019541905509883156,0.40057828031467796,,0.0,0.0,0.0,-0.864967722689857,-0.864967722689857,-3.037692319953275e-11,-0.3982904383190646,-0.6902874212992995,0.0
release_eftsumanchor,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,1.849592558419523,3.250805543197229,0.00019541905509883156,0.40057828031467796,,0.0,0.0,0.0,-0.04416813428142194,-0.04416813428142182,-3.037692319953275e-11,-0.3982904383190646,-0.6902874212992995,0.0
release_fullsumanchor,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,1.9331165831019377,3.3976056377325086,0.00019541905509883156,0.40057828031467796,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833512030934384e-11,-3.037692319953275e-11,-0.3982904383190646,-0.6902874212992995,0.0
release_fullwidthrefamp,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,1.9331165831019377,3.3976056377325086,0.00019541905509883156,0.7398741798519252,,0.0,0.0,0.0,-1.2833623053236848e-11,-1.2833512030934384e-11,-3.037692319953275e-11,-0.058994538781817374,-0.07671648065987963,0.0
tailm2_detlin,1,4.0,4.0,49.080091101131785,0.0364673565605962,0.07787974112500383,1.9331165830777577,3.39760563769001,0.00019538323554224595,0.6631004511796806,,0.0,0.0,0.0,-2.5341839738112465e-11,-2.534195076041493e-11,-0.00018331296146111567,-0.1357682674540619,-0.18627013639039589,0.0
cell_direct_runtime,2,4.0,4.0,49.20070244586661,0.32873197949856203,0.6107919872790591,1.9537573358119125,26.93111756353306,0.0015489889375818863,3.1833742708158104,19.87764868629889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,2,4.0,4.0,49.20070244586661,0.32873197949856203,0.6107919872790591,0.7673417358612442,10.57724525000793,0.0015419440667845889,3.151841591016139,19.180931000087227,0.0,0.0,0.0,-0.9345773856120406,-0.9345773856120406,-0.004558418436263004,-0.03153267979967156,-0.00995481160857206,0.0
