combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction
2596,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,6.4,2.1022273869561374,23.945520196949232,-21.842848129773863,0.0,1.0
2596,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.03,D21_guard,8.0,0.3226590996076344,0.3830966125518096,-0.06043751228677899,0.0,1.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543907248,2.056465355676231e-08,1.0,0.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.271897524185377,1.8371560817478266e-05,1.0,0.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.169491525423728,25.887561191706766,24.548978119259857,1.3381615492229817,1.0,0.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,10.629708166874067,20.65600423609437,1.0,0.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D60_hotspot,6.711864406779661,7.462467784829663,2.710046078702323,4.752268877607402,1.0,0.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,6.4,2.1022273869561374,23.945520196949232,-21.842848129773863,0.0,1.0
2597,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.05,D21_guard,8.0,0.3226590996076344,0.3830966125518096,-0.06043751228677899,0.0,1.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543907248,2.056465355676231e-08,1.0,0.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,5.627118644067797,10.271915904250342,10.271897524185377,1.8371560817478266e-05,1.0,0.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.169491525423728,25.887561191706766,24.548978119259857,1.3381615492229817,1.0,0.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.4406779661016955,31.28630580743782,10.62970816679151,20.656004236176926,1.0,0.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D60_hotspot,6.711864406779661,7.462467784829663,2.703053517003436,4.75926154437475,1.0,0.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,6.4,2.1022273869561374,23.945520196947626,-21.84284812977226,0.0,1.0
2598,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.4,0.07,D21_guard,8.0,0.3226590996076344,0.3830966125518096,-0.06043751228677899,0.0,1.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543907248,2.056465355676231e-08,1.0,0.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,5.627118644067797,10.271915904250342,10.271897524185377,1.8371560817478266e-05,1.0,0.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,6.169491525423728,25.887561191706766,24.548978119259857,1.3381615492229817,1.0,0.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,6.4406779661016955,31.28630580743782,10.629708166874067,20.65600423609437,1.0,0.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D60_hotspot,6.711864406779661,7.462467784829663,2.7100626358464908,4.752252320214452,1.0,0.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0,1.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D21_guard,6.4,2.1022273869561374,23.945520196949232,-21.842848129773863,0.0,1.0
2599,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.03,D21_guard,8.0,0.3226590996076344,0.3830966125518096,-0.06043751228677899,0.0,1.0
2600,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543907248,2.056465355676231e-08,1.0,0.0
2600,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.271897524185377,1.8371560817478266e-05,1.0,0.0
2600,partial_two_lobe,1.2,12.0,0.7853981633974483,5.8,0.05,0.2,6.45,0.05,D60_hotspot,6.169491525423728,25.887561191706766,24.548978119259857,1.3381615492229817,1.0,0.0
