D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.0,fine,0.06,0.03,29,8.80526170211473,0.7359089334327527,8.80526170211473,315.2276550386983,231.48403203280114,25.55919696545706,0
4.0,fine,0.06,0.03,30,8.901576627765667,0.7359089334327527,8.901576627765667,318.69282527630486,234.23751604460685,25.863221565257557,0
4.0,fine,0.06,0.03,31,9.146926315906732,0.7359089334327527,9.146926315906732,327.5198936814,241.25165678169586,26.637684507985682,0
4.0,fine,0.06,0.03,32,9.329048425150503,0.7359089334327527,9.329048425150503,334.0721918667178,246.45822588414714,27.21256530661009,0
4.0,fine,0.06,0.03,33,9.571101965541883,0.7359089334327527,9.571101965541883,342.78067311614876,253.3781352228526,27.976623735253742,0
4.0,fine,0.06,0.03,34,9.863511027288665,0.7359089334327527,9.863511027288665,353.30082013514345,261.7376254159391,28.899632784731626,0
4.0,fine,0.06,0.03,35,10.070869112074591,0.7359089334327527,10.070869112074591,360.7610456305293,267.665649212022,29.55417265294392,0
4.0,fine,0.06,0.03,36,10.520242052860098,0.7359089334327527,10.520242052860098,376.9283606076398,280.51247642419634,30.97264883989158,0
4.0,fine,0.06,0.03,37,10.647917330303963,0.7359089334327527,10.647917330303963,381.5217979018765,284.1625008910026,31.37566451858262,0
4.0,fine,0.06,0.03,38,10.900162727796989,0.7359089334327527,10.900162727796989,390.5969566901817,291.3737785237737,32.17189423589839,0
4.0,fine,0.06,0.03,39,11.30033125411662,0.7359089334327527,11.30033125411662,404.9940198458463,302.8139331187354,33.43505334903528,0
4.0,fine,0.06,0.03,40,11.786530446005823,0.7359089334327527,11.786530446005823,422.4862512720401,316.7135617834724,34.969774097023574,0
4.271186440677966,fine,0.06,0.03,1,0.7334878092578565,0.7334878092578565,0.7334878092578565,25.26181542355827,1.0,0.11179690012610775,1
4.271186440677966,fine,0.06,0.03,2,0.8306653615164734,0.7334878092578565,0.8306653615164734,28.817056172939765,4.602573780415969,0.5145534812522062,1
4.271186440677966,fine,0.06,0.03,3,1.012299444601317,0.7334878092578565,1.012299444601317,35.46213910259876,8.944791840131456,1.0,1
4.271186440677966,fine,0.06,0.03,4,1.2808305087690293,0.7334878092578565,1.2808305087690293,45.28634808517453,16.79059227066133,1.8771361671413216,1
4.271186440677966,fine,0.06,0.03,5,1.6100535495458352,0.7334878092578565,1.6100535495458352,57.33097303199396,26.409659185965324,2.9525180303779095,1
4.271186440677966,fine,0.06,0.03,6,2.020226877004744,0.7334878092578565,2.020226877004744,72.33716421707814,38.39388931272292,4.29231780894732,1
4.271186440677966,fine,0.06,0.03,7,2.5045998846372326,0.7334878092578565,2.5045998846372326,90.05795070131275,52.54604695451642,5.874485163395841,1
4.271186440677966,fine,0.06,0.03,8,3.0610111680073855,0.7334878092578565,3.0610111680073855,110.4142575034098,68.8029813250246,7.691960031572233,1
4.271186440677966,fine,0.06,0.03,9,3.417664083113035,0.7334878092578565,3.417664083113035,123.46240440254996,79.22347998710113,8.85693947976064,1
4.271186440677966,fine,0.06,0.03,10,3.515306378797521,0.7334878092578565,3.515306378797521,127.03464779016689,82.07634160254837,9.175880564856403,1
4.271186440677966,fine,0.06,0.03,11,3.691813099413934,0.7334878092578565,3.691813099413934,133.4921461639183,87.23342280987849,9.752426257534516,1
4.271186440677966,fine,0.06,0.03,12,3.698687698982499,0.7334878092578565,3.698687698982499,133.74365338913432,87.43428127078671,9.774881610828155,1
4.271186440677966,fine,0.06,0.03,13,3.9655654023258,0.7334878092578565,3.9655654023258,143.50737416594896,95.23177466798248,10.646617201388436,1
4.271186440677966,fine,0.06,0.03,14,4.294593748134583,0.7334878092578565,4.294593748134583,155.5448761973633,104.84515308736268,11.721363108414362,1
