D,eta,mu_ee_full,mu_mumu_full,mu_tautau_full,chi2_mumu_full,mu_ee_rt,mu_mumu_rt,mu_tautau_rt,chi2_mumu_rt,surface,abs_delta_mu_mumu,rel_delta_mu_mumu,acceptance_full,acceptance_rt,acceptance_flip,boundary_proximity,grad_log_mu_rt,curv_log_mu_rt,risk_score,high_anchor_candidate,scenario_label,point_kind,B1_full,B2_full,B3_full,B1_cmp,B2_cmp,B3_cmp,yraw1_full,yraw2_full,yraw3_full,yraw1_cmp,yraw2_cmp,yraw3_cmp,m2_1_full,m2_2_full,m2_3_full,m2_1_cmp,m2_2_cmp,m2_3_cmp,width_ratio_full,width_ratio_cmp
5.6,1.15,13.32103302265122,57.98638138349972,14.702855680302497,20012.615987993016,13.912435462928402,58.350010801876465,14.687243927058152,20270.64831458654,D21E41,0.3636294183767461,0.006270945171967887,False,False,0,0.0,0.8918488431250833,2.1278503011972623,0.8868577768657072,True,,,,,,,,,,,,,,,,,,,,,,
5.6,1.245,13.322083870218204,57.98787982575108,14.702821848708332,20013.675894835287,13.913532532274736,58.351516829882534,14.687209675580686,20271.720432652455,D21E41,0.36363700413145494,0.0062709139431232,False,False,0,0.0,0.8915903826761162,2.125831067759647,0.886655638634727,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,4.0,12.317312693395644,48.270211199275586,15.079598570979586,13730.104361654368,11.941333032437305,45.334379441440085,15.127250537355929,12063.935605652709,D60E21,2.9358317578355013,0.060820777139660845,False,False,0,0.0,1.725604355749118,0.9695182044667497,1.701405361735674,True,runtime_bnorm_release_tuned_profile_anchored,max_abs_delta_mu_mumu,2.4145108142257956,7.559500948730373,1.0,0.274784253077869,0.921393144540058,1.0,0.0015258486510446,0.0034013826606741,0.0008684645281635,0.0015308401922812,0.0033958459497171,0.000872403292454,2.0678028384668594,1.472275860846708,2.841704458281753,2.065274568946721,1.472249642569073,2.835570230033396,23.796809003472585,24.13529898511986
5.627118644067797,3.81,12.31553073259071,48.26789340891404,15.07964115658522,13728.7464536833,11.939603440689108,45.33219493472355,15.127290692670323,12062.735948640937,D60E21,2.935698474190488,0.06082093637938481,False,False,0,0.0,1.7257949495541642,0.9702825269887,1.7013856652926338,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,3.62,12.313748950365603,48.26557558136573,15.0796837414464,13727.3885910794,11.937874022691313,45.33001039395629,15.127330847268883,12061.536332581923,D60E21,2.9355651874094377,0.06082109561628836,False,False,0,0.0,1.7259855724039177,0.9710471410556556,1.7013659796377558,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,3.43,12.31196734671988,48.26325771664072,15.079726325562948,13726.030773851788,11.936144778443404,45.32782581914787,15.12737100115144,12060.336757483718,D60E21,2.9354318974928546,0.060821254850369225,False,False,0,0.0,1.7261762242984318,0.9718120466501963,1.7013463047707744,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,3.24,12.31018592164869,48.26093981475331,15.079768908934684,13724.673002012072,11.93441570794058,45.32564121031177,15.127411154317828,12059.1372233565,D60E21,2.9352986044415346,0.060821414081625856,False,False,0,0.0,1.7263669052377146,0.9725772437534134,1.7013266406915182,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,3.0500000000000003,12.3084046751475,48.25862187572324,15.079811491561378,13723.315275575054,11.932686811178352,45.32345656746658,15.127451306767826,12057.937730213269,D60E21,2.935165308256664,0.06082157331005788,False,False,0,0.0,1.726557615220746,0.9733427323510954,1.7013069874000237,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,2.8600000000000003,12.306623607218786,48.25630389956368,15.079854073442782,13721.957594551666,11.93095808815903,45.321271890624686,15.1274914585012,12056.738278063613,D60E21,2.9350320089389967,0.06082173253566431,False,False,0,0.0,1.7267483542479745,0.9741085124250812,1.7012873448961758,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,2.6700000000000004,12.30484271785421,48.25398588629282,15.079896654578723,13720.59995895579,11.929229538874436,45.31908717980317,15.127531609517792,12055.538866919696,D60E21,2.9348987064896477,0.060821891758445275,False,False,0,0.0,1.7269391223182533,0.9748745839587905,1.7012677131798895,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,2.4800000000000004,12.303062007052343,48.25166783592071,15.07993923496903,13719.242368796546,11.927501163323091,45.316902435011514,15.12757175981744,12054.339496789502,D60E21,2.9347654009091997,0.060822050978400134,False,False,0,0.0,1.7271299194319123,0.9756409469327961,1.7012480922509108,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,2.29,12.301281474806304,48.249349748467594,15.079981814613484,13717.884824089002,11.925772961498218,45.31471765626884,15.127611909399937,12053.140167686312,D60E21,2.934632092198754,0.06082221019552618,False,False,0,0.0,1.7273207455882669,0.9764076013290681,1.701228482109162,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,2.1,12.299501121121006,48.24703162394638,15.08002439351182,13716.52732484395,11.924044933404517,45.312532843587185,15.127652058265031,12051.94087961952,D60E21,2.934498780359192,0.06082236940982534,False,False,0,0.0,1.7275116007871723,0.9771745471345097,1.7012088827546696,True,,,,,,,,,,,,,,,,,,,,,,
5.627118644067797,1.91,12.297720945988631,48.244713462375024,15.08006697166386,13715.169871075124,11.922317079034304,45.31034799698357,15.127692206412563,12050.741632601246,D60E21,2.9343654653914513,0.06082252862129438,False,False,0,0.0,1.7277024850279874,0.9779417843249146,1.7011892941870932,True,,,,,,,,,,,,,,,,,,,,,,
