combo_id,mode,omega,m,phase,center_D,width_D,eta_couple,D60_p95_base,D60_p95_cf,D21_p95_base,D21_p95_cf,D60_mean_abs_improvement,D21_mean_abs_improvement,D60_improved_fraction,D21_improved_fraction,D21_acceptance_flip_fraction,beats_mainline_both,joint_objective
749,partial_notch,1.3,12.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.596770016067357,2.102217055050133,2.3711639945679037,1.6623761426500436,-0.28344382766838744,0.8,0.0,0.0,0.0,28.748345532209523
1613,pointamp_notch,1.3,12.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.596770016067342,2.102217055050133,2.371163994567909,1.6623761426500443,-0.28344382766838827,0.8,0.0,0.0,0.0,28.74834553220955
1395,pointamp_notch,1.2,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.920801107603058,2.102217055050133,2.3348967273882586,0.5406964135221697,-0.2586962170269504,0.8,0.0,0.0,0.0,28.782238486308064
531,partial_notch,1.2,12.0,0.5853981633974483,5.9,0.07,0.0,31.28593012120719,26.920801107603058,2.102217055050133,2.3348967273882657,0.540696413522172,-0.2586962170269504,0.8,0.0,0.0,0.0,28.78223848630812
727,partial_notch,1.3,12.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.475855457088336,2.102217055050133,2.1406029417204975,-0.47073548533435083,-0.24694391838656107,0.8,0.0,0.0,0.0,28.782942550451253
1591,pointamp_notch,1.3,12.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.475855457088336,2.102217055050133,2.140602941720516,-0.47073548533435194,-0.24694391838656327,0.8,0.0,0.0,0.0,28.782942550451402
799,partial_notch,1.3,14.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.407002162369995,2.102217055050133,2.1496908864708004,-0.12865648459758466,-0.3492001127284658,0.8,0.0,0.0,0.0,28.786792813735335
1663,pointamp_notch,1.3,14.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.40700216237001,2.102217055050133,2.149690886470799,-0.128656484597588,-0.34920011272846524,0.8,0.0,0.0,0.0,28.78679281373534
313,partial_notch,1.1,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.242568935885362,2.102217055050133,2.296992346587346,0.15955834249719578,-0.23306446806978373,0.8,0.0,0.0,0.0,28.800771268183066
1177,pointamp_notch,1.1,12.0,0.5853981633974483,5.9,0.05,0.0,31.28593012120719,27.242568935885362,2.102217055050133,2.296992346587346,0.15955834249719325,-0.23306446806978473,0.8,0.0,0.0,0.0,28.800771268183066
1593,pointamp_notch,1.3,12.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.498648033295318,2.102217055050133,2.1410793676944975,0.07794293776688267,-0.24710272980842934,0.8,0.0,0.0,0.0,28.809546534450234
729,partial_notch,1.3,12.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.498648033295336,2.102217055050133,2.141079367694497,0.077942937766885,-0.24710272980842982,0.8,0.0,0.0,0.0,28.80954653445025
1665,pointamp_notch,1.3,14.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.430342605233303,2.102217055050133,2.151387496751205,0.4712169551638322,-0.34976565989791547,0.8,0.0,0.0,0.0,28.82370613884188
801,partial_notch,1.3,14.0,0.4353981633974483,5.9,0.07,0.0,31.28593012120719,28.430342605233303,2.102217055050133,2.1513874967512066,0.47121695516383466,-0.34976565989791575,0.8,0.0,0.0,0.0,28.823706138841892
1701,pointamp_notch,1.3,14.0,0.7853981633974483,5.9,0.07,0.0,31.28593012120719,23.307890219053764,2.102217055050133,2.792002833334616,1.863129314663363,-0.6292369529078633,0.8,0.0,0.0,0.0,28.82617644532963
837,partial_notch,1.3,14.0,0.7853981633974483,5.9,0.07,0.0,31.28593012120719,23.30789021905378,2.102217055050133,2.7920028333346236,1.8631293146633623,-0.6292369529078644,0.8,0.0,0.0,0.0,28.826176445329704
1595,pointamp_notch,1.3,12.0,0.4353981633974483,5.9,0.1,0.0,31.28593012120719,28.515752570817558,2.102217055050133,2.1414521527133252,1.3093160535313706,-0.24722688127157041,0.8,0.0,0.0,0.0,28.829633352123096
731,partial_notch,1.3,12.0,0.4353981633974483,5.9,0.1,0.0,31.28593012120719,28.51575257081757,2.102217055050133,2.141452152713326,1.3093160535313675,-0.24722688127157214,0.8,0.0,0.0,0.0,28.829633352123114
1667,pointamp_notch,1.3,14.0,0.4353981633974483,5.9,0.1,0.0,31.28593012120719,28.447858400903023,2.102217055050133,2.1527150040967173,1.810865295392104,-0.3502080316296186,0.8,0.0,0.0,0.0,28.8518419932757
803,partial_notch,1.3,14.0,0.4353981633974483,5.9,0.1,0.0,31.28593012120719,28.44785840090305,2.102217055050133,2.15271500409673,1.8108652953921034,-0.35020803162961833,0.8,0.0,0.0,0.0,28.851841993275826
1397,pointamp_notch,1.2,12.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.947307221328,2.102217055050133,2.353189355421614,1.636845213133302,-0.26479378260290276,0.8,0.0,0.0,0.0,28.955085624299848
533,partial_notch,1.2,12.0,0.5853981633974483,5.9,0.1,0.0,31.28593012120719,26.94730722132801,2.102217055050133,2.353189355421622,1.6368452131333031,-0.26479378260290193,0.8,0.0,0.0,0.0,28.955085624299922
511,partial_notch,1.2,12.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.688395972679704,2.102217055050133,2.1403300275456933,-0.3576859099341127,-0.23221528833567462,0.8,0.0,0.0,0.0,28.993299752644187
1375,pointamp_notch,1.2,12.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.688395972679707,2.102217055050133,2.1403300275457,-0.3576859099341123,-0.23221528833567703,0.8,0.0,0.0,0.0,28.993299752644244
1447,pointamp_notch,1.2,14.0,0.4353981633974483,5.9,0.05,0.0,31.28593012120719,28.624658334347615,2.102217055050133,2.1487189900646486,-0.014801446736704787,-0.3306123526332005,0.8,0.0,0.0,0.0,28.99667381446374
