pair,D,slice_p95_abs_delta_log_partial,slice_p95_abs_delta_log_width,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
hybrid_vs_runtime,16.474576271186443,0.0012061423799088753,2.474801915887898e-09,5.48686908042991e-10,5.599004209226016e-10,0.0
hybrid_vs_runtime,16.74576271186441,0.0016506732162088656,2.474795743047896e-09,3.916697387725501e-10,3.9657752306304237e-10,0.0
hybrid_vs_runtime,17.016949152542374,0.002149701574926986,2.4747908136576793e-09,2.603200511626056e-10,2.6032005116293385e-10,0.0
hybrid_vs_runtime,17.28813559322034,0.002187803228404873,2.474777046892208e-09,9.81823258081299e-11,9.818232580813652e-11,0.0
hybrid_vs_runtime,17.559322033898304,0.002187803228404873,2.474777046892208e-09,9.818232580992191e-11,9.818232580992323e-11,0.0
hybrid_vs_runtime,17.83050847457627,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,18.101694915254235,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,18.372881355932204,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,18.64406779661017,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,18.915254237288135,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,19.186440677966104,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,19.45762711864407,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,19.728813559322035,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_runtime,20.0,0.002187803228404873,2.474777046892208e-09,9.818232581019454e-11,9.818232581019454e-11,0.0
hybrid_vs_uniform,4.0,0.03219896913441262,0.00906563335873217,0.08499849314702539,0.08665193285150297,0.0
hybrid_vs_uniform,4.271186440677966,0.027976177161411257,0.008603201211502336,0.19314507908811934,0.19608723560806318,0.0
hybrid_vs_uniform,4.5423728813559325,0.0243008824770058,0.00830128221153653,0.23466540094774935,0.23730696262528728,0.0
hybrid_vs_uniform,4.813559322033898,0.021121036958318944,0.00798434143460743,0.3505384269108447,0.3509619974482092,0.0
hybrid_vs_uniform,5.084745762711864,0.018446065583467616,0.007545524540218754,0.3702885222816203,0.37070618911770836,0.0
hybrid_vs_uniform,5.3559322033898304,0.01721067521219513,0.0064517885049626515,0.503577469404766,0.504057976336437,0.0
hybrid_vs_uniform,5.627118644067797,0.01626409682487027,0.0,0.955145740790131,0.9551833187635239,0.0
hybrid_vs_uniform,5.898305084745763,0.01299669544395134,0.0,0.7270446606261913,0.7270918018804409,0.0
hybrid_vs_uniform,6.169491525423728,0.010712212929826166,0.0,0.6893878939556088,0.6894277264333368,0.0
hybrid_vs_uniform,6.4406779661016955,0.005060934896871799,0.0052534240340784055,0.4827618377605873,0.4827630831031158,0.0
hybrid_vs_uniform,6.711864406779661,0.0013728360826047376,0.004067531601812915,0.09547160547533551,0.0954717853162137,0.0
hybrid_vs_uniform,6.983050847457627,0.006699706555013998,0.003329920660588571,0.028547061721577192,0.028547105624133096,0.0
hybrid_vs_uniform,7.254237288135593,0.005822486549625064,0.00264409001791536,0.023370037974592427,0.02337003952674177,0.0
hybrid_vs_uniform,7.525423728813559,0.004892635635407256,0.00203053448522911,0.017116975723591922,0.017116976014032836,0.0
hybrid_vs_uniform,7.796610169491526,0.004046303912273191,0.0014236696244520246,0.012038598292204838,0.012038598295992298,1.0
hybrid_vs_uniform,8.067796610169491,0.003273580971627171,0.0010079652724963415,0.008187577135306868,0.008187577365669885,0.0
hybrid_vs_uniform,8.338983050847457,0.0025666158126638303,0.0007148454518211605,0.005389056711535866,0.005389056969097306,0.0
hybrid_vs_uniform,8.610169491525424,0.0019192376767341946,0.00039574824946429413,0.003297171752198613,0.0032971718093681712,0.0
