alpha_center,taper,taper_center_D,taper_sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
0.8,0.01,6.0,0.4,4.813559322033898,1.422756727279003,1.4197864034522414,0.0
0.8,0.01,6.0,0.4,5.627118644067797,10.208515946752314,10.207926087587023,0.0
0.8,0.01,6.0,0.4,5.898305084745763,43.27836750582839,43.278204572685546,0.0
0.8,0.01,6.0,0.4,6.169491525423728,33.70165185732679,33.70122234446872,0.0
0.8,0.01,6.0,0.4,6.4406779661016955,4.359302508622633,4.359298008406981,0.0
0.8,0.01,6.0,0.4,6.711864406779661,20.685541923791376,20.68551615419162,0.0
0.8,0.01,6.0,0.4,7.254237288135593,0.12594115590892452,0.12594115012014795,0.0
0.8,0.02,5.9,0.4,4.813559322033898,1.4167089895438778,1.4137486100475836,0.0
0.8,0.02,5.9,0.4,5.627118644067797,9.798522789260794,9.797978541224712,0.0
0.8,0.02,5.9,0.4,5.898305084745763,43.503447538485766,43.50329065672806,0.0
0.8,0.02,5.9,0.4,6.169491525423728,34.56895389762053,34.56854188571862,0.0
0.8,0.02,5.9,0.4,6.4406779661016955,5.086693094492745,5.0866893250516245,0.0
0.8,0.02,5.9,0.4,6.711864406779661,20.684646344301925,20.684620549243746,0.0
0.8,0.02,5.9,0.4,7.254237288135593,0.1259450886741913,0.12594508288459974,0.0
0.8,0.02,6.0,0.4,4.813559322033898,1.4205380168709691,1.4175713412316984,0.0
0.8,0.02,6.0,0.4,5.627118644067797,9.689544112891518,9.689011990825122,0.0
0.8,0.02,6.0,0.4,5.898305084745763,43.04413290664748,43.04396366542999,0.0
0.8,0.02,6.0,0.4,6.169491525423728,34.19275096176521,34.192331372339666,0.0
0.8,0.02,6.0,0.4,6.4406779661016955,5.260410833356829,5.260407238665198,0.0
0.8,0.02,6.0,0.4,6.711864406779661,20.683393014510248,20.683367183810763,0.0
0.8,0.02,6.0,0.4,7.254237288135593,0.12585233896111436,0.12585233319074263,0.0
0.825,0.0,5.9,0.4,4.813559322033898,1.3329554269077288,1.3301328091084166,0.0
0.825,0.0,5.9,0.4,5.627118644067797,9.421744035190876,9.421241715023031,0.0
0.825,0.0,5.9,0.4,5.898305084745763,42.05723140311121,42.057035466905496,0.0
0.825,0.0,5.9,0.4,6.169491525423728,31.220813518659547,31.220333339838863,0.0
0.825,0.0,5.9,0.4,6.4406779661016955,1.0454272755881036,1.0454194646733428,0.0
0.825,0.0,5.9,0.4,6.711864406779661,20.696590093055566,20.696564636871837,0.0
0.825,0.0,5.9,0.4,7.254237288135593,0.13188524249841382,0.1318852354792049,0.0
0.825,0.0,6.0,0.4,4.813559322033898,1.3329554269077288,1.3301328091084166,0.0
0.825,0.0,6.0,0.4,5.627118644067797,9.421744035190876,9.421241715023031,0.0
0.825,0.0,6.0,0.4,5.898305084745763,42.05723140311121,42.057035466905496,0.0
0.825,0.0,6.0,0.4,6.169491525423728,31.220813518659547,31.220333339838863,0.0
0.825,0.0,6.0,0.4,6.4406779661016955,1.0454272755881036,1.0454194646733428,0.0
0.825,0.0,6.0,0.4,6.711864406779661,20.696590093055566,20.696564636871837,0.0
0.825,0.0,6.0,0.4,7.254237288135593,0.13188524249841382,0.1318852354792049,0.0
0.825,0.01,5.9,0.4,4.813559322033898,1.3288467009621971,1.3260308435587909,0.0
0.825,0.01,5.9,0.4,5.627118644067797,8.949583364941624,8.94913360252962,0.0
0.825,0.01,5.9,0.4,5.898305084745763,42.05310566873759,42.05290962053955,0.0
0.825,0.01,5.9,0.4,6.169491525423728,31.9320120185647,31.931546454843165,0.0
0.825,0.01,5.9,0.4,6.4406779661016955,1.915035165454185,1.915028220424722,0.0
0.825,0.01,5.9,0.4,6.711864406779661,20.695072946645215,20.695047447493906,0.0
0.825,0.01,5.9,0.4,7.254237288135593,0.13184287687569407,0.1318428698652455,0.0
0.825,0.01,6.0,0.4,4.813559322033898,1.3307499319500664,1.3279309429921917,0.0
0.825,0.01,6.0,0.4,5.627118644067797,8.894158056167946,8.893714464475112,0.0
0.825,0.01,6.0,0.4,5.898305084745763,41.816977435183965,41.81677497190525,0.0
0.825,0.01,6.0,0.4,6.169491525423728,31.73479419013062,31.734324580781003,0.0
0.825,0.01,6.0,0.4,6.4406779661016955,2.0077064442246453,2.0076995915891005,0.0
0.825,0.01,6.0,0.4,6.711864406779661,20.69444829769716,20.694422780848395,0.0
0.825,0.01,6.0,0.4,7.254237288135593,0.13179658489546675,0.1317965778945908,0.0
0.825,0.02,5.9,0.4,4.813559322033898,1.324739101455517,1.321930002798379,0.0
0.825,0.02,5.9,0.4,5.627118644067797,8.47279622510981,8.472399553120422,0.0
0.825,0.02,5.9,0.4,5.898305084745763,42.04897958512811,42.04878342492502,0.0
0.825,0.02,5.9,0.4,6.169491525423728,32.63413393982088,32.633682733904074,0.0
0.825,0.02,5.9,0.4,6.4406779661016955,2.7701368380731566,2.7701307464684732,0.0
0.825,0.02,5.9,0.4,6.711864406779661,20.693555108251207,20.69352956609007,0.0
0.825,0.02,5.9,0.4,7.254237288135593,0.13180051071026933,0.13180050370858148,0.0
0.825,0.02,6.0,0.4,4.813559322033898,1.32854476156019,1.3257294009684386,0.0
0.825,0.02,6.0,0.4,5.627118644067797,8.360795686119836,8.36041148798963,0.0
0.825,0.02,6.0,0.4,5.898305084745763,41.57553917893496,41.5753301453293,0.0
0.825,0.02,6.0,0.4,6.169491525423728,32.24403425315316,32.24357507875962,0.0
0.825,0.02,6.0,0.4,6.4406779661016955,2.9522228955964067,2.9522169859778984,0.0
0.825,0.02,6.0,0.4,6.711864406779661,20.692305123235457,20.692279545637444,0.0
0.825,0.02,6.0,0.4,7.254237288135593,0.1317079249158497,0.13170791793330777,0.0
0.85,0.0,5.9,0.4,4.813559322033898,1.2414966576908846,1.2388245722106155,0.0
0.85,0.0,5.9,0.4,5.627118644067797,8.085569797502906,8.085216256272634,0.0
0.85,0.0,5.9,0.4,5.898305084745763,40.55828648041575,40.55804964327018,0.0
0.85,0.0,5.9,0.4,6.169491525423728,29.16231490740764,29.16179202825434,0.0
