width_peak,refamp_peak,D,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch,slice_max_width_beta_eff,slice_max_refamp_beta_eff
0.25,0.5,6.169491525423729,10.435664275500244,10.437577036273538,0.0,0.0997019113470463,0.1994038226940926
0.25,0.5,6.4406779661016955,5.896518841442294,5.896555806526784,0.0,0.006324029837561282,0.012648059675122563
0.25,0.5,6.711864406779661,20.815153726968482,20.815166070151307,0.0,6.379862038077707e-05,0.00012759724076155413
0.25,0.75,5.627118644067797,1.47102875056531,1.4713413393598387,0.0,0.0997019113470463,0.2991057340411389
0.25,0.75,5.898305084745763,19.543841559957087,19.545069902126343,0.0,0.25,0.75
0.25,0.75,6.169491525423729,9.224739995593694,9.226691693244476,0.0,0.0997019113470463,0.2991057340411389
0.25,0.75,6.4406779661016955,5.955978454025107,5.9560155787527265,0.0,0.006324029837561282,0.018972089512683844
0.25,0.75,6.711864406779661,20.815121169496052,20.815133512610764,0.0,6.379862038077707e-05,0.00019139586114233118
0.25,1.0,5.627118644067797,1.8733524634825827,1.8736855597194761,0.0,0.0997019113470463,0.3988076453881852
0.25,1.0,5.898305084745763,17.21047664471618,17.211797492606266,0.0,0.25,1.0
0.25,1.0,6.169491525423729,7.994650886047481,7.9966421368146285,0.0,0.0997019113470463,0.3988076453881852
0.25,1.0,6.4406779661016955,6.0154979134759685,6.01553519800737,0.0,0.006324029837561282,0.025296119350245127
0.25,1.0,6.711864406779661,20.81508861169316,20.815100954739755,0.0,6.379862038077707e-05,0.00025519448152310826
0.5,0.0,5.627118644067797,0.18548006753447055,0.18568074974081128,0.0,0.1994038226940926,0.0
0.5,0.0,5.898305084745763,21.348098672714187,21.348744761825685,0.0,0.5,0.0
0.5,0.0,6.169491525423729,10.663960527474146,10.66564750184034,0.0,0.1994038226940926,0.0
0.5,0.0,6.4406779661016955,5.867649512504741,5.867686250737776,0.0,0.012648059675122563,0.0
0.5,0.0,6.711864406779661,20.815223121558898,20.815235465152735,0.0,0.00012759724076155413,0.0
0.5,0.25,5.627118644067797,0.20920174421976867,0.20942360559718054,0.0,0.1994038226940926,0.0997019113470463
0.5,0.25,5.898305084745763,19.07381737557253,19.074536903489715,0.0,0.5,0.25
0.5,0.25,6.169491525423729,9.4566494039384,9.458371741748067,0.0,0.1994038226940926,0.0997019113470463
0.5,0.25,6.4406779661016955,5.927080067734522,5.927116965382332,0.0,0.012648059675122563,0.006324029837561282
0.5,0.25,6.711864406779661,20.815190564790793,20.815202908316525,0.0,0.00012759724076155413,6.379862038077707e-05
0.5,0.5,5.627118644067797,0.6029322267173782,0.6031739776699183,0.0,0.1994038226940926,0.1994038226940926
0.5,0.5,5.898305084745763,16.725060679852476,16.725856051460042,0.0,0.5,0.5
0.5,0.5,6.169491525423729,8.230230634789379,8.231988895726047,0.0,0.1994038226940926,0.1994038226940926
0.5,0.5,6.4406779661016955,5.986570440586121,5.986607497809175,0.0,0.012648059675122563,0.012648059675122563
0.5,0.5,6.711864406779661,20.815158007692247,20.815170351149867,0.0,0.00012759724076155413,0.00012759724076155413
0.5,0.75,5.627118644067797,0.9993440726208433,0.9996058485994723,0.0,0.1994038226940926,0.2991057340411389
0.5,0.75,5.898305084745763,14.299389755757659,14.300263454692598,0.0,0.5,0.75
0.5,0.75,6.169491525423729,6.9844018107195325,6.9861965633246115,0.0,0.1994038226940926,0.2991057340411389
0.5,0.75,6.4406779661016955,6.046120691267184,6.046157908226093,0.0,0.012648059675122563,0.018972089512683844
0.5,0.75,6.711864406779661,20.815125450263263,20.815137793652774,0.0,0.00012759724076155413,0.00019139586114233118
0.5,1.0,5.627118644067797,1.3984555424155616,1.398737479793688,0.0,0.1994038226940926,0.3988076453881852
0.5,1.0,5.898305084745763,11.794285909658711,11.79524050088905,0.0,0.5,1.0
0.5,1.0,6.169491525423729,5.7188557363065655,5.72068755811955,0.0,0.1994038226940926,0.3988076453881852
0.5,1.0,6.4406779661016955,6.105730880044703,6.105768256900227,0.0,0.012648059675122563,0.025296119350245127
0.5,1.0,6.711864406779661,20.81509289250382,20.815105235825218,0.0,0.00012759724076155413,0.00025519448152310826
0.75,0.0,5.627118644067797,0.6430854066027294,0.6432370877102755,0.0,0.2991057340411389,0.0
0.75,0.0,5.898305084745763,16.23644272291115,16.23670555477065,0.0,0.75,0.0
0.75,0.0,6.169491525423729,8.46510746057912,8.466634098829758,0.0,0.2991057340411389,0.0
0.75,0.0,6.4406779661016955,5.957657104280202,5.957693934379137,0.0,0.018972089512683844,0.0
0.75,0.0,6.711864406779661,20.81522740219005,20.815239746058683,0.0,0.00019139586114233118,0.0
0.75,0.25,5.627118644067797,0.25549000353451135,0.25566110300695044,0.0,0.2991057340411389,0.0997019113470463
0.75,0.25,5.898305084745763,13.794771132082289,13.795094852304999,0.0,0.75,0.25
0.75,0.25,6.169491525423729,7.222995941073492,7.224555405189989,0.0,0.2991057340411389,0.0997019113470463
0.75,0.25,6.4406779661016955,6.017178253314235,6.017215242920415,0.0,0.018972089512683844,0.006324029837561282
0.75,0.25,6.711864406779661,20.815194845465395,20.81520718926592,0.0,0.00019139586114233118,6.379862038077707e-05
0.75,0.5,5.627118644067797,0.13817862690454064,0.13837052400316452,0.0,0.2991057340411389,0.1994038226940926
0.75,0.5,5.898305084745763,11.27314264887032,11.273529251354304,0.0,0.75,0.5
0.75,0.5,6.169491525423729,5.961226003564235,5.962818813068878,0.0,0.2991057340411389,0.1994038226940926
0.75,0.5,6.4406779661016955,6.076759311153928,6.0767964604279,0.0,0.018972089512683844,0.012648059675122563
0.75,0.5,6.711864406779661,20.815162288410296,20.815174632142714,0.0,0.00019139586114233118,0.00012759724076155413
0.75,0.75,5.627118644067797,0.5314254313629689,0.5316370139754909,0.0,0.2991057340411389,0.2991057340411389
0.75,0.75,5.898305084745763,8.668938942184795,8.669390486121912,0.0,0.75,0.75
0.75,0.75,6.169491525423729,4.6794865218825095,4.681113204519804,0.0,0.2991057340411389,0.2991057340411389
0.75,0.75,6.4406779661016955,6.136400338098696,6.136437647201177,0.0,0.018972089512683844,0.018972089512683844
0.75,0.75,6.711864406779661,20.81512973102476,20.81514207468907,0.0,0.00019139586114233118,0.00019139586114233118
0.75,1.0,5.627118644067797,0.9273503053075771,0.9275817074952712,0.0,0.2991057340411389,0.3988076453881852
0.75,1.0,5.898305084745763,5.979455939012169,5.9799745510261175,0.0,0.75,1.0
0.75,1.0,6.169491525423729,3.3774614457862526,3.3791225376531884,0.0,0.2991057340411389,0.3988076453881852
0.75,1.0,6.4406779661016955,6.196101394507394,6.196138863599245,0.0,0.018972089512683844,0.025296119350245127
0.75,1.0,6.711864406779661,20.815097173308764,20.81510951690497,0.0,0.00019139586114233118,0.00025519448152310826
1.0,0.0,5.627118644067797,1.0970408343123452,1.097144111468019,0.0,0.3988076453881852,0.0
1.0,0.0,5.898305084745763,10.751963101470437,10.752152037246944,0.0,1.0,0.0
1.0,0.0,6.169491525423729,6.202873086317837,6.204228287999129,0.0,0.3988076453881852,0.0
1.0,0.0,6.4406779661016955,6.047801900396408,6.047838822273313,0.0,0.025296119350245127,0.0
1.0,0.0,6.711864406779661,20.815231682815494,20.815244026958915,0.0,0.00025519448152310826,0.0
1.0,0.25,5.627118644067797,0.7125369355239854,0.7126593014064113,0.0,0.3988076453881852,0.0997019113470463
1.0,0.25,5.898305084745763,8.129751521596788,8.12989437931519,0.0,1.0,0.25
1.0,0.25,6.169491525423729,4.924958059435454,4.926343373722418,0.0,0.3988076453881852,0.0997019113470463
1.0,0.25,6.4406779661016955,6.107413781332646,6.107450862809166,0.0,0.025296119350245127,0.006324029837561282
1.0,0.25,6.711864406779661,20.815199126134285,20.815211470209604,0.0,0.00025519448152310826,6.379862038077707e-05
1.0,0.5,5.627118644067797,0.32541450774319713,0.3255560923494727,0.0,0.3988076453881852,0.1994038226940926
1.0,0.5,5.898305084745763,5.421670945300676,5.421766216052731,0.0,1.0,0.5
1.0,0.5,6.169491525423729,3.626817966303335,3.628233869776537,0.0,0.3988076453881852,0.1994038226940926
1.0,0.5,6.4406779661016955,6.167085662397369,6.167122903634159,0.0,0.025296119350245127,0.012648059675122563
1.0,0.5,6.711864406779661,20.815166569122635,20.81517891312985,0.0,0.00025519448152310826,0.00012759724076155413
1.0,0.75,5.627118644067797,0.0672427579067687,0.0674047599504135,0.0,0.3988076453881852,0.2991057340411389
1.0,0.75,5.898305084745763,2.624909439097266,2.6249555645628675,0.0,1.0,0.75
1.0,0.75,6.169491525423729,2.308132712630268,2.309579689412871,0.0,0.3988076453881852,0.2991057340411389
1.0,0.75,6.4406779661016955,6.226817603981914,6.226855005139775,0.0,0.025296119350245127,0.018972089512683844
1.0,0.75,6.711864406779661,20.81513401178055,20.815146355719655,0.0,0.00025519448152310826,0.00019139586114233118
1.0,1.0,5.627118644067797,0.46000647850011234,0.460187962467856,0.0,0.3988076453881852,0.3988076453881852
1.0,1.0,5.898305084745763,0.26343701227730776,0.2634416414482388,0.0,1.0,1.0
1.0,1.0,6.169491525423729,0.9685771381168706,0.9700556799941324,0.0,0.3988076453881852,0.3988076453881852
1.0,1.0,6.4406779661016955,6.28660966653716,6.286647227777031,0.0,0.025296119350245127,0.025296119350245127
1.0,1.0,6.711864406779661,20.815101454108003,20.815113797979002,0.0,0.00025519448152310826,0.00025519448152310826
