case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.53,0.23054740349801683,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.72,0.23054742538492778,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,1.91,0.2305474473060376,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.1,0.2305474692852889,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.29,0.2305474911675911,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.4800000000000004,0.2305475130590322,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.6700000000000004,0.23054753492328572,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,2.8600000000000003,0.23054755686976502,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.0500000000000003,0.2305475787629625,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.24,0.2305476006473608,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.43,0.23054762258504402,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.62,0.2305476444781296,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,3.81,0.23054766639426383,0.0
D60E21_release,D60 x E21 release,8.0,8.067796610169491,4.0,0.23054768827265226,0.0
