beta_peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,hotspot_max_abs_delta_mu,guard_max_abs_delta_mu,max_beta_eff,D4p814_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,D7p254_max_abs_delta_mu
0.3,5.9,0.2,34.03890859647738,34.04029695652256,0.0,34.04029695652256,20.69445381871394,0.2999892274269721,1.3307496540154755,8.31362856850511,34.04029695652256,27.947362036941648,1.9022194898068179,20.69445381871394,0.13179658490445512
0.3,6.0,0.1,37.316928810770314,37.31848253767463,0.0,37.31848253767463,20.694448297697367,0.17887543777049297,1.3307499165754795,8.892757592293663,37.31848253767463,29.532715745575487,2.007459387026401,20.694448297697367,0.13179658489546675
0.3,6.0,0.15,35.73013252676901,35.73161061020659,0.0,35.73161061020659,20.69444856656876,0.23840322365260266,1.3307499165754528,8.827491109093955,35.73161061020659,26.72441211765262,1.9532850805782331,20.69444856656876,0.1317965848954663
0.3,6.0,0.2,35.04382473066555,35.04526752069471,0.0,35.04526752069471,20.694485382910113,0.26362015949405004,1.3307499012521262,8.636031070449626,35.04526752069471,25.015152573622323,1.6471077626877886,20.694485382910113,0.13179658512975045
0.3,6.1,0.1,40.861969087225965,40.863660646126725,0.0,40.863660646126725,20.694448297852283,0.23564557359212007,1.3307499165754795,8.89413765216559,40.863660646126725,24.120799136072478,1.9954167391206568,20.694448297852283,0.13179658489546675
0.3,6.1,0.15,38.803532561755006,38.805149432237954,0.0,38.805149432237954,20.694453391871093,0.2694734207539723,1.3307499165754795,8.883985870328807,38.805149432237954,22.944786855049202,1.6980106844887857,20.694453391871093,0.13179658489547785
0.3,6.1,0.2,37.276413288077734,37.27796518848267,0.0,37.27796518848267,20.694642297232107,0.2824267071856998,1.3307499158789966,8.804632610762127,37.27796518848267,22.488664563802928,1.0444819247135015,20.694642297232107,0.13179658965129137
0.4,5.9,0.1,31.40924961433884,31.413225695271848,0.0,31.413225695271848,20.69444829769716,0.39994254937173257,1.3307499165754795,8.846987554395596,31.184039137996677,31.413225695271848,2.007704007828636,20.69444829769716,0.13179658489546675
0.4,5.9,0.15,31.181888313423865,31.183104528624092,0.0,31.183104528624092,20.694448309829227,0.39997446536866493,1.3307499165718468,8.519667269055205,31.183104528624092,29.270658241046725,1.9995141302216055,20.694448309829227,0.13179658489546675
0.4,5.9,0.2,31.18156120021258,31.182777394261777,0.0,31.182777394261777,20.694455659050828,0.39998563656929614,1.3307495664954843,8.11858542534938,31.182777394261777,26.628005125497438,1.8670088674613936,20.694455659050828,0.1317965849074514
0.4,6.0,0.1,35.72749907336952,35.72897702432671,0.0,35.72897702432671,20.694448297697434,0.23850058369399063,1.3307499165754795,8.892290762055417,35.72897702432671,28.77934255254366,2.0073770343618875,20.694448297697434,0.13179658489546675
0.4,6.0,0.15,33.53819575434623,33.539555788895115,0.0,33.539555788895115,20.69444865619262,0.31787096487013694,1.3307499165754653,8.805248525091223,33.539555788895115,24.955208706892265,1.9351317665761272,20.69444865619262,0.13179658489546675
0.4,6.0,0.2,32.5847270481593,32.586030960058864,0.0,32.586030960058864,20.694497744555942,0.3514935459920667,1.3307498961443471,8.549685153796254,32.586030960058864,22.598215608321908,1.5263443621884818,20.694497744555942,0.13179658520784443
0.4,6.1,0.1,40.54010191763364,40.54178279457191,0.0,40.54178279457191,20.69444829790399,0.31419409812282684,1.3307499165754795,8.894130850829583,40.54178279457191,21.35623472763396,1.9913195148399936,20.69444829790399,0.13179658489546675
0.4,6.1,0.15,37.75902632297757,37.76059961852283,0.0,37.76059961852283,20.694455089927338,0.35929789433862974,1.3307499165754795,8.880594669721347,37.76059961852283,19.714134380974144,1.5943627833335725,20.694455089927338,0.1317965848954823
0.4,6.1,0.2,35.67186602996191,35.67334117688117,0.0,35.67334117688117,20.69470696123097,0.37656894291426646,1.3307499156468339,8.774754249263111,35.67334117688117,19.07451534163701,0.7193944011433473,20.69470696123097,0.1317965912365664
0.5,5.9,0.1,31.32856920923678,31.332541357881112,0.0,31.332541357881112,20.69444829769716,0.49992818671466566,1.3307499165754795,8.835187793904751,28.183047452611625,31.332541357881112,2.0077033987296176,20.69444829769716,0.13179658489546675
0.5,5.9,0.15,28.633798217270268,28.637628729189167,0.0,28.637628729189167,20.694448312862242,0.4999680817108311,1.3307499165709409,8.42559560921319,28.181820376747233,28.637628729189167,1.997465846786561,20.694448312862242,0.13179658489546675
0.5,5.9,0.2,28.180382176565903,28.181390871379342,0.0,28.181390871379342,20.6944574993867,0.49998204571162014,1.3307494789754806,7.922770566256453,28.181390871379342,25.279144608671537,1.831774065366936,20.6944574993867,0.13179658491044766
0.5,6.0,0.1,34.09083649294562,34.092227744956084,0.0,34.092227744956084,20.694448297697505,0.2981257296174883,1.3307499165754795,8.891823927343651,34.092227744956084,28.01608382377126,2.0072946815648507,20.694448297697505,0.13179658489546675
0.5,6.0,0.15,31.259018026800998,31.26023922011224,0.0,31.26023922011224,20.69444874581648,0.39733870608767113,1.3307499165754386,8.782995799230825,31.26023922011224,23.13403012003839,1.9169720190493251,20.69444874581648,0.13179658489546675
0.5,6.0,0.2,30.017177444356676,30.018316305340335,0.0,30.018316305340335,20.69451010615586,0.4393669324900834,1.3307498910365538,8.46318699691394,30.018316305340335,20.086955890783514,1.4052979400848358,20.69451010615586,0.13179658528593974
0.5,6.1,0.1,40.21616032118679,40.21783007080773,0.0,40.21783007080773,20.6944482979557,0.3927426226535335,1.3307499165754795,8.894124049492603,40.21783007080773,18.470020216342448,1.9872219625592251,20.6944482979557,0.13179658489546675
0.5,6.1,0.15,36.69353912407645,36.695064135638255,0.0,36.695064135638255,20.694456787982716,0.44912236792328714,1.3307499165754795,8.877203233089276,36.695064135638255,16.320407671676378,1.490506193361803,20.694456787982716,0.1317965848954854
0.5,6.1,0.2,34.01921960091406,34.020606862193354,0.0,34.020606862193354,20.694771623973477,0.470711178642833,1.3307499154146871,8.744857595935287,34.020606862193354,15.479529754246826,0.3922796618628652,20.694771623973477,0.13179659282184142
