D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
12.0,0.2,2,2,0,0.9517582097067341,0.9517582097067334,-6.661338147750939e-16,6.661338147750939e-16,0.0508062778180328,0.05080612438871876,-1.5342931403844462e-07,1.5342931403844462e-07,11.377023124845195,11.377025712418682,2.5875734870339784e-06,2.5875734870339784e-06,0,0
12.8,0.2,2,2,0,0.9457968345112617,0.9457968345112614,-3.3306690738754696e-16,3.3306690738754696e-16,0.0031619237748110925,0.003161958243938919,3.446912782631428e-08,3.446912782631428e-08,12.19472881995304,12.19472821810567,-6.01847370163e-07,6.01847370163e-07,0,0
13.600000000000001,0.2,2,2,0,0.9421222814089718,0.9421222814089718,0.0,0.0,0.000238895962621926,0.00023889290740896667,-3.055212959333182e-09,3.055212959333182e-09,12.24581967734962,12.245819730806724,5.345710363258149e-08,5.345710363258149e-08,0,0
14.4,0.2,2,2,0,0.9423418454318492,0.9423418454318492,0.0,0.0,5.902993381932158e-05,5.904162283323457e-05,1.1689013912992343e-08,1.1689013912992343e-08,12.248966997936492,12.248966793387373,-2.0454911897616057e-07,2.0454911897616057e-07,0,0
15.200000000000001,0.2,2,2,0,0.9434855149126592,0.9434855149126594,2.220446049250313e-16,2.220446049250313e-16,1.6374758972874518e-05,1.6252956991148916e-05,-1.2180198172560117e-07,1.2180198172560117e-07,12.2497134433938,12.249715574903643,2.131509843295021e-06,2.131509843295021e-06,0,0
16.0,0.2,2,2,0,0.939567560286283,0.9395675602862832,2.220446049250313e-16,2.220446049250313e-16,2.346471088907231e-06,2.3785192962496065e-06,3.20482073423753e-08,3.20482073423753e-08,12.249958936790353,12.249958375947672,-5.608426807413025e-07,5.608426807413025e-07,0,0
16.8,0.2,2,2,0,0.937116788077611,0.937116788077611,0.0,0.0,4.5772954691163785e-07,5.514004040638291e-07,9.367085715219128e-08,9.367085715219128e-08,12.249991989734236,12.249990350494828,-1.6392394073250216e-06,1.6392394073250216e-06,0,0
17.6,0.2,2,2,0,0.9280847821906237,0.9280847821906237,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
18.4,0.2,2,2,0,0.92266427015343,0.92266427015343,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
19.200000000000003,0.2,2,2,0,0.9249701331244227,0.9249701331244227,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
20.0,0.2,2,2,0,0.9273399658726669,0.9273399658726669,0.0,0.0,7.407618517495128e-08,7.407618468852753e-08,-4.864237577351549e-16,4.864237577351549e-16,12.24999870366679,12.2499987036668,8.881784197001252e-15,8.881784197001252e-15,0,0
4.0,0.29500000000000004,2,2,0,0.9009020621640224,0.9009020621640224,0.0,0.0,1.4015231349365256,1.4015231313530625,-3.583463081824334e-09,3.583463081824334e-09,1.4499625217906642e-05,1.4499556991764227e-05,-6.822614241413453e-11,6.822614241413453e-11,0,0
4.8,0.29500000000000004,2,2,0,0.9288448917496988,0.9288435401533817,-1.3515963170895873e-06,1.3515963170895873e-06,8.722409765284377,8.722162111918742,-0.00024765336563525864,0.00024765336563525864,335.110529817075,335.08786245761445,-0.02266735946056997,0.02266735946056997,0,0
5.6,0.29500000000000004,2,2,0,0.9424135119777088,0.9424134997030902,-1.2274618654828373e-08,1.2274618654828373e-08,41.122262845670306,41.12225044752958,-1.2398140725622397e-05,1.2398140725622397e-05,9861.613534878246,9861.60737885165,-0.006156026596727315,0.006156026596727315,0,0
6.4,0.29500000000000004,2,2,0,0.9477073192959782,0.9477073153783351,-3.91764309881637e-09,3.91764309881637e-09,48.74277462078567,48.74277049509813,-4.125687539158207e-06,4.125687539158207e-06,14008.364429965672,14008.361988447085,-0.002441518587147584,0.002441518587147584,0,0
7.2,0.29500000000000004,2,2,0,0.94972670809278,0.9497267074775197,-6.152602871623003e-10,6.152602871623003e-10,3.2422936448334743,3.2422936078912907,-3.694218353444967e-08,3.694218353444967e-08,21.212786711211294,21.212785860481933,-8.507293607351585e-07,8.507293607351585e-07,0,0
8.0,0.29500000000000004,2,2,0,0.9510038700647593,0.9510038700052037,-5.955558268766481e-11,5.955558268766481e-11,2.327625144994187,2.3276251344113965,-1.0582790643809403e-08,1.0582790643809403e-08,5.3780525601592934,5.37805243744851,-1.2271078375647448e-07,1.2271078375647448e-07,0,0
8.8,0.29500000000000004,2,2,0,0.9494613286915179,0.9494613286880192,-3.498645817501256e-12,3.498645817501256e-12,1.880559974002367,1.8805599598573313,-1.4145035809320916e-08,1.4145035809320916e-08,1.4433618038322238,1.4433617188629995,-8.496922432321696e-08,8.496922432321696e-08,0,0
9.600000000000001,0.29500000000000004,2,2,0,0.9496919994507921,0.9496919994502869,-5.051514762044462e-13,5.051514762044462e-13,1.288242188685077,1.2882421602489615,-2.843611546232694e-08,2.843611546232694e-08,0.07806130243688694,0.07806134216136733,3.972448038569443e-08,3.972448038569443e-08,0,0
10.4,0.29500000000000004,2,2,0,0.9517678920448223,0.9517678920447707,-5.1514348342607263e-14,5.1514348342607263e-14,0.6582282139207496,0.6582282173534865,3.432736872532871e-09,3.432736872532871e-09,3.4389086413950065,3.4389086095661647,-3.182884178443146e-08,3.182884178443146e-08,0,0
11.2,0.29500000000000004,2,2,0,0.9535398475417867,0.9535398475417822,-4.440892098500626e-15,4.440892098500626e-15,0.20361248500946644,0.2036125891900624,1.0418059595562745e-07,1.0418059595562745e-07,8.94589428765765,8.945892729653162,-1.558004488089182e-06,1.558004488089182e-06,0,0
12.0,0.29500000000000004,2,2,0,0.9517582097067423,0.9517582097067413,-9.992007221626409e-16,9.992007221626409e-16,0.05080621600131483,0.05080610313501322,-1.1286630161033706e-07,1.1286630161033706e-07,11.377024167379316,11.377026070860799,1.9034814826568436e-06,1.9034814826568436e-06,0,0
12.8,0.29500000000000004,2,2,0,0.9457968345112626,0.9457968345112625,-1.1102230246251565e-16,1.1102230246251565e-16,0.003161838042345963,0.003161848929819429,1.0887473466184017e-08,1.0887473466184017e-08,12.19473031688273,12.19473012678225,-1.901004793580796e-07,1.901004793580796e-07,0,0
