center_D,sigma_D,D,slice_max_abs_delta_mu,slice_p95_abs_delta_mu,slice_acceptance_mismatch
6.0,0.1,7.254237288135593,0.13179658489549384,0.13179656828091924,0.0
6.0,0.1,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.0,0.15,4.813559322033898,1.3301457494724431,1.328756177879237,0.0
6.0,0.15,5.3559322033898304,14.190394547783665,14.183370125046554,0.0
6.0,0.15,5.627118644067797,12.945879012725342,12.945462403941448,0.0
6.0,0.15,5.898305084745763,39.675390721443925,39.674819160647054,0.0
6.0,0.15,6.169491525423728,28.89569946346792,28.8944987071186,0.0
6.0,0.15,6.4406779661016955,22.175788294381647,22.17570682974629,0.0
6.0,0.15,6.711864406779661,20.81517788816674,20.815165544521214,0.0
6.0,0.15,7.254237288135593,0.13179658489549384,0.13179656828091924,0.0
6.0,0.15,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.0,0.2,4.813559322033898,1.3301457808848163,1.32875620926424,0.0
6.0,0.2,5.3559322033898304,14.1786453361605,14.171615011853984,0.0
6.0,0.2,5.627118644067797,12.407851991920303,12.407462874338243,0.0
6.0,0.2,5.898305084745763,39.27914302427945,39.27855465838794,0.0
6.0,0.2,6.169491525423728,27.981172585607148,27.979944288351902,0.0
6.0,0.2,6.4406779661016955,22.696024088604517,22.695941221727026,0.0
6.0,0.2,6.711864406779661,20.814658858580326,20.81464651602059,0.0
6.0,0.2,7.254237288135593,0.13179658401917216,0.13179656740459755,0.0
6.0,0.2,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.2,0.1,4.813559322033898,1.3301457494723916,1.3287561778791837,0.0
6.2,0.1,5.3559322033898304,14.190606457353688,14.183582141057673,0.0
6.2,0.1,5.627118644067797,13.132204956219347,13.131778826865073,0.0
6.2,0.1,5.898305084745763,43.228055776441074,43.22763488622944,0.0
6.2,0.1,6.169491525423728,26.576923604427705,26.5756530183234,0.0
6.2,0.1,6.4406779661016955,22.46614611250324,22.466063865238226,0.0
6.2,0.1,6.711864406779661,20.815181075865492,20.815168732213294,0.0
6.2,0.1,7.254237288135593,0.13179658489549384,0.13179656828091924,0.0
6.2,0.1,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.2,0.15,4.813559322033898,1.3301457494723916,1.3287561778791837,0.0
6.2,0.15,5.3559322033898304,14.190606173069522,14.183581856630724,0.0
6.2,0.15,5.627118644067797,13.129426377022419,13.129000389643323,0.0
6.2,0.15,5.898305084745763,42.69309458348833,42.69265100526226,0.0
6.2,0.15,6.169491525423728,26.438124267072574,26.43684950103699,0.0
6.2,0.15,6.4406779661016955,24.016065209978564,24.015978785065826,0.0
6.2,0.15,6.711864406779661,20.81430919740197,20.814296855573716,0.0
6.2,0.15,7.254237288135593,0.1317965848897833,0.1317965682752087,0.0
6.2,0.15,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
6.2,0.2,4.813559322033898,1.3301457495229112,1.3287561779296606,0.0
6.2,0.2,5.3559322033898304,14.190316762864889,14.183292301056813,0.0
6.2,0.2,5.627118644067797,13.064609621222324,13.064186945741035,0.0
6.2,0.2,5.898305084745763,41.85409859565563,41.85361943512318,0.0
6.2,0.2,6.169491525423728,26.388613428705,26.387337171654366,0.0
6.2,0.2,6.4406779661016955,25.510513248886568,25.51042279584263,0.0
6.2,0.2,6.711864406779661,20.804020301725668,20.804007981421464,0.0
6.2,0.2,7.254237288135593,0.13179630366423423,0.1317962870496343,0.0
6.2,0.2,8.067796610169491,0.06264099433679249,0.06264099401283607,0.0
