D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s,grid_index
12.40677966101695,fine,3.0,12.203389830508474,0.06,0.03,50,814,2.3195142284541554,2.6655290711445008,0.3460148426903453,0.17300742134517266,0.00023558888312836442,1.8219534100668313,734.3615668439957,-1.1468357956809138e-05,1.0000000000000002,0.9999999999999999,1.5759962779249292e-15,0.008178949356079102,0.17228102684020996,31
12.677966101694915,fine,3.0,12.338983050847457,0.06,0.03,50,823,2.283311556929702,2.62191445538912,0.33860289845941827,0.16930144922970913,0.00024487483213121367,1.811991047695794,691.3795417692852,8.808534954045689e-06,1.0,1.0,-2.3194472601253957e-16,0.004652738571166992,0.18401193618774414,32
12.94915254237288,fine,3.0,12.47457627118644,0.06,0.03,50,832,2.248249253769504,2.579700314160121,0.3314510603906169,0.16572553019530845,0.0002542833982262428,1.8022900026825606,651.7355491995509,6.346881979473439e-06,1.0,1.0,6.648869822767356e-17,0.004164934158325195,0.14921998977661133,33
13.220338983050848,fine,3.0,12.610169491525424,0.06,0.03,50,841,2.214279539734583,2.5388236679533467,0.32454412821876355,0.16227206410938178,0.00026380542322591415,1.7928411920007257,615.1202735904993,4.171543742759603e-06,1.0,1.0,3.0986498089635717e-16,0.005412101745605469,0.13683485984802246,34
13.491525423728813,fine,3.0,12.745762711864407,0.06,0.03,50,850,2.1813577201732737,2.4992250883918676,0.31786736821859396,0.15893368410929698,0.0002734306360434836,1.7836360952204555,581.2577786054004,2.3440480499302125e-06,0.9999999999999999,1.0000000000000002,-1.803434788658076e-16,0.010831117630004883,0.15518689155578613,35
13.76271186440678,fine,3.0,12.881355932203391,0.06,0.03,50,859,2.460848577319294,2.801094531928807,0.3402459546095131,0.17012297730475656,0.00018418687760165037,1.860335608786569,923.6433100988309,-7.523371359254768e-06,1.0,1.0,2.7701365507004638e-17,0.007191896438598633,0.1296379566192627,36
14.033898305084746,fine,3.0,13.016949152542374,0.06,0.03,50,868,2.4236414302334977,2.75688752618571,0.33324609595221233,0.16662304797610616,0.00019144744371395978,1.8503084689406515,870.3331041863188,5.940071599499393e-06,1.0,1.0000000000000002,1.9461428996114805e-17,0.004272937774658203,0.14897608757019043,37
14.305084745762711,fine,3.0,13.152542372881356,0.06,0.03,50,877,2.3875540859441333,2.714036685806144,0.32648259986201067,0.16324129993100533,0.00019881801613775982,1.8405309250170543,821.0588914532594,-4.400165181750933e-06,1.0,0.9999999999999998,2.970713952610282e-17,0.0043179988861083984,0.16411328315734863,38
14.576271186440678,fine,3.0,13.288135593220339,0.06,0.03,50,886,2.3525399650668075,2.6724848240390378,0.31994485897223024,0.15997242948611512,0.00020629482805265207,1.830994255880342,775.4553567638923,-2.9828233540441913e-06,1.0,1.0,4.901678021806966e-16,0.009035110473632812,0.1604480743408203,39
14.847457627118644,fine,3.0,13.423728813559322,0.06,0.03,50,895,2.3185553003706207,2.6321774703723158,0.313622170001695,0.1568110850008475,0.00021387347931540876,1.821690231727288,733.1955579662647,1.755955654848642e-06,1.0,1.0000000000000002,-8.760353553682876e-17,0.009400129318237305,0.14779090881347656,40
