D,eta,base_raw_amp,base_raw_amp_ref,base_amp,base_amp_ref,base_partial_ratio,base_width_ratio,base_mu,base_chi2,cur_raw_amp,cur_raw_amp_ref,cur_amp,cur_amp_ref,cur_partial_ratio,cur_width_ratio,cur_mu,cur_chi2,cur_width_alpha,cur_refamp_beta,cur_pointamp_beta,delta_mu,delta_log_mu,delta_log_partial,delta_log_width,delta_log_amp_point,delta_log_amp_ref,path_closure_residual,width_component,partial_component,amp_point_component,amp_ref_component,mu_width_anchor,mu_partial_anchor,mu_refamp_anchor,mu_pointamp_anchor,mu_width_refamp_anchor,mu_width_pointamp_anchor,delta_mu_width_anchor,delta_mu_partial_anchor,delta_mu_refamp_anchor,delta_mu_pointamp_anchor,delta_mu_width_refamp_anchor,delta_mu_width_pointamp_anchor,acceptance_mismatch
4.0,2.1,0.0015178923167368304,3.8216765725582925e-05,0.0015178923167368304,3.8216765725582925e-05,1577.5170622495918,731.9744649470063,2.1551531341517514,3.564101600120082,0.0015178923167197581,3.8501608066375446e-05,0.0015178923167197588,3.850160806637546e-05,1554.2618523923336,465.6688588723029,3.3376976423895846,23.46670095826346,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.1825445082378332,0.4374194597042379,-0.014851391447292773,-0.4522708511515306,-1.124689230642347e-11,0.007425695712399338,5.551115123125783e-17,0.4522708511515306,0.014851391447292773,2.249378461284694e-11,0.014851391424798676,2.1233826134971245,3.3876370132841185,3.3876370132079177,3.3376976424646623,2.1551531341032737,2.1233826135448877,-0.03177052065462682,1.2324838791323671,1.2324838790561663,1.182544508312911,-4.8477666325652535e-11,-0.031770520606863695,1.0
4.0,2.29,0.0015212767880668635,3.8216765725582925e-05,0.0015212767880668635,3.8216765725582925e-05,1584.5597404561167,725.0929047873678,2.185319605245325,3.8545430148917097,0.0015212767880497533,3.8501608066375446e-05,0.0015212767880497535,3.850160806637546e-05,1561.200709877315,461.478336176255,3.3830422524558914,24.57785359390834,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.1977226472105662,0.43701328908741593,-0.014851391447292773,-0.4518646805347089,-1.1247114351028397e-11,0.007425695712399338,-2.220446049250313e-16,0.4518646805347089,0.014851391447292773,2.2494228702056794e-11,0.014851391424798676,2.1531043809277572,3.4336600794428556,3.433660079365619,3.38304225253199,2.1853196051961685,2.1531043809761896,-0.03221522431756796,1.2483404741975304,1.248340474120294,1.1977226472866649,-4.915667872751328e-11,-0.03221522426913559,1.0
4.0,2.4800000000000004,0.0015245986204696868,3.8216765725582925e-05,0.0015245986204696868,3.8216765725582925e-05,1591.4873275038813,718.2943655536378,2.21564779542328,4.158008288617854,0.0015245986204525392,3.8501608066375446e-05,0.001524598620452539,3.850160806637546e-05,1568.0261728375137,457.29704551394707,3.428900729230035,25.72773855668855,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.2132529338067553,0.43669490353609175,-0.014851391447293335,-0.4515462949833852,-1.1247336395633325e-11,0.007425695712399338,-1.1102230246251565e-16,0.4515462949833852,0.014851391447293335,2.249467279126665e-11,0.014851391424798676,2.1829854834360707,3.480204700896854,3.480204700818568,3.4289007293071667,2.2156477953734397,2.182985483485176,-0.03266231198720915,1.2645569054735741,1.2645569053952883,1.2132529338838869,-4.984013202147253e-11,-0.03266231193810398,0.0
4.0,2.6700000000000004,0.0015278583967430854,3.8216765725582925e-05,0.0015278583967430854,3.8216765725582925e-05,1598.3001879261335,711.5785520554282,2.246133168726584,4.474633370120563,0.0015278583967259013,3.8501608066375446e-05,0.0015278583967259013,3.850160806637546e-05,1574.738600432357,453.12496249989414,3.475285474771708,26.91756126124021,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.229152306045124,0.4364664805895783,-0.014851391447293335,-0.4513178720368717,-1.1247225373330861e-11,0.007425695712399338,0.0,0.4513178720368717,0.014851391447293335,2.2494450746661722e-11,0.014851391424798676,2.213021451930571,3.527283465268164,3.5272834651888196,3.4752854748498825,2.2461331686760584,2.2130214519803517,-0.0331117167960131,1.28115029654158,1.2811502964622354,1.2291523061232983,-5.0525805761481024e-11,-0.03311171674623248,0.0
4.0,2.8600000000000003,0.0015310567035864357,3.8216765725582925e-05,0.0015310567035864357,3.8216765725582925e-05,1604.9987207619968,704.9451338660394,2.276771118285348,4.804547461620872,0.0015310567035692155,3.8501608066375446e-05,0.001531056703569216,3.850160806637546e-05,1581.3383858184714,448.9620564344703,3.5222094231682153,28.148580223649805,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.2454383048828674,0.43633020668912653,-0.014851391447292885,-0.4511815981364194,-1.1247003328725933e-11,0.007425695712399338,0.0,0.4511815981364194,0.014851391447292885,2.2494006657451866e-11,0.014851391424798676,2.243207747454248,3.574909500166769,3.5749095000863544,3.5222094232474443,2.276771118234134,2.2432077475047065,-0.03356337083110006,1.298138381881421,1.2981383818010066,1.2454383049620965,-5.121369994753877e-11,-0.03356337078064131,0.0
4.0,3.0500000000000003,0.0015341941312109373,3.8216765725582925e-05,0.0015341941312109373,3.8216765725582925e-05,1611.5833583284984,698.3937470932085,2.307556969168303,5.147872826787224,0.0015341941311936818,3.8501608066375446e-05,0.0015341941311936822,3.850160806637546e-05,1587.8259549398151,444.80829041466177,3.5696860628645273,29.422110071178583,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.2621290936962244,0.4362882785647524,-0.01485139144729266,-0.4511396700120451,-1.1247003328725933e-11,0.007425695712399338,-5.551115123125783e-17,0.4511396700120451,0.01485139144729266,2.2494006657451866e-11,0.014851391424798676,2.273539763992048,3.62309649585474,3.6230964957732428,3.569686062944824,2.3075569691163973,2.273539764043189,-0.03401720517625506,1.315539526686437,1.31553952660494,1.262129093776521,-5.190559093648517e-11,-0.03401720512511375,0.0
4.0,3.24,0.0015372712729614442,3.8216765725582925e-05,0.0015372712729614442,3.8216765725582925e-05,1618.054565006982,691.9239961024584,2.3384859812946632,5.504724606791295,0.0015372712729441543,3.8501608066375446e-05,0.001537271272944154,3.850160806637546e-05,1594.2017653319822,440.66362144283784,3.6177294601995627,30.73952474148152,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.2792434789048994,0.4363429046896544,-0.014851391447293447,-0.4511942961369479,-1.1247336395633325e-11,0.007425695712399338,0.0,0.4511942961369479,0.014851391447293447,2.249467279126665e-11,0.014851391424798676,2.304012831339812,3.671858729134675,3.671858729052078,3.617729460280942,2.3384859812420595,2.3040128313916397,-0.0344731499548514,1.333372747840012,1.3333727477574149,1.2792434789862788,-5.260369917436947e-11,-0.034473149903023526,0.0
4.0,3.43,0.0015402887249497902,3.8216765725582925e-05,0.0015402887249497902,3.8216765725582925e-05,1624.4128360447924,685.5354551930081,2.3695533524045804,5.875210644743504,0.001540288724932466,3.8501608066375446e-05,0.0015402887249324655,3.850160806637546e-05,1600.4663049415535,436.52800053341804,3.666354284228856,32.102260885265565,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.2968009318242757,0.43649630680522206,-0.01485139144729435,-0.4513476982525165,-1.1247669462540716e-11,0.007425695712399338,-1.1102230246251565e-16,0.4513476982525165,0.01485139144729435,2.2495338925081432e-11,0.014851391424798676,2.334622218030944,3.721211088543762,3.721211088460052,3.6663542843113333,2.3695533523512764,2.3346222180834633,-0.034931134373636485,1.3516577361391815,1.3516577360554716,1.2968009319067528,-5.3304027858303016e-11,-0.03493113432111716,0.0
4.0,3.62,0.0015432470856994798,3.8216765725582925e-05,0.0015432470856994798,3.8216765725582925e-05,1630.6586963730365,679.2276702262994,2.40075422108429,6.259431318862651,0.0015432470856821226,3.8501608066375446e-05,0.0015432470856821222,3.850160806637546e-05,1606.6200909612862,432.40137281727976,3.715575832919932,33.51182148751773,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.314821611835642,0.4367507215199411,-0.014851391447294011,-0.451602112967235,-1.1247447417935788e-11,0.007425695712399338,1.1102230246251565e-16,0.451602112967235,0.014851391447294011,2.2494894835871575e-11,0.014851391424798676,2.36536313431696,3.771169100941096,3.7711691008562624,3.7155758330035145,2.400754221030285,2.3653631343701695,-0.03539108676732994,1.3704148798568059,1.3704148797719724,1.3148216119192244,-5.4005244720656265e-11,-0.0353910867141205,0.0
4.0,3.81,0.001546146955801611,3.8216765725582925e-05,0.001546146955801611,3.8216765725582925e-05,1636.7926994411523,673.0001602072814,2.4320836698419606,6.657479384715308,0.001546146955784221,3.8501608066375446e-05,0.001546146955784221,3.850160806637546e-05,1612.6636686818567,428.2836776437788,3.765410060812954,34.96977972371964,0.8250003072106176,1.2664165549094355e-14,1.3131172951534883e-160,1.3333263909709934,0.43710840198567447,-0.014851391447293447,-0.45195979343296794,-1.1247336395633325e-11,0.007425695712399338,0.0,0.45195979343296794,0.014851391447293447,2.249467279126665e-11,0.014851391424798676,2.3962307351979866,3.8217489595822056,3.821748959496238,3.765410060897656,2.4320836697872523,2.3962307352518892,-0.03585293464397399,1.389665289740245,1.3896652896542774,1.3333263910556954,-5.4708237939848914e-11,-0.03585293459007133,0.0
