taper_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,refamp_beta_new
-1.0,5.7,0.16,5.627118644067797,3.24,14.030414888883051,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,3.43,14.03127875575776,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,3.62,14.032142927234837,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,3.81,14.033007403384723,0.0,0.3138499976189648
-1.0,5.7,0.16,5.627118644067797,4.0,14.033872184280376,0.0,0.3138499976189648
-1.0,5.7,0.16,5.898305084745763,0.2,-9.206454345434054,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,0.39,-9.204806971672255,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,0.5800000000000001,-9.203159281521366,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,0.77,-9.201511850678628,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,0.96,-9.199864171283053,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,1.15,-9.198217064450034,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,1.34,-9.196569878505997,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,1.53,-9.194922376337445,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,1.72,-9.193274557887449,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,1.91,-9.191626423107309,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,2.1,-9.18997924199084,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,2.29,-9.188332887824956,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,2.4800000000000004,-9.186686217668964,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,2.6700000000000004,-9.185039231464614,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,2.8600000000000003,-9.183391929177304,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,3.0500000000000003,-9.181744310736391,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,3.24,-9.180096376116396,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,3.43,-9.17844812525233,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,3.62,-9.176799558105657,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,3.81,-9.175150674623339,0.0,1.0
-1.0,5.7,0.16,5.898305084745763,4.0,-9.173501474743603,0.0,1.0
-1.0,5.7,0.16,6.169491525423729,0.2,-0.25094309851135677,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,0.39,-0.24890369505770593,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,0.5800000000000001,-0.2468640977445773,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,0.77,-0.24482476715790824,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,0.96,-0.24278529697856754,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,1.15,-0.24074634430868969,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,1.34,-0.23870738759066512,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,1.53,-0.23666823705795537,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,1.72,-0.23462889275187138,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,1.91,-0.23258935463351804,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,2.1,-0.23055063882529225,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,2.29,-0.2285126439676617,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,2.4800000000000004,-0.22647445547359268,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,2.6700000000000004,-0.22443607337578442,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,2.8600000000000003,-0.2223974976230778,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,3.0500000000000003,-0.22035872819060387,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,3.24,-0.2183197650627875,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,3.43,-0.21628060821652184,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,3.62,-0.214241257635976,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,3.81,-0.21220171327162518,0.0,0.08266032067028467
-1.0,5.7,0.16,6.169491525423729,4.0,-0.21016197514236978,0.0,0.08266032067028467
-1.0,5.7,0.16,6.4406779661016955,0.2,30.246163973331008,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,0.39,30.2462424552793,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,0.5800000000000001,30.246320939109097,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,0.77,30.246399420091457,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,0.96,30.246477902261084,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,1.15,30.246556379021087,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,1.34,30.24663485573629,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,1.53,30.24671333413127,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,1.72,30.246791814443768,0.0,0.0003151810660131589
-1.0,5.7,0.16,6.4406779661016955,1.91,30.246870296626547,0.0,0.0003151810660131589
