candidate,label,complexity,case,case_label,target_D,acceptance_mismatch,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
shared_width_casebeta,shared width + case beta/center,5,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.008575179945404798,0.008576340761482282
shared_width_casebeta,shared width + case beta/center,5,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.023785353521846186,0.02378540256349293
shared_width_casebeta,shared width + case beta/center,5,D60E21_release,D60 x E21 release,4.0,0.0,0.07047764375849752,0.07490781630627774
shared_width_casebeta,shared width + case beta/center,5,D60E21_release,D60 x E21 release,4.8,0.0,2.8935637104325735,2.9069772358021595
shared_width_casebeta,shared width + case beta/center,5,D60E21_release,D60 x E21 release,6.4,0.0,5.641426828780162,5.641597634406914
shared_width_casebeta,shared width + case beta/center,5,D60E21_release,D60 x E21 release,7.2,0.0,0.2860749327334111,0.28607594560463756
shared_width_casebeta,shared width + case beta/center,5,D60E21_release,D60 x E21 release,8.0,0.0,0.23054076283213387,0.23054078470533534
d60_beta024,v3 + D60 beta 0.24,6,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.31625515880312,1.3414196903804836
d60_beta024,v3 + D60 beta 0.24,6,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7221990709067132,1.7278372466307577
d60_beta024,v3 + D60 beta 0.24,6,D21E21_holdout,D21 x E21 holdout,6.4,0.0,0.584503983963188,0.5847296668955835
d60_beta024,v3 + D60 beta 0.24,6,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.0013228962170495073,0.0013240551344191331
d60_beta024,v3 + D60 beta 0.24,6,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.020225035942566194,0.02022508487722874
d60_beta024,v3 + D60 beta 0.24,6,D60E21_release,D60 x E21 release,4.0,0.0,0.07236736359077023,0.076765099822665
d60_beta024,v3 + D60 beta 0.24,6,D60E21_release,D60 x E21 release,4.8,0.0,2.8973802153036505,2.910796767025362
d60_beta024,v3 + D60 beta 0.24,6,D60E21_release,D60 x E21 release,6.4,0.0,5.40259223353101,5.402761962601623
d60_beta024,v3 + D60 beta 0.24,6,D60E21_release,D60 x E21 release,7.2,0.0,0.29378243995164155,0.2937834579311751
d60_beta024,v3 + D60 beta 0.24,6,D60E21_release,D60 x E21 release,8.0,0.0,0.23131431287671766,0.23131433487260677
d60_beta023,v3 + D60 beta 0.23,6,D21E21_holdout,D21 x E21 holdout,4.0,0.0,1.31625515880312,1.3414196903804836
d60_beta023,v3 + D60 beta 0.23,6,D21E21_holdout,D21 x E21 holdout,4.8,0.0,1.7221990709067132,1.7278372466307577
d60_beta023,v3 + D60 beta 0.23,6,D21E21_holdout,D21 x E21 holdout,6.4,0.0,0.584503983963188,0.5847296668955835
d60_beta023,v3 + D60 beta 0.23,6,D21E21_holdout,D21 x E21 holdout,7.2,0.0,0.0013228962170495073,0.0013240551344191331
d60_beta023,v3 + D60 beta 0.23,6,D21E21_holdout,D21 x E21 holdout,8.0,0.0,0.020225035942566194,0.02022508487722874
d60_beta023,v3 + D60 beta 0.23,6,D60E21_release,D60 x E21 release,4.0,0.0,0.0726412272023349,0.07703497034480389
d60_beta023,v3 + D60 beta 0.23,6,D60E21_release,D60 x E21 release,4.8,0.0,2.9028186175544555,2.9162349762887345
d60_beta023,v3 + D60 beta 0.23,6,D60E21_release,D60 x E21 release,6.4,0.0,5.409763333743278,5.409933037143638
d60_beta023,v3 + D60 beta 0.23,6,D60E21_release,D60 x E21 release,7.2,0.0,0.30018395536177245,0.3001849764965425
d60_beta023,v3 + D60 beta 0.23,6,D60E21_release,D60 x E21 release,8.0,0.0,0.23301151200288217,0.2330115340878547
