combo_id,mode,omega,m,phase,center_D,width_D,boost,boost_center,boost_width,region,p95_abs_delta_base,p95_abs_delta_cf,max_abs_delta_base,max_abs_delta_cf,mean_abs_improvement,improved_fraction,worsened_fraction,p95_abs_cf_shift_vs_base,acceptance_flip_fraction
11,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.1,D21_guard,2.102217055050133,10.957529456174038,2.102232425909044,10.95758756569878,-2.951952972970458,0.0,1.0,8.85538244564452,0.0
12,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.12,D60_hotspot,31.28593012120719,25.179044197635484,31.28639526077564,25.19473086042416,5.806155819612668,1.0,0.0,25.233241741990852,0.0
12,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.9,0.12,D21_guard,2.102217055050133,10.873783756115483,2.102232425909044,10.873841169660153,-2.924038268259244,0.0,1.0,8.771636745585962,0.0
13,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.05,D60_hotspot,31.28593012120719,23.941373976250333,31.28639526077564,23.956835387578025,6.07457121773276,1.0,0.0,25.53052715283046,0.0
13,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.05,D21_guard,2.102217055050133,12.821263668489358,2.102232425909044,12.821337266831677,-3.5731859456555553,0.0,1.0,10.71911665795984,0.0
14,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.08,D60_hotspot,31.28593012120719,23.98177505320262,31.28639526077564,23.997243817378802,6.035744405082854,1.0,0.0,25.350636561576657,0.0
14,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.08,D21_guard,2.102217055050133,11.67927452351115,2.102232425909044,11.6793386311968,-3.192530106093764,0.0,1.0,9.577127512981631,0.0
15,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.1,D60_hotspot,31.28593012120719,24.235448402054878,31.28639526077564,24.250963333854273,5.994993244869286,1.0,0.0,25.308124542004126,0.0
15,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.1,D21_guard,2.102217055050133,11.347099040023398,2.102232425909044,11.347160387119338,-3.0818070417766408,0.0,1.0,9.244952029493877,0.0
16,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.12,D60_hotspot,31.28593012120719,24.807633454748817,31.28639526077564,24.82325252213846,5.906232524243587,1.0,0.0,25.284871610538776,0.0
16,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.1,5.92,0.12,D21_guard,2.102217055050133,11.153726924791043,2.102232425909044,11.153786664841633,-3.017350890686857,0.0,1.0,9.051579914261524,0.0
17,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.05,D60_hotspot,31.28593012120719,24.024440452193286,31.28639526077564,24.03991698131628,6.512864330297362,1.0,0.0,27.80511272621956,0.0
17,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.05,D21_guard,2.102217055050133,9.091492195861427,2.102232425909044,9.091534797428807,-2.3299523321575015,0.0,1.0,6.989345185331908,0.0
18,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.08,D60_hotspot,31.28593012120719,26.31457891713247,31.28639526077564,26.33047224309371,5.360020393615594,0.8,0.2,24.329958632695934,0.0
18,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.08,D21_guard,2.102217055050133,7.115190819333686,2.102232425909044,7.115216996578717,-1.6711976819776644,0.0,1.0,5.013043808804167,0.0
19,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.1,D60_hotspot,31.28593012120719,29.142920706307816,31.28639526077564,29.159328780147092,4.523488368351299,0.8,0.2,22.961631084257043,0.0
19,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.1,D21_guard,2.102217055050133,6.570141358638693,2.102232425909044,6.570163006175775,-1.4895179690172426,0.0,1.0,4.467994348109174,0.0
20,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.12,D60_hotspot,31.28593012120719,31.954736070548698,31.28639526077564,31.97165588451699,3.797632370711014,0.8,0.2,22.081797664029157,0.0
20,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.82,0.12,D21_guard,2.102217055050133,6.257865026448882,2.102232425909044,6.257884078770886,-1.385427829520115,0.0,1.0,4.155718015919363,0.0
21,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.05,D60_hotspot,31.28593012120719,23.945630704421617,31.28639526077564,23.961092890458303,5.598978520799829,1.0,0.0,23.15682689610275,0.0
21,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.05,D21_guard,2.102217055050133,5.572839422091341,2.102232425909044,5.572852781414561,-1.1570902855997487,0.0,1.0,3.4706924115618216,0.0
22,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.08,D60_hotspot,31.28593012120719,24.67949506500872,31.28639526077564,24.695090811679336,5.060181969039595,1.0,0.0,21.19205146510401,0.0
22,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.08,D21_guard,2.102217055050133,5.530054920551509,2.102232425909044,5.530067924308284,-1.1428290551620552,0.0,1.0,3.4279079100219896,0.0
23,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.1,D60_hotspot,31.28593012120719,26.384540199336023,31.28639526077564,26.40044625799517,4.621922968129059,0.8,0.2,20.660736671672087,0.0
23,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.1,D21_guard,2.102217055050133,5.520152718596339,2.102232425909044,5.52016564005951,-1.1395283836842816,0.0,1.0,3.41800570806682,0.0
24,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.12,D60_hotspot,31.28593012120719,28.652541522652374,31.28639526077564,28.668860349270815,4.134273819280186,0.8,0.2,20.358162759451076,0.0
24,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.86,0.12,D21_guard,2.102217055050133,5.514769198146885,2.102232425909044,5.514782074869572,-1.1377339108510718,0.0,1.0,3.412622187617365,0.0
25,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.05,D60_hotspot,31.28593012120719,23.941481961893015,31.28639526077564,23.956943392873697,4.898928683967734,1.0,0.0,19.65237345093243,0.0
25,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.05,D21_guard,2.102217055050133,7.7359240392385376,2.102232425909044,7.735955375171713,-1.8781048369237672,0.0,1.0,5.633777028709018,0.0
26,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.08,D60_hotspot,31.28593012120719,24.12111067152292,31.28639526077564,24.13660479427284,4.865388996634949,1.0,0.0,19.639663869596454,0.0
26,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.08,D21_guard,2.102217055050133,6.449381914213151,2.102232425909044,6.44940255816239,-1.4492655831649275,0.0,1.0,4.347234903683632,0.0
27,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.1,D60_hotspot,31.28593012120719,24.925318810313705,31.28639526077564,24.94095929600836,4.728345699852952,1.0,0.0,19.636728546574172,0.0
27,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.1,D21_guard,2.102217055050133,6.120384208470815,2.102232425909044,6.120402118239717,-1.3396017580366768,0.0,1.0,4.018237197941296,0.0
28,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.12,D60_hotspot,31.28593012120719,26.432065573963783,31.28639526077564,26.447980282067576,4.47495835102252,0.8,0.2,19.635133681646657,0.0
28,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.9,0.12,D21_guard,2.102217055050133,5.936174695933459,2.102232425909044,5.93619107480405,-1.2781997500066298,0.0,1.0,3.8340276854039397,0.0
29,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.05,D60_hotspot,31.28593012120719,23.941381448669333,31.28639526077564,23.95684286135699,5.026561761120962,1.0,0.0,20.29038149166366,0.0
29,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.05,D21_guard,2.102217055050133,10.138382451251559,2.102232425909044,10.138433753143303,-2.678909142164829,0.0,1.0,8.036235440722038,0.0
30,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.08,D60_hotspot,31.28593012120719,24.02219995796682,31.28639526077564,24.03767607932805,4.941657319000111,1.0,0.0,19.89432232849676,0.0
30,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.08,D21_guard,2.102217055050133,7.694897661830155,2.102232425909044,7.694928656808024,-1.8644296367651314,0.0,1.0,5.592750651300635,0.0
31,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.1,D60_hotspot,31.28593012120719,24.530396565864944,31.28639526077564,24.54596517715315,4.858386331558989,1.0,0.0,19.800528784238143,0.0
31,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.1,D21_guard,2.102217055050133,6.973151269301476,2.102232425909044,6.973176266107437,-1.6238520619196701,0.0,1.0,4.871004258771956,0.0
32,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.12,D60_hotspot,31.28593012120719,25.68141694557911,31.28639526077564,25.697195038373508,4.679252756979581,1.0,0.0,19.749194498197028,0.0
32,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.2,5.92,0.12,D21_guard,2.102217055050133,6.550712261146319,2.102232425909044,6.55073374721524,-1.4830417258319133,0.0,1.0,4.4485652506168,0.0
33,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.05,D60_hotspot,31.28593012120719,24.107583526992926,31.28639526077564,24.123075187851953,5.971699943746513,1.0,0.0,25.18238597566683,0.0
33,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.05,D21_guard,2.102217055050133,1.9411666478222387,2.102232425909044,1.9411834470925768,0.05346989851734632,0.3333333333333333,0.6666666666666666,0.16105691663974256,0.0
34,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.08,D60_hotspot,31.28593012120719,28.74420543494353,31.28639526077564,28.760540944059315,3.5326702010768307,0.8,0.2,17.621696036814416,0.0
34,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.08,D21_guard,2.102217055050133,2.655723769465903,2.102232425909044,2.655778794740293,-0.1846867918675976,0.0,1.0,4.7578707799954225,0.0
35,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.1,D60_hotspot,31.28593012120719,34.6154820487426,31.28639526077564,34.6328861087633,1.7411199175615444,0.8,0.2,14.507150272605124,0.0
35,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.1,D21_guard,2.102217055050133,3.9543595879239226,2.102232425909044,3.9544254056885393,-0.617557200429654,0.0,1.0,6.056506598453442,0.0
36,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.12,D60_hotspot,31.28593012120719,40.61130383797216,31.28639526077564,40.62979911566492,0.1582402033283256,0.8,0.2,14.736514344672159,0.0
36,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.82,0.12,D21_guard,2.102217055050133,4.704403228575641,2.102232425909044,4.7044752796803095,-0.8675670126907945,0.0,1.0,6.80655023910516,0.0
37,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.05,D60_hotspot,31.28593012120719,23.94989508714479,31.28639526077564,23.965358049283537,3.9580220226790868,1.0,0.0,14.956201847042799,0.0
37,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.05,D21_guard,2.102217055050133,6.365083269765281,2.102232425909044,6.365169122178116,-1.4211165434392858,0.0,1.0,8.4672302802948,0.0
38,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.08,D60_hotspot,31.28593012120719,25.42308093458111,31.28639526077564,25.438812011164813,2.7468168147444865,1.0,0.0,12.006011548217128,0.0
38,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.08,D21_guard,2.102217055050133,6.469503450890669,2.102232425909044,6.469590171101672,-1.4559226113325474,0.0,1.0,8.57165046142019,0.0
39,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.1,D60_hotspot,31.28593012120719,28.887503152870806,31.28639526077564,28.903864741648007,1.818120702944451,0.8,0.2,11.916327776371407,0.0
39,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.1,D21_guard,2.102217055050133,6.493682559160271,2.102232425909044,6.493769480315052,-1.4639821614593516,0.0,1.0,8.59582956968979,0.0
40,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.12,D60_hotspot,31.28593012120719,33.58603368468303,31.28639526077564,33.603250388860474,0.7860845924742762,0.8,0.2,11.65067116869834,0.0
40,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.86,0.12,D21_guard,2.102217055050133,6.506829839691037,2.102232425909044,6.5069168701081,-1.4683645053112218,0.0,1.0,8.608976850220557,0.0
41,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.05,D60_hotspot,31.28593012120719,24.632490789557608,31.28639526077564,24.63286268955506,2.299154607817447,1.0,0.0,12.015007752694373,0.0
41,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.05,D21_guard,2.102217055050133,1.193017850047518,2.102232425909044,1.1930607193047038,0.3028726146614695,0.3333333333333333,0.6666666666666666,3.2951648605770374,0.0
42,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.08,D60_hotspot,31.28593012120719,24.663530169384895,31.28639526077564,24.66390250436016,2.2308935257175695,1.0,0.0,11.965753153718538,0.0
42,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.08,D21_guard,2.102217055050133,4.243887234559353,2.102232425909044,4.243955458483001,-0.7140645883422282,0.0,1.0,6.346034245088872,0.0
43,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.1,D60_hotspot,31.28593012120719,25.91896867896261,31.28639526077564,25.934790005305075,1.9549143452563464,0.8,0.2,11.72095907033368,0.0
43,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.1,D21_guard,2.102217055050133,5.036001605690021,2.102232425909044,5.036076412588287,-0.9780977118597584,0.0,1.0,7.13814861621954,0.0
44,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.12,D60_hotspot,31.28593012120719,28.984902604414472,31.28639526077564,29.001281919536197,1.4390061478832383,0.8,0.2,11.23118143861395,0.0
44,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.9,0.12,D21_guard,2.102217055050133,5.481638816326361,2.102232425909044,5.481717326753483,-1.1266406356701117,0.0,1.0,7.583785826855881,0.0
45,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.05,D60_hotspot,31.28593012120719,23.94139639350897,31.28639526077564,23.956857808916524,2.60912252007937,1.0,0.0,12.014877547615791,0.0
45,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.05,D21_guard,2.102217055050133,4.305033343844723,2.102232425909044,4.305036166892464,-0.7344962624965594,0.0,1.0,2.202886333315204,0.0
46,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.08,D60_hotspot,31.28593012120719,24.103098860157612,31.28639526077564,24.11858970482365,2.4057727362242254,1.0,0.0,11.910043817179524,0.0
46,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.08,D21_guard,2.102217055050133,1.2891588654415904,2.102232425909044,1.2892025336917996,0.27082621641672017,0.3333333333333333,0.6666666666666666,3.39130587597111,0.0
47,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.1,D60_hotspot,31.28593012120719,25.1229019046619,31.28639526077564,25.138578349758262,2.231035794479371,1.0,0.0,11.535817992232424,0.0
47,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.1,D21_guard,2.102217055050133,2.9928616742666434,2.102232425909044,2.9929195013716026,-0.2970639652972775,0.0,1.0,5.095008684796163,0.0
48,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.12,D60_hotspot,31.28593012120719,27.451794994933643,31.28639526077564,27.46789529006854,1.8656962620997668,0.8,0.2,10.908916071565166,0.0
48,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.4,5.92,0.12,D21_guard,2.102217055050133,4.00089773430898,2.102232425909044,4.000963938835213,-0.6330696221210103,0.0,1.0,6.103044744838499,0.0
49,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.05,D60_hotspot,31.28593012120719,24.190795785751476,31.28639526077564,24.20630259093774,5.403373276514803,1.0,0.0,22.42391523808838,0.0
49,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.05,D21_guard,2.102217055050133,6.216006523206678,2.102232425909044,6.216091136696846,-1.3714252356278687,0.0,1.0,8.318153533736197,0.0
50,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.08,D60_hotspot,31.28593012120719,31.231587088168954,31.28639526077564,31.248375291663024,1.5275626956002535,0.8,0.2,12.013099886481154,0.0
50,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.08,D21_guard,2.102217055050133,14.23601177057705,2.102232425909044,14.236163035415558,-4.044709692097905,0.0,1.0,16.33815878110657,0.0
51,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.1,D60_hotspot,31.28593012120719,40.37317032438451,31.28639526077564,40.39162226264733,-1.3557566748216856,0.8,0.2,14.498380831084509,0.0
51,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.1,D21_guard,2.102217055050133,16.556631209366216,2.102232425909044,16.556801760029344,-4.818234856203178,0.0,1.0,18.658778219895733,0.0
52,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.12,D60_hotspot,31.28593012120719,49.962696518429475,31.28639526077564,49.98289371544374,-3.9480965704380373,0.8,0.2,24.08790702512947,0.0
52,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.82,0.12,D21_guard,2.102217055050133,17.907759210797582,2.102232425909044,17.907940990194405,-5.268602327734721,0.0,1.0,20.009906221327103,0.0
53,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.05,D60_hotspot,31.28593012120719,25.74596123089035,31.28639526077564,25.746348734773413,2.073947051581055,1.0,0.0,12.015029374371814,0.0
53,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.05,D21_guard,2.102217055050133,20.92723966678934,2.102232425909044,20.927446539990655,-6.2750767527065126,0.0,1.0,23.02938667731886,0.0
54,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.08,D60_hotspot,31.28593012120719,33.79654486844699,31.28639526077564,33.79704519111855,0.02303041942177011,0.6,0.4,12.001500651424703,0.0
54,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.08,D21_guard,2.102217055050133,21.11837619515865,2.102232425909044,21.118584656826158,-6.338787722287343,0.0,1.0,23.22052320568817,0.0
55,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.1,D60_hotspot,31.28593012120719,36.07095173748306,31.28639526077564,36.07148393310184,-1.4606316281509022,0.6,0.4,11.866765036724349,0.0
55,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.1,D21_guard,2.102217055050133,21.16265644320171,2.102232425909044,21.162865272866256,-6.35354752545093,0.0,1.0,23.26480345373123,0.0
56,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.12,D60_hotspot,31.28593012120719,38.75233398462647,31.28639526077564,38.7704909365939,-3.103088942623708,0.6,0.4,12.877544491326466,0.0
56,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.86,0.12,D21_guard,2.102217055050133,21.186737012847377,2.102232425909044,21.18694604263679,-6.361574229991781,0.0,1.0,23.288884023376898,0.0
57,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.9,0.05,D60_hotspot,31.28593012120719,40.50379534018815,31.28639526077564,40.50438965652604,-0.875086123331873,0.8,0.2,12.014996727191733,0.0
57,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.9,0.05,D21_guard,2.102217055050133,11.65092347577111,2.102232425909044,11.651053256880488,-3.183029912103593,0.0,1.0,13.75307048630063,0.0
58,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.9,0.08,D60_hotspot,31.28593012120719,40.56064869426452,31.28639526077564,40.56124380733055,-0.979623200993088,0.8,0.2,11.941062031476882,0.0
58,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.9,0.08,D21_guard,2.102217055050133,17.07725070001407,2.102232425909044,17.07742557735655,-4.991771400027837,0.0,1.0,19.17939771054359,0.0
59,partial_two_lobe,1.0,12.0,0.4353981633974483,5.8,0.05,0.6,5.9,0.1,D60_hotspot,31.28593012120719,40.57378267047898,31.28639526077564,40.574377967601144,-1.3965339681805236,0.6,0.4,11.572047799223984,0.0
