pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.0,2.0,0.000180922650658762,0.00017838446515368704,1.073010106065056e-05,1.0744892977952553e-05,284.30091605084476,275.61945704179294,486.9934246479642,493.1628893048122,0.5837879972534722,0.5588811790569244,0.0,0.0,0.014128457882046587,-0.0013775947611165905,0.031012105286325975,-0.012588902498735347,0.04360100778506126,0.02490681819654783,-5.551115123125783e-17,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,2,4.0,2.0,0.0015376576462268906,0.001516085660484858,4.867803365543615e-05,4.874513847058988e-05,997.8224044784695,967.3527337938964,486.9934246479642,493.1628893048122,2.0489443059724497,1.9615278334457131,0.0,0.0,0.014128459672097929,-0.0013775947611184805,0.031012108866432696,-0.012588902498735347,0.04360101136516815,0.08741647252673657,1.0408340855860843e-16,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,3,4.0,2.0,0.00031983662166808435,0.0003293029382814979,2.7585842675220124e-06,2.7397481066954424e-06,13442.618353907079,14446.742790135517,486.9934246479642,493.1628893048122,27.603285123663472,29.294059028854317,0.0,0.0,-0.029167804025226472,0.006851617265967379,-0.07203884258238791,-0.012588902498735347,-0.059449940083652515,-1.690773905190845,4.85722573273506e-17,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,4.0,4.0,0.00019541905509883156,0.00019541905509883156,1.0744892977952553e-05,1.0744892977952553e-05,330.7726782552005,330.7726782552005,447.0916943850872,447.0916943850872,0.739831856438605,0.739831856438605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,4.0,4.0,0.0015489889375644647,0.0015489889375644647,4.874513847058988e-05,4.874513847058988e-05,1009.7968589721797,1009.7968589721797,447.0916943850872,447.0916943850872,2.258590064753978,2.258590064753978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,4.0,4.0,0.00031349941367336674,0.00031349941367336674,2.7397481066954424e-06,2.7397481066954424e-06,13093.392740531675,13093.392740531675,447.0916943850872,447.0916943850872,29.28569889570377,29.28569889570377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,1,4.0,4.0,0.00019803142833895568,0.00019541905509883156,1.073010106065056e-05,1.0744892977952553e-05,340.6125260384695,330.7726782552005,441.36848340504196,447.0916943850872,0.7717191844119302,0.739831856438605,0.0,0.0,0.013279493811210413,-0.0013775947611165905,0.029314177144653963,-0.012883616594323534,0.042197793738977536,0.031887327973325164,4.163336342344337e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,2,4.0,4.0,0.0015696959170221102,0.0015489889375644647,4.867803365543615e-05,4.874513847058988e-05,1039.8363710792742,1009.7968589721797,441.36848340504196,447.0916943850872,2.3559370688573176,2.258590064753978,0.0,0.0,0.013279497429230807,-0.0013775947611184805,0.029314184380698938,-0.012883616594323534,0.04219780097502241,0.09734700410333952,-6.245004513516506e-17,0.0
hybrid_vs_uniform,lorentz_hybrid_profile,uniform_profile,3,4.0,4.0,0.00030422900545294424,0.00031349941367336674,2.7585842675220124e-06,2.7397481066954424e-06,12162.6644478296,13093.392740531675,441.36848340504196,447.0916943850872,27.55671259986177,29.28569889570377,0.0,0.0,-0.03001676458722531,0.006851617265967379,-0.07373676370638564,-0.012883616594323534,-0.060853147112062106,-1.7289862958420024,0.0,0.0
hybrid_vs_runtime,lorentz_hybrid_profile,runtime_mainline,1,4.0,4.0,0.00019803142833895568,0.00019541905509883156,1.073010106065056e-05,1.0744892977952553e-05,340.6125260384695,330.7726782552005,441.36848340504196,447.0916943850872,0.7717191844119302,0.739831856438605,0.0,0.0,0.013279493811210413,-0.0013775947611165905,0.029314177144653963,-0.012883616594323534,0.042197793738977536,0.031887327973325164,4.163336342344337e-17,0.0
