ref_D,refamp2_peak,center_D,sigma_D,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
9.83050847457627,0.5,6.03,0.15,14.067546860044892,7.605319139488344,10.03032791104161,21.29409027122655,3.5648984607348275,14.067546860044892,21.29409027122655,14.067546860044892
9.83050847457627,1.0,5.9,0.15,14.067546860044892,9.206454345434054,10.808509674393548,21.345440537154644,3.5649278346974818,14.067546860044892,21.345440537154644,14.067546860044892
9.83050847457627,0.5,5.9,0.15,14.067546860044892,8.383367179591133,11.431667317559132,21.349213121703116,3.5649282380209826,14.067546860044892,21.349213121703116,14.067546860044892
9.83050847457627,1.0,5.9,0.1,14.067546860044892,9.206454345434054,11.892012046034338,21.3529836741007,3.564928641344398,14.067546860044892,21.3529836741007,14.067546860044892
9.83050847457627,0.5,5.9,0.1,14.067546860044892,8.383174190328887,11.975697610289515,21.352984796252613,3.5649286413444905,14.067546860044892,21.352984796252613,14.067546860044892
9.966101694915254,1.0,6.17,0.2,14.067546860044892,4.500773361128822,6.0620824710075,25.017965046354917,7.7633150864715255,14.067546860044892,25.017965046354917,14.067546860044892
9.83050847457627,1.0,6.17,0.15,14.101158467981676,6.885779978426768,6.0620824710075,20.378586223202007,3.5622111916829766,14.101158467981676,20.378586223202007,14.101158467981676
9.83050847457627,0.5,6.17,0.15,14.10427492842193,6.404228426091564,8.95296951898301,20.864004198651614,3.563569879385618,14.10427492842193,20.864004198651614,14.10427492842193
9.83050847457627,1.0,6.03,0.1,14.106089971550055,7.996033006725796,9.700375728784124,21.351897804805418,3.5649286411958236,14.106089971550055,21.351897804805418,14.106089971550055
9.83050847457627,0.5,6.03,0.1,14.10674075968209,6.965737581701433,10.871613638367435,21.352441859399093,3.564928641270196,14.10674075968209,21.352441859399093,14.10674075968209
9.83050847457627,1.0,6.17,0.1,14.107389820058408,6.044341081481392,6.0620824710075,21.22486306246968,3.5649278613940822,14.107389820058408,21.22486306246968,14.107389820058408
9.83050847457627,0.5,6.17,0.1,14.107390687559786,5.981792000782022,8.952991416170718,21.288893877888086,3.564928251369235,14.107390687559786,21.288893877888086,14.107390687559786
9.83050847457627,0.0,5.9,0.1,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,5.9,0.15,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,5.9,0.2,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.03,0.1,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.03,0.15,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.03,0.2,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.17,0.1,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.17,0.15,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.83050847457627,0.0,6.17,0.2,14.107391555061156,5.919184739422775,12.059465800077788,21.352985918404315,3.564928641344398,14.107391555061156,21.352985918404315,14.107391555061156
9.966101694915254,1.0,6.17,0.15,14.184357439220172,0.7798431024269377,6.0620824710075,28.85232765338722,7.944435923366964,14.184357439220172,28.85232765338722,14.42616382669361
9.966101694915254,1.0,6.03,0.2,14.067546860044892,9.206454345434054,10.224325322511305,30.311266835928777,7.932890958513543,14.067546860044892,30.311266835928777,15.155633417964388
9.966101694915254,1.0,6.17,0.1,14.206031550813599,2.5052562015094963,6.0620824710075,32.22076413382551,7.955535027080661,14.206031550813599,32.22076413382551,16.110382066912756
9.966101694915254,1.0,6.03,0.15,14.067546860044892,9.206454345434054,13.182226763418853,32.26275257987757,7.955291572508653,14.067546860044892,32.26275257987757,16.131376289938785
9.966101694915254,0.5,6.17,0.2,14.067546860044892,0.8701534367274633,16.564476902539624,28.779026423823026,7.859268244127371,16.564476902539624,28.779026423823026,16.564476902539624
9.966101694915254,0.5,6.17,0.15,14.19519650900289,1.1053177162471286,16.56450599452741,30.77147657610773,7.949986541913706,16.56450599452741,30.77147657610773,16.56450599452741
9.966101694915254,0.5,6.17,0.1,14.206034568585693,2.750466351871239,16.564589114142137,32.479952302525106,7.955536620560952,16.564589114142137,32.479952302525106,16.564589114142137
