family,peak2,center2_D,sigma2_D,p95_abs_delta_mu,max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp2,0.5,6.1,0.16,30.579658116429854,30.58477772330763,30.58477772330763,22.7703645633963,3.4919475785230674,2.603378560232027,30.58477772330763,3.4919475785230674,30.58477772330763
pointamp2,0.25,5.95,0.12,30.57999882043994,30.585118360872727,30.585118360872727,15.737303790940771,4.94427291416217,2.603210596580656,30.585118360872727,4.94427291416217,30.585118360872727
pointamp2,0.25,5.95,0.16,30.581645314517182,30.586764533845873,30.586764533845873,16.650245354618875,4.881517826291045,2.6032120971751453,30.586764533845873,4.881517826291045,30.586764533845873
pointamp2,0.25,5.95,0.2,30.582430315899387,30.58754938213476,30.58754938213476,17.35139533600743,4.596677593184829,2.603299469300996,30.58754938213476,4.596677593184829,30.58754938213476
pointamp2,1.0,6.1,0.12,30.58273375830271,30.587852765359834,30.587852765359834,28.851244726682175,4.443019245573957,2.6032117348831996,30.587852765359834,4.443019245573957,30.587852765359834
pointamp2,0.25,5.9,0.08,30.583853008068026,30.588971796845698,30.588971796845698,14.896324234504092,4.945935672546931,2.6032105963583376,30.588971796845698,4.945935672546931,30.588971796845698
pointamp2,0.25,5.9,0.12,30.58385844374273,30.588977231460213,30.588977231460213,15.248390404441295,4.945658207760118,2.6032105963727936,30.588977231460213,4.945658207760118,30.588977231460213
pointamp2,0.25,5.9,0.16,30.58386034638891,30.58897913373533,30.58897913373533,15.98350341777413,4.92239901617382,2.6032109191219845,30.58897913373533,4.92239901617382,30.58897913373533
pointamp2,0.25,5.9,0.2,30.583861227070376,30.588980014245067,30.588980014245067,16.709088760040217,4.762356808710663,2.603243832188955,30.588980014245067,4.762356808710663,30.588980014245067
pointamp2,1.0,6.03,0.08,30.58525044010368,30.5903689563499,30.5903689563499,18.786775238559315,4.945881826092133,2.603210596358302,30.5903689563499,4.945881826092133,30.5903689563499
pointamp2,0.5,6.03,0.12,30.588013767455198,30.593131744789027,30.593131744789027,19.404756175051688,4.90528332622565,2.6032106208874985,30.593131744789027,4.90528332622565,30.593131744789027
pointamp2,0.75,6.17,0.2,30.592247026021788,30.59736417777288,30.59736417777288,27.41806228274593,2.986620298758325,2.6128234067299374,30.59736417777288,2.986620298758325,30.59736417777288
pointamp2,0.5,6.1,0.2,30.592703896795346,30.597820959446118,30.597820959446118,23.026851934558735,1.709418954904507,2.6055462428346416,30.597820959446118,2.6055462428346416,30.597820959446118
pointamp2,0.75,6.1,0.16,30.59935520047448,30.604470965968197,30.604470965968197,26.3851862106496,2.77865031161425,2.603462541674965,30.604470965968197,2.77865031161425,30.604470965968197
pointamp2,0.5,6.03,0.16,30.602405503051028,30.607520673665626,30.607520673665626,20.8941184555662,4.421181554160334,2.6032392414557677,30.607520673665626,4.421181554160334,30.607520673665626
pointamp2,0.5,6.03,0.2,30.610462701859475,30.61557630113505,30.61557630113505,21.73257024897171,3.2457054355661157,2.6039635986190177,30.61557630113505,3.2457054355661157,30.61557630113505
pointamp2,0.5,5.95,0.08,30.61102749480133,30.6161409839291,30.6161409839291,15.093237594624782,4.94593557712119,2.6032105963583376,30.6161409839291,4.94593557712119,30.6161409839291
pointamp2,0.75,6.03,0.12,30.611884143166346,30.61699746522806,30.61699746522806,21.55920637046229,4.884967816011198,2.6032106331520666,30.61699746522806,4.884967816011198,30.61699746522806
pointamp2,0.75,6.1,0.2,30.618916411382433,30.62402836199027,30.62402836199027,26.74788386964572,0.1593828578153378,2.6067139705628435,30.62402836199027,2.6067139705628435,30.62402836199027
pointamp2,1.0,6.1,0.16,30.619045842317202,30.62415776768306,30.62415776768306,29.79639900323705,2.0743311509947517,2.6035465227886228,30.62415776768306,2.6035465227886228,30.62415776768306
pointamp2,0.5,5.95,0.12,30.619726802756578,30.62483859531946,30.62483859531946,16.58386513483414,4.942610202487138,2.6032105968029704,30.62483859531946,4.942610202487138,30.62483859531946
pointamp2,0.5,5.95,0.16,30.62301757362737,30.628128724414182,30.628128724414182,18.376476455693563,4.817171371897189,2.603213597991818,30.628128724414182,4.817171371897189,30.628128724414182
pointamp2,0.5,5.95,0.2,30.62458648758102,30.629697332393555,30.629697332393555,19.737519434751192,4.249518135994968,2.6033883418749078,30.629697332393555,4.249518135994968,30.629697332393555
pointamp2,0.5,5.9,0.08,30.627429846500235,30.632540136792407,30.632540136792407,14.91208781916832,4.945935671690165,2.6032105963583376,30.632540136792407,4.945935671690165,30.632540136792407
pointamp2,0.5,5.9,0.12,30.6274407099823,30.632550998155793,30.632550998155793,15.614346157470408,4.945380743441056,2.6032105963872496,30.632550998155793,4.945380743441056,30.632550998155793
