case,case_label,target_D,eval_D,eta,abs_delta_mu_mumu,acceptance_mismatch
D60E21_release,D60 x E21 release,4.0,4.0,0.39,0.06902734555345602,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.5800000000000001,0.06440788191046942,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.77,0.059623186045676624,0.0
D60E21_release,D60 x E21 release,4.0,4.0,0.96,0.05467221430294167,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.15,0.04955400805298171,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.34,0.04426769497254157,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.53,0.03881249022128408,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.72,0.03318769751429773,0.0
D60E21_release,D60 x E21 release,4.0,4.0,1.91,0.027392710088431915,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.1,0.021427011560871456,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.29,0.015290176678619094,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.4800000000000004,0.00898187195769351,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.6700000000000004,0.0025018562112046894,0.0
D60E21_release,D60 x E21 release,4.0,4.0,2.8600000000000003,0.004150019034427022,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.0500000000000003,0.010973809235540699,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.24,0.01796947663975912,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.43,0.025136890207032803,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.62,0.03247582564290319,0.0
D60E21_release,D60 x E21 release,4.0,4.0,3.81,0.03998596554355016,0.0
D60E21_release,D60 x E21 release,4.0,4.0,4.0,0.04766689965188453,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.2,0.18319271132124193,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.39,0.16869157639101395,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.5800000000000001,0.15419823896822926,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.77,0.13971269332208536,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,0.96,0.12523493375432615,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.15,0.11076495459865932,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.34,0.0963027502211915,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.53,0.08184831502082979,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.72,0.0674016434279654,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,1.91,0.052962729905170036,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.1,0.03853156894707688,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.29,0.024108155079897386,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.4800000000000004,0.009692482861835217,0.0
D60E21_release,D60 x E21 release,4.8,4.813559322033898,2.6700000000000004,0.00471545311702215,0.0
