mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
fullwidthrefamp_pointamp,6.169491525423728,3.62,55.42049204991861,86.95687440458596,-31.536382354667353,-0.45046288129980216,0.0
fullwidthrefamp_pointamp_widthboost,6.169491525423728,3.62,72.11188795180635,86.95687440458596,-14.844986452779608,-0.18719338711823902,0.0
full_direct,6.169491525423728,3.81,86.95742175137232,86.95742175137232,0.0,0.0,0.0
fullwidthrefamp_pointamp,6.169491525423728,3.81,55.42216005249083,86.95742175137232,-31.53526169888149,-0.45043907897847796,0.0
fullwidthrefamp_pointamp_widthboost,6.169491525423728,3.81,72.11441174424728,86.95742175137232,-14.843010007125045,-0.18716468388789131,0.0
full_direct,6.169491525423728,4.0,86.95796909219023,86.95796909219023,0.0,0.0,0.0
fullwidthrefamp_pointamp,6.169491525423728,4.0,55.423828166908486,86.95796909219023,-31.53414092528174,-0.4504152754366831,0.0
fullwidthrefamp_pointamp_widthboost,6.169491525423728,4.0,72.11693572468398,86.95796909219023,-14.841033367506242,-0.18713597916726318,0.0
full_direct,6.4406779661016955,0.2,53.17603232822576,53.17603232822576,0.0,0.0,0.0
fullwidthrefamp_pointamp,6.4406779661016955,0.2,57.447086194569785,53.17603232822576,4.271053866344026,0.07725650934123063,0.0
fullwidthrefamp_pointamp_widthboost,6.4406779661016955,0.2,58.86338303549931,53.17603232822576,5.687350707273552,0.10161144243525981,0.0
full_direct,6.4406779661016955,0.39,53.1761539878905,53.1761539878905,0.0,0.0,0.0
fullwidthrefamp_pointamp,6.4406779661016955,0.39,57.44724105406222,53.1761539878905,4.271087066171717,0.07725691716292647,0.0
fullwidthrefamp_pointamp_widthboost,6.4406779661016955,0.39,58.8635412433561,53.1761539878905,5.687387255465602,0.1016118422803408,0.0
full_direct,6.4406779661016955,0.5800000000000001,53.17627564694484,53.17627564694484,0.0,0.0,0.0
fullwidthrefamp_pointamp,6.4406779661016955,0.5800000000000001,57.447395914404304,53.17627564694484,4.271120267459466,0.07725732500885886,0.0
fullwidthrefamp_pointamp_widthboost,6.4406779661016955,0.5800000000000001,58.86369945210308,53.17627564694484,5.6874238051582395,0.10161224215003384,0.0
