width_peak,refamp_peak,center_D,sigma_D,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
1.0,0.5,5.9,0.2,28.659103167562336,13.556484322970022,23.007339221842358,2.939642876201802,28.659103167562336,23.007339221842358,28.659103167562336
0.0,0.5,5.9,0.15,28.65915666531272,14.230042262403686,22.812580135690325,2.939878734157354,28.65915666531272,22.812580135690325,28.65915666531272
0.5,0.5,5.9,0.15,28.65915666531272,14.2300422624037,22.815770832713994,2.9398787502121024,28.65915666531272,22.815770832713994,28.65915666531272
1.0,0.5,5.9,0.15,28.65915666531272,14.230042262403686,22.818961663708023,2.939878766266844,28.65915666531272,22.818961663708023,28.65915666531272
0.0,0.5,5.9,0.1,28.65930950754084,14.794373123696815,22.807315855369282,2.9398791556705532,28.65930950754084,22.807315855369282,28.65930950754084
0.5,0.5,5.9,0.1,28.65930950754084,14.794373123696815,22.807316804273555,2.9398791556705532,28.65930950754084,22.807316804273555,28.65930950754084
1.0,0.5,5.9,0.1,28.65930950754084,14.794373123696815,22.80731775317787,2.9398791556705532,28.65930950754084,22.80731775317787,28.65930950754084
0.0,1.0,6.03,0.1,28.964252445568285,12.37934072644704,22.808832945997835,2.93987915551536,28.964252445568285,22.808832945997835,28.964252445568285
0.5,1.0,6.03,0.1,28.964252445568285,12.37934072644704,22.809293020852962,2.9398791555183195,28.964252445568285,22.809293020852962,28.964252445568285
1.0,1.0,6.03,0.1,28.964252445568285,12.379340726447055,22.8097530984937,2.9398791555212718,28.964252445568285,22.8097530984937,28.964252445568285
0.0,0.5,6.03,0.2,29.031266761199404,12.28464237019368,23.232307754924705,2.936981601725787,29.031266761199404,23.232307754924705,29.031266761199404
0.5,0.5,6.03,0.2,29.031266761199404,12.28464237019368,23.4909622650499,2.93709197207734,29.031266761199404,23.4909622650499,29.031266761199404
1.0,0.5,6.03,0.2,29.031266761199404,12.28464237019368,23.750492334377853,2.9372023418511723,29.031266761199404,23.750492334377853,29.031266761199404
0.0,1.0,6.17,0.2,29.050738021551844,8.07301263562158,25.652083716346525,2.8904944447684997,29.050738021551844,25.652083716346525,29.050738021551844
0.5,1.0,6.17,0.2,29.050738021551844,8.07301263562158,26.534730686053962,2.8914360155975523,29.050738021551844,26.534730686053962,29.050738021551844
1.0,1.0,6.17,0.2,29.050738021551844,8.07301263562158,27.427260444630605,2.8923775444733764,29.050738021551844,27.427260444630605,29.050738021551844
0.0,0.5,6.03,0.15,29.268678028030635,12.738644931241296,22.88959280279181,2.939847613882467,29.268678028030635,22.88959280279181,29.268678028030635
0.5,0.5,6.03,0.15,29.268678028030635,12.738644931241296,22.939487802331314,2.939848815258081,29.268678028030635,22.939487802331314,29.268678028030635
1.0,0.5,6.03,0.15,29.268678028030635,12.738644931241296,22.989415529286745,2.939850016633631,29.268678028030635,22.989415529286745,29.268678028030635
0.0,0.5,6.03,0.1,29.759931673468678,13.640615883749149,22.808073613822046,2.9398791555928803,29.759931673468678,22.808073613822046,29.759931673468678
0.5,0.5,6.03,0.1,29.759931673468678,13.640615883749149,22.808533684079677,2.9398791555958397,29.759931673468678,22.808533684079677,29.759931673468678
1.0,0.5,6.03,0.1,29.759931673468678,13.640615883749177,22.80899375712292,2.9398791555987955,29.759931673468678,22.80899375712292,29.759931673468678
0.0,0.5,6.17,0.2,29.80263293950579,11.553580512425597,24.216629650884713,2.9152012433858303,29.80263293950579,24.216629650884713,29.80263293950579
0.5,0.5,6.17,0.2,29.80263293950579,11.553580512425597,25.08320418172667,2.9161417133629044,29.80263293950579,25.08320418172667,29.80263293950579
1.0,0.5,6.17,0.2,29.80263293950579,11.553580512425597,25.959481542150186,2.917082141435806,29.80263293950579,25.959481542150186,29.80263293950579
