combo_id,placement,peak,center_D,width_D,score,is_safe_no_regression,d60_drift_mean_improvement_vs_candidate,d60_drift_worst_improvement_vs_candidate,d60_reviewer_penalty,d60_complement_penalty,d21_reviewer_penalty,d21_complement_penalty,d21_all_penalty,acceptance_flip_max_vs_candidate,d100_drift_p95_candidate,d100_drift_p95_guard,d80_drift_p95_candidate,d80_drift_p95_guard,d21e41_all_p95_candidate,d21e41_all_p95_guard,d21e21_all_p95_candidate,d21e21_all_p95_guard
131,mu_log_blend,0.5,7.248,0.01,0.007961016767368167,0.0,0.008016785977278295,0.0009516718860966833,3.907985046680551e-14,8.881784197001252e-16,0.0,3.717947261616672e-06,0.0,0.0,1.041924642067773,1.0261021972203928,1.7152504518731853,1.7009090993272267,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
6,mu_linear_blend,0.3,7.24,0.01,0.007949268642948874,0.0,0.008940026624778,0.00025170541063346263,0.0,0.0,0.0,6.605053212194179e-05,0.0,0.0,1.041924642067773,1.0180203305815674,1.7152504518731853,1.7038980786300408,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
31,mu_linear_blend,0.5,7.248,0.01,0.007917237770501512,0.0,0.007966114231588267,0.0009515270098008344,0.0,0.0,0.0,3.258430739117024e-06,0.0,0.0,1.041924642067773,1.0262703826190096,1.7152504518731853,1.7009433110447167,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
106,mu_log_blend,0.3,7.24,0.01,0.007875598177426172,0.0,0.009006062091168335,0.0002517634555889714,3.907985046680551e-14,8.881784197001252e-16,0.0,7.536426085041903e-05,0.0,0.0,1.041924642067773,1.0177868585159118,1.7152504518731853,1.7038675250929929,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
196,mu_log_blend,1.0,7.254237,0.01,0.007301831757142621,0.0,0.007306431999882693,0.002311689842115605,3.907985046680551e-14,8.881784197001252e-16,0.0,3.0668278361289936e-07,0.0,0.0,1.041924642067773,1.0321184462562867,1.7152504518731853,1.7004542991597944,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
96,mu_linear_blend,1.0,7.254237,0.01,0.007265993367977773,0.0,0.007270025044293903,0.002311689842114717,0.0,0.0,0.0,2.687784210753108e-07,0.0,0.0,1.041924642067773,1.0322294569296036,1.7152504518731853,1.700488916244308,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
176,mu_log_blend,0.85,7.254237,0.01,0.006207655928172852,0.0,0.006211566134674775,0.001965012630183338,3.907985046680551e-14,8.881784197001252e-16,0.0,2.60680367736299e-07,0.0,0.0,1.041924642067773,1.0335879542594348,1.7152504518731853,1.7026709002239349,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
76,mu_linear_blend,0.85,7.254237,0.01,0.006176094362787474,0.0,0.006179521287649689,0.0019649363657974206,0.0,0.0,0.0,2.284616574810272e-07,0.0,0.0,1.041924642067773,1.033683734700329,1.7152504518731853,1.7027031465886395,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
156,mu_log_blend,0.7,7.254237,0.01,0.005113092481894715,0.0,0.005116312652161819,0.0016183085046606038,3.907985046680551e-14,8.881784197001252e-16,0.0,2.1467795208174323e-07,0.0,0.0,1.041924642067773,1.0350579636558805,1.7152504518731853,1.704888496537209,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
56,mu_linear_blend,0.7,7.254237,0.01,0.005086195357589027,0.0,0.005089017531005655,0.0016181828894801242,0.0,0.0,0.0,1.8814489444185512e-07,0.0,0.0,1.041924642067773,1.0351380124710543,1.7152504518731853,1.704917376932971,0.8785726023179126,0.8785726023179126,0.8785726023179126,0.8785726023179126
