grid,beta_peak,center_D,sigma_D,D,eta,delta_mu,abs_delta_mu,acceptance_mismatch
D21,0.2,6.35,0.03,7.2,1.72,-0.7570345137299577,0.7570345137299577,0.0
D21,0.2,6.35,0.03,7.2,1.91,-0.7570345515439083,0.7570345515439083,0.0
D21,0.2,6.35,0.03,7.2,2.1,-0.7570345893813282,0.7570345893813282,0.0
D21,0.2,6.35,0.03,7.2,2.29,-0.7570346271988222,0.7570346271988222,0.0
D21,0.2,6.35,0.03,7.2,2.4800000000000004,-0.7570346650277964,0.7570346650277964,0.0
D21,0.2,6.35,0.03,7.2,2.6700000000000004,-0.7570347028510676,0.7570347028510676,0.0
D21,0.2,6.35,0.03,7.2,2.8600000000000003,-0.7570347406832778,0.7570347406832778,0.0
D21,0.2,6.35,0.03,7.2,3.0500000000000003,-0.7570347785019256,0.7570347785019256,0.0
D21,0.2,6.35,0.03,7.2,3.24,-0.7570348163202993,0.7570348163202993,0.0
D21,0.2,6.35,0.03,7.2,3.43,-0.7570348541446337,0.7570348541446337,0.0
D21,0.2,6.35,0.03,7.2,3.62,-0.7570348919685652,0.7570348919685652,0.0
D21,0.2,6.35,0.03,7.2,3.81,-0.7570349297825913,0.7570349297825913,0.0
D21,0.2,6.35,0.03,7.2,4.0,-0.7570349676045995,0.7570349676045995,0.0
D60,0.2,6.35,0.03,5.898305084745763,0.2,-41.81697740614127,41.81697740614127,0.0
D60,0.2,6.35,0.03,5.898305084745763,0.39,-41.81649667127765,41.81649667127765,0.0
D60,0.2,6.35,0.03,5.898305084745763,0.5800000000000001,-41.81601572753498,41.81601572753498,0.0
D60,0.2,6.35,0.03,5.898305084745763,0.77,-41.81553493977992,41.81553493977992,0.0
D60,0.2,6.35,0.03,5.898305084745763,0.96,-41.81505398619435,41.81505398619435,0.0
D60,0.2,6.35,0.03,5.898305084745763,1.15,-41.81457338703668,41.81457338703668,0.0
D60,0.2,6.35,0.03,5.898305084745763,1.34,-41.81409272941252,41.81409272941252,0.0
D60,0.2,6.35,0.03,5.898305084745763,1.53,-41.813611863055776,41.813611863055776,0.0
D60,0.2,6.35,0.03,5.898305084745763,1.72,-41.813130787932344,41.813130787932344,0.0
D60,0.2,6.35,0.03,5.898305084745763,1.91,-41.8126495040116,41.8126495040116,0.0
D60,0.2,6.35,0.03,5.898305084745763,2.1,-41.81216881602385,41.81216881602385,0.0
D60,0.2,6.35,0.03,5.898305084745763,2.29,-41.81168864365118,41.81168864365118,0.0
D60,0.2,6.35,0.03,5.898305084745763,2.4800000000000004,-41.81120826269461,41.81120826269461,0.0
D60,0.2,6.35,0.03,5.898305084745763,2.6700000000000004,-41.81072767311109,41.81072767311109,0.0
D60,0.2,6.35,0.03,5.898305084745763,2.8600000000000003,-41.8102468748907,41.8102468748907,0.0
D60,0.2,6.35,0.03,5.898305084745763,3.0500000000000003,-41.809765867977404,41.809765867977404,0.0
D60,0.2,6.35,0.03,5.898305084745763,3.24,-41.80928465237007,41.80928465237007,0.0
D60,0.2,6.35,0.03,5.898305084745763,3.43,-41.8088032280152,41.8088032280152,0.0
D60,0.2,6.35,0.03,5.898305084745763,3.62,-41.80832159490274,41.80832159490274,0.0
D60,0.2,6.35,0.03,5.898305084745763,3.81,-41.80783975299588,41.80783975299588,0.0
D60,0.2,6.35,0.03,5.898305084745763,4.0,-41.80735770224964,41.80735770224964,0.0
D60,0.2,6.35,0.03,6.169491525423728,0.2,-31.5565485238036,31.5565485238036,0.0
D60,0.2,6.35,0.03,6.169491525423728,0.39,-31.555427898717184,31.555427898717184,0.0
D60,0.2,6.35,0.03,6.169491525423728,0.5800000000000001,-31.554307155757954,31.554307155757954,0.0
D60,0.2,6.35,0.03,6.169491525423728,0.77,-31.553186582473316,31.553186582473316,0.0
D60,0.2,6.35,0.03,6.169491525423728,0.96,-31.55206592525819,31.55206592525819,0.0
D60,0.2,6.35,0.03,6.169491525423728,1.15,-31.550945594383826,31.550945594383826,0.0
D60,0.2,6.35,0.03,6.169491525423728,1.34,-31.549825264190353,31.549825264190353,0.0
D60,0.2,6.35,0.03,6.169491525423728,1.53,-31.548704816122083,31.548704816122083,0.0
D60,0.2,6.35,0.03,6.169491525423728,1.72,-31.547584250259604,31.547584250259604,0.0
D60,0.2,6.35,0.03,6.169491525423728,1.91,-31.546463566551715,31.546463566551715,0.0
D60,0.2,6.35,0.03,6.169491525423728,2.1,-31.54534339951916,31.54534339951916,0.0
D60,0.2,6.35,0.03,6.169491525423728,2.29,-31.54422368591178,31.54422368591178,0.0
D60,0.2,6.35,0.03,6.169491525423728,2.4800000000000004,-31.54310385454265,31.54310385454265,0.0
D60,0.2,6.35,0.03,6.169491525423728,2.6700000000000004,-31.54198390546373,31.54198390546373,0.0
D60,0.2,6.35,0.03,6.169491525423728,2.8600000000000003,-31.540863838631182,31.540863838631182,0.0
D60,0.2,6.35,0.03,6.169491525423728,3.0500000000000003,-31.53974365402656,31.53974365402656,0.0
D60,0.2,6.35,0.03,6.169491525423728,3.24,-31.53862335165116,31.53862335165116,0.0
D60,0.2,6.35,0.03,6.169491525423728,3.43,-31.5375029314851,31.5375029314851,0.0
D60,0.2,6.35,0.03,6.169491525423728,3.62,-31.536382393520988,31.536382393520988,0.0
D60,0.2,6.35,0.03,6.169491525423728,3.81,-31.53526173773625,31.53526173773625,0.0
D60,0.2,6.35,0.03,6.169491525423728,4.0,-31.534140964137684,31.534140964137684,0.0
D60,0.2,6.35,0.03,6.4406779661016955,0.2,21.962313632241347,21.962313632241347,0.0
D60,0.2,6.35,0.03,6.4406779661016955,0.39,21.962394522207617,21.962394522207617,0.0
D60,0.2,6.35,0.03,6.4406779661016955,0.5800000000000001,21.96247541389571,21.96247541389571,0.0
D60,0.2,6.35,0.03,6.4406779661016955,0.77,21.962556303381454,21.962556303381454,0.0
D60,0.2,6.35,0.03,6.4406779661016955,0.96,21.962637194024836,21.962637194024836,0.0
D60,0.2,6.35,0.03,6.4406779661016955,1.15,21.962718080329246,21.962718080329246,0.0
D60,0.2,6.35,0.03,6.4406779661016955,1.34,21.962798966754796,21.962798966754796,0.0
D60,0.2,6.35,0.03,6.4406779661016955,1.53,21.962879854750938,21.962879854750938,0.0
D60,0.2,6.35,0.03,6.4406779661016955,1.72,21.96296074449816,21.96296074449816,0.0
D60,0.2,6.35,0.03,6.4406779661016955,1.91,21.96304163596055,21.96304163596055,0.0
D60,0.2,6.35,0.03,6.4406779661016955,2.1,21.96312252038834,21.96312252038834,0.0
D60,0.2,6.35,0.03,6.4406779661016955,2.29,21.963203398736418,21.963203398736418,0.0
D60,0.2,6.35,0.03,6.4406779661016955,2.4800000000000004,21.963284278744553,21.963284278744553,0.0
D60,0.2,6.35,0.03,6.4406779661016955,2.6700000000000004,21.963365160462843,21.963365160462843,0.0
D60,0.2,6.35,0.03,6.4406779661016955,2.8600000000000003,21.963446043882854,21.963446043882854,0.0
D60,0.2,6.35,0.03,6.4406779661016955,3.0500000000000003,21.963526928982468,21.963526928982468,0.0
D60,0.2,6.35,0.03,6.4406779661016955,3.24,21.963607815783938,21.963607815783938,0.0
D60,0.2,6.35,0.03,6.4406779661016955,3.43,21.963688704302264,21.963688704302264,0.0
D60,0.2,6.35,0.03,6.4406779661016955,3.62,21.963769594509678,21.963769594509678,0.0
D60,0.2,6.35,0.03,6.4406779661016955,3.81,21.96385048638632,21.96385048638632,0.0
D60,0.2,6.35,0.03,6.4406779661016955,4.0,21.963931379983094,21.963931379983094,0.0
D21,0.2,6.35,0.05,5.6,0.2,-14.058595729475066,14.058595729475066,0.0
D21,0.2,6.35,0.05,5.6,0.39,-14.059295408489888,14.059295408489888,0.0
D21,0.2,6.35,0.05,5.6,0.5800000000000001,-14.05999486745953,14.05999486745953,0.0
D21,0.2,6.35,0.05,5.6,0.77,-14.06069448586829,14.06069448586829,0.0
D21,0.2,6.35,0.05,5.6,0.96,-14.061393928822277,14.061393928822277,0.0
D21,0.2,6.35,0.05,5.6,1.15,-14.062093737795358,14.062093737795358,0.0
D21,0.2,6.35,0.05,5.6,1.34,-14.062793482989129,14.062793482989129,0.0
D21,0.2,6.35,0.05,5.6,1.53,-14.06349300804716,14.06349300804716,0.0
D21,0.2,6.35,0.05,5.6,1.72,-14.064192312910272,14.064192312910272,0.0
D21,0.2,6.35,0.05,5.6,1.91,-14.064891397524327,14.064891397524327,0.0
D21,0.2,6.35,0.05,5.6,2.1,-14.065591099372732,14.065591099372732,0.0
D21,0.2,6.35,0.05,5.6,2.29,-14.066291334904562,14.066291334904562,0.0
D21,0.2,6.35,0.05,5.6,2.4800000000000004,-14.066991350367694,14.066991350367694,0.0
D21,0.2,6.35,0.05,5.6,2.6700000000000004,-14.067691145690368,14.067691145690368,0.0
D21,0.2,6.35,0.05,5.6,2.8600000000000003,-14.068390720819416,14.068390720819416,0.0
D21,0.2,6.35,0.05,5.6,3.0500000000000003,-14.069090075699755,14.069090075699755,0.0
D21,0.2,6.35,0.05,5.6,3.24,-14.069789210264759,14.069789210264759,0.0
D21,0.2,6.35,0.05,5.6,3.43,-14.070488124460617,14.070488124460617,0.0
D21,0.2,6.35,0.05,5.6,3.62,-14.071186818224184,14.071186818224184,0.0
D21,0.2,6.35,0.05,5.6,3.81,-14.0718852915032,14.0718852915032,0.0
D21,0.2,6.35,0.05,5.6,4.0,-14.072583544233808,14.072583544233808,0.0
D21,0.2,6.35,0.05,6.4,0.2,-4.284826402874685,4.284826402874685,0.0
D21,0.2,6.35,0.05,6.4,0.39,-4.284825686938362,4.284825686938362,0.0
D21,0.2,6.35,0.05,6.4,0.5800000000000001,-4.284824969378818,4.284824969378818,0.0
D21,0.2,6.35,0.05,6.4,0.77,-4.284824253052804,4.284824253052804,0.0
D21,0.2,6.35,0.05,6.4,0.96,-4.284823535228163,4.284823535228163,0.0
D21,0.2,6.35,0.05,6.4,1.15,-4.284822820403875,4.284822820403875,0.0
D21,0.2,6.35,0.05,6.4,1.34,-4.284822105205038,4.284822105205038,0.0
D21,0.2,6.35,0.05,6.4,1.53,-4.284821388217765,4.284821388217765,0.0
D21,0.2,6.35,0.05,6.4,1.72,-4.2848206695435636,4.2848206695435636,0.0
D21,0.2,6.35,0.05,6.4,1.91,-4.284819949114571,4.284819949114571,0.0
D21,0.2,6.35,0.05,6.4,2.1,-4.284819233638231,4.284819233638231,0.0
D21,0.2,6.35,0.05,6.4,2.29,-4.284818522366216,4.284818522366216,0.0
D21,0.2,6.35,0.05,6.4,2.4800000000000004,-4.284817809421,4.284817809421,0.0
D21,0.2,6.35,0.05,6.4,2.6700000000000004,-4.284817094729675,4.284817094729675,0.0
D21,0.2,6.35,0.05,6.4,2.8600000000000003,-4.284816378331421,4.284816378331421,0.0
D21,0.2,6.35,0.05,6.4,3.0500000000000003,-4.284815660230997,4.284815660230997,0.0
D21,0.2,6.35,0.05,6.4,3.24,-4.284814940422322,4.284814940422322,0.0
D21,0.2,6.35,0.05,6.4,3.43,-4.284814218863389,4.284814218863389,0.0
D21,0.2,6.35,0.05,6.4,3.62,-4.284813495646553,4.284813495646553,0.0
D21,0.2,6.35,0.05,6.4,3.81,-4.2848127706789825,4.2848127706789825,0.0
D21,0.2,6.35,0.05,6.4,4.0,-4.284812044002393,4.284812044002393,0.0
D21,0.2,6.35,0.05,7.2,0.2,-0.7570342111131407,0.7570342111131407,0.0
D21,0.2,6.35,0.05,7.2,0.39,-0.7570342489725594,0.7570342489725594,0.0
D21,0.2,6.35,0.05,7.2,0.5800000000000001,-0.7570342867961406,0.7570342867961406,0.0
D21,0.2,6.35,0.05,7.2,0.77,-0.7570343246077327,0.7570343246077327,0.0
D21,0.2,6.35,0.05,7.2,0.96,-0.7570343624056277,0.7570343624056277,0.0
D21,0.2,6.35,0.05,7.2,1.15,-0.7570344002578375,0.7570344002578375,0.0
D21,0.2,6.35,0.05,7.2,1.34,-0.7570344380964973,0.7570344380964973,0.0
D21,0.2,6.35,0.05,7.2,1.53,-0.7570344758955265,0.7570344758955265,0.0
D21,0.2,6.35,0.05,7.2,1.72,-0.7570345137299577,0.7570345137299577,0.0
D21,0.2,6.35,0.05,7.2,1.91,-0.7570345515439083,0.7570345515439083,0.0
D21,0.2,6.35,0.05,7.2,2.1,-0.7570345893813282,0.7570345893813282,0.0
D21,0.2,6.35,0.05,7.2,2.29,-0.7570346271988222,0.7570346271988222,0.0
D21,0.2,6.35,0.05,7.2,2.4800000000000004,-0.7570346650277964,0.7570346650277964,0.0
D21,0.2,6.35,0.05,7.2,2.6700000000000004,-0.7570347028510676,0.7570347028510676,0.0
D21,0.2,6.35,0.05,7.2,2.8600000000000003,-0.7570347406832778,0.7570347406832778,0.0
D21,0.2,6.35,0.05,7.2,3.0500000000000003,-0.7570347785019256,0.7570347785019256,0.0
D21,0.2,6.35,0.05,7.2,3.24,-0.7570348163202993,0.7570348163202993,0.0
D21,0.2,6.35,0.05,7.2,3.43,-0.7570348541446337,0.7570348541446337,0.0
D21,0.2,6.35,0.05,7.2,3.62,-0.7570348919685652,0.7570348919685652,0.0
D21,0.2,6.35,0.05,7.2,3.81,-0.7570349297825913,0.7570349297825913,0.0
D21,0.2,6.35,0.05,7.2,4.0,-0.7570349676045995,0.7570349676045995,0.0
D60,0.2,6.35,0.05,5.898305084745763,0.2,-41.81697740614127,41.81697740614127,0.0
D60,0.2,6.35,0.05,5.898305084745763,0.39,-41.81649667127765,41.81649667127765,0.0
D60,0.2,6.35,0.05,5.898305084745763,0.5800000000000001,-41.81601572753498,41.81601572753498,0.0
D60,0.2,6.35,0.05,5.898305084745763,0.77,-41.81553493977992,41.81553493977992,0.0
D60,0.2,6.35,0.05,5.898305084745763,0.96,-41.81505398619435,41.81505398619435,0.0
D60,0.2,6.35,0.05,5.898305084745763,1.15,-41.81457338703668,41.81457338703668,0.0
D60,0.2,6.35,0.05,5.898305084745763,1.34,-41.81409272941252,41.81409272941252,0.0
D60,0.2,6.35,0.05,5.898305084745763,1.53,-41.813611863055776,41.813611863055776,0.0
D60,0.2,6.35,0.05,5.898305084745763,1.72,-41.813130787932344,41.813130787932344,0.0
D60,0.2,6.35,0.05,5.898305084745763,1.91,-41.8126495040116,41.8126495040116,0.0
D60,0.2,6.35,0.05,5.898305084745763,2.1,-41.81216881602385,41.81216881602385,0.0
D60,0.2,6.35,0.05,5.898305084745763,2.29,-41.81168864365118,41.81168864365118,0.0
D60,0.2,6.35,0.05,5.898305084745763,2.4800000000000004,-41.81120826269461,41.81120826269461,0.0
D60,0.2,6.35,0.05,5.898305084745763,2.6700000000000004,-41.81072767311109,41.81072767311109,0.0
D60,0.2,6.35,0.05,5.898305084745763,2.8600000000000003,-41.8102468748907,41.8102468748907,0.0
D60,0.2,6.35,0.05,5.898305084745763,3.0500000000000003,-41.809765867977404,41.809765867977404,0.0
D60,0.2,6.35,0.05,5.898305084745763,3.24,-41.80928465237007,41.80928465237007,0.0
D60,0.2,6.35,0.05,5.898305084745763,3.43,-41.8088032280152,41.8088032280152,0.0
D60,0.2,6.35,0.05,5.898305084745763,3.62,-41.80832159490274,41.80832159490274,0.0
D60,0.2,6.35,0.05,5.898305084745763,3.81,-41.80783975299588,41.80783975299588,0.0
D60,0.2,6.35,0.05,5.898305084745763,4.0,-41.80735770224964,41.80735770224964,0.0
D60,0.2,6.35,0.05,6.169491525423728,0.2,-31.56072254048547,31.56072254048547,0.0
D60,0.2,6.35,0.05,6.169491525423728,0.39,-31.559602041099254,31.559602041099254,0.0
D60,0.2,6.35,0.05,6.169491525423728,0.5800000000000001,-31.558481423848633,31.558481423848633,0.0
D60,0.2,6.35,0.05,6.169491525423728,0.77,-31.55736097625936,31.55736097625936,0.0
D60,0.2,6.35,0.05,6.169491525423728,0.96,-31.556240444745463,31.556240444745463,0.0
D60,0.2,6.35,0.05,6.169491525423728,1.15,-31.5551202395473,31.5551202395473,0.0
D60,0.2,6.35,0.05,6.169491525423728,1.34,-31.554000035029524,31.554000035029524,0.0
D60,0.2,6.35,0.05,6.169491525423728,1.53,-31.55287971264532,31.55287971264532,0.0
D60,0.2,6.35,0.05,6.169491525423728,1.72,-31.551759272475465,31.551759272475465,0.0
D60,0.2,6.35,0.05,6.169491525423728,1.91,-31.550638714468583,31.550638714468583,0.0
D60,0.2,6.35,0.05,6.169491525423728,2.1,-31.54951867309763,31.54951867309763,0.0
D60,0.2,6.35,0.05,6.169491525423728,2.29,-31.548399085117218,31.548399085117218,0.0
D60,0.2,6.35,0.05,6.169491525423728,2.4800000000000004,-31.54727937938354,31.54727937938354,0.0
D60,0.2,6.35,0.05,6.169491525423728,2.6700000000000004,-31.5461595559484,31.5461595559484,0.0
D60,0.2,6.35,0.05,6.169491525423728,2.8600000000000003,-31.545039614768093,31.545039614768093,0.0
D60,0.2,6.35,0.05,6.169491525423728,3.0500000000000003,-31.54391955582416,31.54391955582416,0.0
D60,0.2,6.35,0.05,6.169491525423728,3.24,-31.542799379117753,31.542799379117753,0.0
D60,0.2,6.35,0.05,6.169491525423728,3.43,-31.541679084629294,31.541679084629294,0.0
D60,0.2,6.35,0.05,6.169491525423728,3.62,-31.540558672351125,31.540558672351125,0.0
D60,0.2,6.35,0.05,6.169491525423728,3.81,-31.53943814226077,31.53943814226077,0.0
D60,0.2,6.35,0.05,6.169491525423728,4.0,-31.538317494365117,31.538317494365117,0.0
D60,0.2,6.35,0.05,6.4406779661016955,0.2,19.873013679775298,19.873013679775298,0.0
D60,0.2,6.35,0.05,6.4406779661016955,0.39,19.873088937638286,19.873088937638286,0.0
D60,0.2,6.35,0.05,6.4406779661016955,0.5800000000000001,19.873164197192075,19.873164197192075,0.0
D60,0.2,6.35,0.05,6.4406779661016955,0.77,19.873239454624304,19.873239454624304,0.0
D60,0.2,6.35,0.05,6.4406779661016955,0.96,19.8733147132029,19.8733147132029,0.0
D60,0.2,6.35,0.05,6.4406779661016955,1.15,19.87338996758597,19.87338996758597,0.0
D60,0.2,6.35,0.05,6.4406779661016955,1.34,19.873465222111328,19.873465222111328,0.0
D60,0.2,6.35,0.05,6.4406779661016955,1.53,19.873540478181397,19.873540478181397,0.0
D60,0.2,6.35,0.05,6.4406779661016955,1.72,19.87361573597741,19.87361573597741,0.0
D60,0.2,6.35,0.05,6.4406779661016955,1.91,19.873690995463875,19.873690995463875,0.0
D60,0.2,6.35,0.05,6.4406779661016955,2.1,19.873766248132796,19.873766248132796,0.0
D60,0.2,6.35,0.05,6.4406779661016955,2.29,19.87384149491117,19.87384149491117,0.0
D60,0.2,6.35,0.05,6.4406779661016955,2.4800000000000004,19.873916743326134,19.873916743326134,0.0
D60,0.2,6.35,0.05,6.4406779661016955,2.6700000000000004,19.873991993425918,19.873991993425918,0.0
D60,0.2,6.35,0.05,6.4406779661016955,2.8600000000000003,19.87406724520139,19.87406724520139,0.0
D60,0.2,6.35,0.05,6.4406779661016955,3.0500000000000003,19.874142498631507,19.874142498631507,0.0
D60,0.2,6.35,0.05,6.4406779661016955,3.24,19.874217753737646,19.874217753737646,0.0
D60,0.2,6.35,0.05,6.4406779661016955,3.43,19.874293010536014,19.874293010536014,0.0
D60,0.2,6.35,0.05,6.4406779661016955,3.62,19.874368268997635,19.874368268997635,0.0
D60,0.2,6.35,0.05,6.4406779661016955,3.81,19.874443529103473,19.874443529103473,0.0
D60,0.2,6.35,0.05,6.4406779661016955,4.0,19.87451879090338,19.87451879090338,0.0
D21,0.2,6.35,0.08,5.6,0.2,-14.058595729475066,14.058595729475066,0.0
D21,0.2,6.35,0.08,5.6,0.39,-14.059295408489888,14.059295408489888,0.0
D21,0.2,6.35,0.08,5.6,0.5800000000000001,-14.05999486745953,14.05999486745953,0.0
D21,0.2,6.35,0.08,5.6,0.77,-14.06069448586829,14.06069448586829,0.0
D21,0.2,6.35,0.08,5.6,0.96,-14.061393928822277,14.061393928822277,0.0
D21,0.2,6.35,0.08,5.6,1.15,-14.062093737795358,14.062093737795358,0.0
D21,0.2,6.35,0.08,5.6,1.34,-14.062793482989129,14.062793482989129,0.0
D21,0.2,6.35,0.08,5.6,1.53,-14.06349300804716,14.06349300804716,0.0
D21,0.2,6.35,0.08,5.6,1.72,-14.064192312910272,14.064192312910272,0.0
D21,0.2,6.35,0.08,5.6,1.91,-14.064891397524327,14.064891397524327,0.0
D21,0.2,6.35,0.08,5.6,2.1,-14.065591099372732,14.065591099372732,0.0
D21,0.2,6.35,0.08,5.6,2.29,-14.066291334904562,14.066291334904562,0.0
D21,0.2,6.35,0.08,5.6,2.4800000000000004,-14.066991350367694,14.066991350367694,0.0
D21,0.2,6.35,0.08,5.6,2.6700000000000004,-14.067691145690368,14.067691145690368,0.0
D21,0.2,6.35,0.08,5.6,2.8600000000000003,-14.068390720819416,14.068390720819416,0.0
D21,0.2,6.35,0.08,5.6,3.0500000000000003,-14.069090075699755,14.069090075699755,0.0
D21,0.2,6.35,0.08,5.6,3.24,-14.069789210264759,14.069789210264759,0.0
D21,0.2,6.35,0.08,5.6,3.43,-14.070488124460617,14.070488124460617,0.0
D21,0.2,6.35,0.08,5.6,3.62,-14.071186818224184,14.071186818224184,0.0
D21,0.2,6.35,0.08,5.6,3.81,-14.0718852915032,14.0718852915032,0.0
D21,0.2,6.35,0.08,5.6,4.0,-14.072583544233808,14.072583544233808,0.0
D21,0.2,6.35,0.08,6.4,0.2,-5.870855270644476,5.870855270644476,0.0
D21,0.2,6.35,0.08,6.4,0.39,-5.870859193711091,5.870859193711091,0.0
D21,0.2,6.35,0.08,6.4,0.5800000000000001,-5.870863115212707,5.870863115212707,0.0
D21,0.2,6.35,0.08,6.4,0.77,-5.870867037871697,5.870867037871697,0.0
D21,0.2,6.35,0.08,6.4,0.96,-5.870870959050926,5.870870959050926,0.0
D21,0.2,6.35,0.08,6.4,1.15,-5.870874883126518,5.870874883126518,0.0
D21,0.2,6.35,0.08,6.4,1.34,-5.870878806821828,5.870878806821828,0.0
D21,0.2,6.35,0.08,6.4,1.53,-5.87088272875512,5.87088272875512,0.0
D21,0.2,6.35,0.08,6.4,1.72,-5.870886649029863,5.870886649029863,0.0
D21,0.2,6.35,0.08,6.4,1.91,-5.870890567574648,5.870890567574648,0.0
D21,0.2,6.35,0.08,6.4,2.1,-5.870894490917024,5.870894490917024,0.0
D21,0.2,6.35,0.08,6.4,2.29,-5.870898418315726,5.870898418315726,0.0
D21,0.2,6.35,0.08,6.4,2.4800000000000004,-5.8709023440739045,5.8709023440739045,0.0
D21,0.2,6.35,0.08,6.4,2.6700000000000004,-5.8709062681125275,5.8709062681125275,0.0
D21,0.2,6.35,0.08,6.4,2.8600000000000003,-5.870910190468884,5.870910190468884,0.0
D21,0.2,6.35,0.08,6.4,3.0500000000000003,-5.870914111153532,5.870914111153532,0.0
D21,0.2,6.35,0.08,6.4,3.24,-5.87091803015943,5.87091803015943,0.0
D21,0.2,6.35,0.08,6.4,3.43,-5.870921947440451,5.870921947440451,0.0
D21,0.2,6.35,0.08,6.4,3.62,-5.870925863092673,5.870925863092673,0.0
D21,0.2,6.35,0.08,6.4,3.81,-5.870929777020528,5.870929777020528,0.0
