mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
release_sumanchor,4.0,4.0,0.8139680110090749,0.8226591125111486,0.42106514326887545,1.4306133046050828,11.33975487520953,2.2950496406821106,-0.8649677226770233,-0.8649677226707274,1.0153378138255675e-11,3.467739984053253e-12,0.0,0.0,-1.960338806498766,1.0
release_eftsumanchor,4.0,4.0,1.849592558419523,1.8693414876713939,0.9567930742566731,3.250805543197229,25.767506766620603,5.215078085619886,-0.04416813426858837,-0.04416813426229238,1.015335038268006e-11,3.4677677396288686e-12,0.0,0.0,-1.960338806498766,1.0
release_fullsumanchor,4.0,4.0,1.9331165831019377,1.9537573358242133,1.0000000000125084,3.3976056377325086,26.931117563702617,5.450580931239162,0.0,6.296074772629443e-12,1.015335038268006e-11,3.467878761931331e-12,0.0,0.0,-1.960338806498766,1.0
tailm2_detlin,4.0,4.0,1.9331165830777577,2.131575825270784,1.0,3.39760563769001,29.382215536043887,5.450580931170984,0.03574058832209365,0.08710717277651545,0.04214557939084815,0.03171057975241187,0.0,0.0,-0.7735170902628248,0.0
cell_direct_runtime,4.8,0.2,2.054658572808072,3.8654853631571107,1.0,0.037459803379551564,0.3003323862951203,0.029112829619040798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.8,0.2,0.3456659902262572,0.885413638307164,1.0,0.006302059232730309,0.06879301455531783,0.029112829619040798,-1.13195096273757,-1.4737876084865515,0.6074156622508973,0.40005104377847756,1.0,0.0,-0.0759994351987281,0.0
release_sumanchor,4.8,0.2,0.3189388473982419,1.5933146433755518,0.20576930936628887,0.005814779482953523,0.12379402429637107,0.005990526844408464,-1.1839535573482964,-0.8862707255709019,0.38736114489878704,0.18876713483380184,0.0,0.0,7.225658356963546,0.0
release_eftsumanchor,4.8,0.2,0.9800384048470887,4.895952795500982,0.6322899432379916,0.01786771117880061,0.38039548675463736,0.018407749387320625,-0.06136118129397395,0.2363216504834203,0.3873611448987869,0.18876713483380184,0.0,0.0,7.225658356963546,0.0
release_fullsumanchor,4.8,0.2,1.0420580602912748,5.205782802107047,0.6723030735668614,0.01899843144997034,0.4044680097337006,0.019572644833109484,2.2204460492503128e-16,0.29768283177739446,0.3873611448987869,0.18876713483380184,0.0,0.0,7.225658356963546,0.0
tailm2_detlin,4.8,0.2,1.5499825915754062,7.743208393333822,1.0,0.028258730618581532,0.6016155892130929,0.029112829619040798,0.39704603779833203,0.6947288695757264,0.38736114489878704,0.18876713483380184,0.0,0.0,66.14646155556899,0.0
cell_direct_runtime,4.8,0.6,2.054658572808072,3.8654853631571107,1.0,0.11233412953584587,0.8994327316987623,0.08710396497753042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,4.8,0.6,0.3456659902262572,0.885413638307164,1.0,0.018898559904843116,0.20602070181828921,0.08710396497753042,-1.13195096273757,-1.4737876084865515,0.6074156622508973,0.39978360261681706,1.0,0.0,-0.0761409297103874,0.0
release_sumanchor,4.8,0.6,0.3189388473982419,1.5933146433755518,0.20576930936628887,0.01743730966877006,0.37073723155336263,0.01792332271649185,-1.1839535573482964,-0.8862707255709019,0.38736114489878704,0.18883900176817392,0.0,0.0,7.238949717835419,0.0
