combo_id,peak,center_D,width_D,region,D,eta,gaussian,residual_frac,mu_full,mu_base,mu_runtime,mu_guard,chi2_base,chi2_runtime,chi2_guard,abs_delta_base,abs_delta_runtime,abs_delta_guard,abs_improvement_vs_base,abs_improvement_vs_runtime,guard_shift_vs_runtime,guard_shift_vs_base,improved_vs_base,improved_vs_runtime,acceptance_flip_vs_base
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,2.1,0.0,1.0,11.138649924510688,20.018464557650542,20.798193203720786,20.798193203720786,2166.5451405280596,2351.811872305495,2351.8118723054954,8.879814633139855,9.659543279210098,9.659543279210098,-0.7797286460702431,0.0,0.0,0.7797286460702431,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,2.29,0.0,1.0,11.148267807429823,20.035918319219885,20.816327648041295,20.816327648041295,2170.6090725039708,2356.21112085058,2356.21112085058,8.887650511790062,9.668059840611472,9.668059840611472,-0.7804093288214098,0.0,0.0,0.7804093288214098,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,2.4800000000000004,0.0,1.0,11.157887268693388,20.053388739769705,20.83447940213043,20.83447940213043,2174.680696731045,2360.6186851989496,2360.6186851989496,8.895501471076317,9.676592133437042,9.676592133437042,-0.7810906623607252,0.0,0.0,0.7810906623607252,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,2.6700000000000004,0.0,1.0,11.167508298188464,20.070875858040207,20.85264850624016,20.85264850624016,2178.760033164679,2365.034586920797,2365.034586920797,8.903367559851743,9.685140208051697,9.685140208051697,-0.7817726481999543,0.0,0.0,0.7817726481999543,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,2.8600000000000003,0.0,1.0,11.177130885797396,20.088379712901865,20.8708350007578,20.8708350007578,2182.847101835013,2369.4588476670942,2369.4588476670942,8.911248827104469,9.693704114960404,9.693704114960404,-0.7824552878559352,0.0,0.0,0.7824552878559352,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,3.0500000000000003,0.0,1.0,11.18675502139664,20.10590034335506,20.889038926205597,20.889038926205597,2186.9419228470683,2373.8914891697314,2373.8914891697314,8.91914532195842,9.702283904808956,9.702283904808956,-0.7831385828505368,0.0,0.0,0.7831385828505368,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,3.24,0.0,1.0,11.19638069485797,20.123437788531454,20.907260323242333,20.907260323242333,2191.044516381298,2378.332533242154,2378.332533242154,8.927057093673485,9.710879628384363,9.710879628384363,-0.7838225347108789,0.0,0.0,0.7838225347108789,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,3.43,0.0,1.0,11.206007896047758,20.14099208769381,20.92549923266283,20.92549923266283,2195.154902693763,2382.7820017794797,2382.7820017794797,8.934984191646052,9.719491336615071,9.719491336615071,-0.7845071449690195,0.0,0.0,0.7845071449690195,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,3.62,0.0,1.0,11.215636614827508,20.15856328023676,20.94375569539904,20.94375569539904,2199.273102116543,2387.2399167590156,2387.2399167590156,8.942926665409251,9.728119080571533,9.728119080571533,-0.7851924151622818,0.0,0.0,0.7851924151622818,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,3.81,0.0,1.0,11.22526684105364,20.176151405687268,20.96202975252036,20.96202975252036,2203.3991350580745,2391.7063002405744,2391.7063002405735,8.950884564633627,9.736762911466718,9.736762911466718,-0.7858783468330905,0.0,0.0,0.7858783468330905,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,4.813559322033898,4.0,0.0,1.0,11.234898564577437,20.193756503704854,20.980321445233965,20.980321445233965,2207.5330220034284,2396.181174366807,2396.181174366807,8.958857939127418,9.745422880656529,9.745422880656529,-0.7865649415291109,0.0,0.0,0.7865649415291109,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,0.2,0.0,1.0,48.22384834337098,58.482628287989414,58.50001722011133,58.50001722011133,20365.16532665481,20377.574790856303,20377.574790856313,10.258779944618432,10.27616887674035,10.27616887674035,-0.017388932121917833,0.0,0.0,0.017388932121917833,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,0.39,0.0,1.0,48.22616683774059,58.485638137808934,58.50302796486454,58.50302796486454,20367.313010005408,20379.72376722564,20379.723767225638,10.259471300068341,10.27686112712395,10.27686112712395,-0.01738982705560943,0.0,0.0,0.01738982705560943,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,0.5800000000000001,0.0,1.0,48.22848529519555,58.48864825980471,58.50603898187495,58.50603898187495,20369.461000823147,20381.873051246384,20381.873051246384,10.260162964609165,10.277553686679404,10.277553686679404,-0.01739072207023895,0.0,0.0,0.01739072207023895,0.0,0.0,0.0
1,0.85,6.39,0.003,D60_hotspot,5.627118644067797,0.77,0.0,1.0,48.2308037156956,58.4916580539513,58.50904967093865,58.50904967093865,20371.60887093314,20384.02221448586,20384.02221448586,10.260854338255697,10.278245955243051,10.278245955243051,-0.017391616987353586,0.0,0.0,0.017391616987353586,0.0,0.0,0.0
