mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
base_mode,5.627118644067797,3.0500000000000003,58.52776939583219,48.25862187572324,10.269147520108945,0.19292682858858565,0.0
pointamp3_mode,5.627118644067797,3.0500000000000003,58.52738610761342,48.25862187572324,10.268764231890174,0.19292027974044434,0.0
full_direct,5.627118644067797,3.24,48.26093981475331,48.26093981475331,0.0,0.0,0.0
base_mode,5.627118644067797,3.24,58.53077896693631,48.26093981475331,10.269839152183003,0.19293021806645655,0.0
pointamp3_mode,5.627118644067797,3.24,58.53039566342196,48.26093981475331,10.269455848668656,0.19292366929372196,0.0
full_direct,5.627118644067797,3.43,48.26325771664072,48.26325771664072,0.0,0.0,0.0
base_mode,5.627118644067797,3.43,58.53378881015599,48.26325771664072,10.270531093515267,0.19293361262571498,0.0
pointamp3_mode,5.627118644067797,3.43,58.53340549134688,48.26325771664072,10.27014777470616,0.19292706392842374,0.0
full_direct,5.627118644067797,3.62,48.26557558136573,48.26557558136573,0.0,0.0,0.0
base_mode,5.627118644067797,3.62,58.53679892554618,48.26557558136573,10.271223344180449,0.19293701226693144,0.0
pointamp3_mode,5.627118644067797,3.62,58.536415591443216,48.26557558136573,10.270840010077485,0.19293046364512173,0.0
full_direct,5.627118644067797,3.81,48.26789340891404,48.26789340891404,0.0,0.0,0.0
base_mode,5.627118644067797,3.81,58.53980931316438,48.26789340891404,10.271915904250342,0.1929404169906066,0.0
pointamp3_mode,5.627118644067797,3.81,58.53942596376846,48.26789340891404,10.271532554854417,0.1929338684443162,0.0
full_direct,5.627118644067797,4.0,48.270211199275586,48.270211199275586,0.0,0.0,0.0
base_mode,5.627118644067797,4.0,58.54281997307435,48.270211199275586,10.272608773798765,0.19294382679725972,0.0
pointamp3_mode,5.627118644067797,4.0,58.54243660838628,48.270211199275586,10.272225409110696,0.19293727832652555,0.0
full_direct,5.898305084745763,0.2,77.61407091464986,77.61407091464986,0.0,0.0,0.0
base_mode,5.898305084745763,0.2,76.24192697514606,77.61407091464986,-1.3721439395038004,-0.017837202824775498,0.0
