alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.825,0.01,5.9,0.4,5.627118644067797,0.6,48.61468581814164,57.560445227006106,-8.945759408864468,-0.16890995440821555,0.0
0.825,0.01,6.0,0.4,5.627118644067797,0.6,48.670058672386126,57.560445227006106,-8.89038655461998,-0.16777158763726532,0.0
0.825,0.02,5.9,0.4,5.627118644067797,0.6,49.0910216599711,57.560445227006106,-8.469423567035008,-0.15915945716550164,0.0
0.825,0.02,6.0,0.4,5.627118644067797,0.6,49.2029161642421,57.560445227006106,-8.357529062764009,-0.15688272362360173,0.0
0.85,0.0,5.9,0.4,5.627118644067797,0.6,49.4778814522031,57.560445227006106,-8.082563774803006,-0.15130988663354658,0.0
0.85,0.0,6.0,0.4,5.627118644067797,0.6,49.4778814522031,57.560445227006106,-8.082563774803006,-0.15130988663354658,0.0
0.85,0.01,5.9,0.4,5.627118644067797,0.6,49.96267504732449,57.560445227006106,-7.597770179681618,-0.1415593893908326,0.0
0.85,0.01,6.0,0.4,5.627118644067797,0.6,50.01958328146199,57.560445227006106,-7.5408619455441155,-0.14042102261988257,0.0
0.85,0.02,5.9,0.4,5.627118644067797,0.6,50.452218741337965,57.560445227006106,-7.1082264856681405,-0.13180889214811922,0.0
0.85,0.02,6.0,0.4,5.627118644067797,0.6,50.56721585923332,57.560445227006106,-6.993229367772784,-0.12953215860621892,0.0
0.8,0.0,5.9,0.4,5.627118644067797,1.0,46.849114091270735,57.5661285261796,-10.717014434908862,-0.2060022492798751,0.0
0.8,0.0,6.0,0.4,5.627118644067797,1.0,46.849114091270735,57.5661285261796,-10.717014434908862,-0.2060022492798751,0.0
0.8,0.01,5.9,0.4,5.627118644067797,1.0,47.308152288161224,57.5661285261796,-10.257976238018372,-0.19625171485214932,0.0
0.8,0.01,6.0,0.4,5.627118644067797,1.0,47.36203718678863,57.5661285261796,-10.204091339390963,-0.19511334373986286,0.0
0.8,0.02,5.9,0.4,5.627118644067797,1.0,47.771688244940954,57.5661285261796,-9.794440281238643,-0.18650118042442262,0.0
0.8,0.02,6.0,0.4,5.627118644067797,1.0,47.88057597231516,57.5661285261796,-9.68555255386444,-0.18422443819985096,0.0
0.825,0.0,5.9,0.4,5.627118644067797,1.0,48.148152525393535,57.5661285261796,-9.417976000786062,-0.17865157995692993,0.0
0.825,0.0,6.0,0.4,5.627118644067797,1.0,48.148152525393535,57.5661285261796,-9.417976000786062,-0.17865157995692993,0.0
0.825,0.01,5.9,0.4,5.627118644067797,1.0,48.61991899414269,57.5661285261796,-8.94620953203691,-0.16890104552920396,0.0
0.825,0.01,6.0,0.4,5.627118644067797,1.0,48.67529802036872,57.5661285261796,-8.890830505810875,-0.16776267441691797,0.0
0.825,0.02,5.9,0.4,5.627118644067797,1.0,49.096307937262374,57.5661285261796,-8.469820588917223,-0.15915051110147768,0.0
0.825,0.02,6.0,0.4,5.627118644067797,1.0,49.20821491794813,57.5661285261796,-8.357913608231463,-0.15687376887690577,0.0
0.85,0.0,5.9,0.4,5.627118644067797,1.0,49.48321086909329,57.5661285261796,-8.082917657086305,-0.15130091063398468,0.0
0.85,0.0,6.0,0.4,5.627118644067797,1.0,49.48321086909329,57.5661285261796,-8.082917657086305,-0.15130091063398468,0.0
0.85,0.01,5.9,0.4,5.627118644067797,1.0,49.96805854090731,57.5661285261796,-7.598069985272289,-0.1415503762062583,0.0
0.85,0.01,6.0,0.4,5.627118644067797,1.0,50.02497312409971,57.5661285261796,-7.541155402079887,-0.14041200509397264,0.0
0.85,0.02,5.9,0.4,5.627118644067797,1.0,50.45765685967273,57.5661285261796,-7.1084716665068655,-0.13179984177853268,0.0
0.85,0.02,6.0,0.4,5.627118644067797,1.0,50.57266681192536,57.5661285261796,-6.993461714254238,-0.12952309955396057,0.0
0.8,0.0,5.9,0.4,5.627118644067797,2.0,46.86170327490219,57.58033576753391,-10.71863249263172,-0.20598033590752618,0.0
0.8,0.0,6.0,0.4,5.627118644067797,2.0,46.86170327490219,57.58033576753391,-10.71863249263172,-0.20598033590752618,0.0
0.8,0.01,5.9,0.4,5.627118644067797,2.0,47.320869219347394,57.58033576753391,-10.259466548186516,-0.19622970858439207,0.0
0.8,0.01,6.0,0.4,5.627118644067797,2.0,47.37476911660806,57.58033576753391,-10.205566650925853,-0.19509132662660347,0.0
0.8,0.02,5.9,0.4,5.627118644067797,2.0,47.78453421845352,57.58033576753391,-9.795801549080387,-0.1864790812612582,0.0
0.8,0.02,6.0,0.4,5.627118644067797,2.0,47.89345226497437,57.58033576753391,-9.686883502559539,-0.18420231734568052,0.0
0.825,0.0,5.9,0.4,5.627118644067797,2.0,48.16110333318226,57.58033576753391,-9.419232434351649,-0.178629406008958,0.0
0.825,0.0,6.0,0.4,5.627118644067797,2.0,48.16110333318226,57.58033576753391,-9.419232434351649,-0.178629406008958,0.0
0.825,0.01,5.9,0.4,5.627118644067797,2.0,48.6330012146523,57.58033576753391,-8.947334552881607,-0.16887877868582377,0.0
0.825,0.01,6.0,0.4,5.627118644067797,2.0,48.688395669830136,57.58033576753391,-8.891940097703774,-0.1677403967280353,0.0
0.825,0.02,5.9,0.4,5.627118644067797,2.0,49.10952290237104,57.58033576753391,-8.47081286516287,-0.1591281513626895,0.0
0.825,0.02,6.0,0.4,5.627118644067797,2.0,49.221461072065104,57.58033576753391,-8.358874695468806,-0.15685138744711183,0.0
0.85,0.0,5.9,0.4,5.627118644067797,2.0,49.496533676182366,57.58033576753391,-8.083802091351544,-0.1512784761103889,0.0
0.85,0.0,6.0,0.4,5.627118644067797,2.0,49.496533676182366,57.58033576753391,-8.083802091351544,-0.1512784761103889,0.0
0.85,0.01,5.9,0.4,5.627118644067797,2.0,49.98151653092125,57.58033576753391,-7.598819236612663,-0.14152784878725477,0.0
0.85,0.01,6.0,0.4,5.627118644067797,2.0,50.03844698571614,57.58033576753391,-7.541888781817768,-0.1403894668294668,0.0
0.85,0.02,5.9,0.4,5.627118644067797,2.0,50.471251402658496,57.58033576753391,-7.1090843648754145,-0.13177722146412096,0.0
0.85,0.02,6.0,0.4,5.627118644067797,2.0,50.586293438709504,57.58033576753391,-6.994042328824406,-0.12950045754854334,0.0
0.8,0.0,5.9,0.4,5.627118644067797,4.0,46.88687868632355,57.608745927483945,-10.721867241160396,-0.20593653103220078,0.0
0.8,0.0,6.0,0.4,5.627118644067797,4.0,46.88687868632355,57.608745927483945,-10.721867241160396,-0.20593653103220078,0.0
0.8,0.01,5.9,0.4,5.627118644067797,4.0,47.34630009037589,57.608745927483945,-10.262445837108054,-0.19618571820605085,0.0
0.8,0.01,6.0,0.4,5.627118644067797,4.0,47.40022998073163,57.608745927483945,-10.208515946752314,-0.1950473145908572,0.0
0.8,0.02,5.9,0.4,5.627118644067797,4.0,47.81022313822315,57.608745927483945,-9.798522789260794,-0.18643490537990098,0.0
