D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_runtime,chi2_runtime,mu_cf,chi2_cf,abs_delta_base,abs_delta_runtime,abs_delta_cf,abs_improvement_vs_base,abs_improvement_vs_runtime,improved_vs_base,improved_vs_runtime,worsened_vs_runtime,acceptance_flip_vs_base,case,is_reviewer_target
4.0,1.815,2.7271501582568853,11.008297141007976,1.934782575047329,1.7874525160890775,1.9347825750472285,1.7874525160884027,1.9347825750472285,1.7874525160884027,0.7923675832095562,0.7923675832096568,0.7923675832096568,-1.0058620603103918e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,1.91,2.7464391832019213,11.330615462884108,1.9486417590422531,1.881298623531111,1.9486417590421512,1.8812986235304137,1.9486417590421512,1.8812986235304137,0.7977974241596681,0.7977974241597701,0.7977974241597701,-1.0191847366058937e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.005,2.765783069676865,11.658521208849752,1.9625521125632797,1.977905495933806,1.9625521125631773,1.977905495933086,1.9625521125631773,1.977905495933086,0.8032309571135854,0.8032309571136877,0.8032309571136877,-1.0236256287043943e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.1,2.785181110844213,11.992041936497552,1.9758631323240792,2.0726146698131265,1.975863132323976,2.0726146698123835,1.975863132323976,2.0726146698123835,0.8093179785201339,0.8093179785202371,0.8093179785202371,-1.0325074129013956e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.1950000000000003,2.804632593611466,12.331204518972962,1.9892484587296648,2.1700859132205332,1.989248458729561,2.1700859132197676,1.989248458729561,2.1700859132197676,0.8153841348818012,0.8153841348819051,0.8153841348819051,-1.0391687510491465e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.29,2.8241367987389703,12.676035134515514,2.00270896253508,2.270363084500702,2.002708962534975,2.2703630844999156,2.002708962534975,2.2703630844999156,0.8214278362038905,0.8214278362039953,0.8214278362039953,-1.0480505352461478e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.385,2.8436930009492434,13.02655925618645,2.0162455330151308,2.373490981006892,2.016245533015026,2.3734909810060847,2.016245533015026,2.3734909810060847,0.8274474679341126,0.8274474679342174,0.8274474679342174,-1.0480505352461478e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.4800000000000004,2.863300469037758,13.382801641788271,2.0298590783416146,2.479515366058427,2.0298590783415085,2.4795153660575915,2.0298590783415085,2.4795153660575915,0.8334413906961435,0.8334413906962497,0.8334413906962497,-1.0613732115416497e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.575,2.882958465985096,13.74478632398043,2.0435505259702658,2.5884829967287866,2.043550525970159,2.588482996727929,2.043550525970159,2.588482996727929,0.8394079400148304,0.839407940014937,0.839407940014937,-1.0658141036401503e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.6700000000000004,2.9026662490704944,14.112536600597434,2.057320823037913,2.700441652495248,2.0573208230378057,2.7004416524943653,2.0573208230378057,2.7004416524943653,0.8453454260325812,0.8453454260326887,0.8453454260326887,-1.0746958878371515e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.765,2.9224230699866847,14.486075025173012,2.0711709367700424,2.815440164779852,2.0711709367699345,2.8154401647789467,2.0711709367699345,2.8154401647789467,0.8512521332166423,0.8512521332167502,0.8512521332167502,-1.0791367799356522e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.8600000000000003,2.9422281749560883,14.86542339767742,2.085101854899203,2.9335284474145533,2.085101854899094,2.9335284474136216,2.085101854899094,2.9335284474136216,0.8571263200568855,0.8571263200569943,0.8571263200569943,-1.0880185641326534e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
4.0,2.955,2.962080804848188,15.250602755469767,2.099114586094514,3.0547575280631483,2.0991145860944043,3.0547575280621895,2.0991145860944043,3.0547575280621895,0.862966218753674,0.8629662187537837,0.8629662187537837,-1.0969003483296547e-13,0.0,0.0,0.0,0.0,0.0,D21E41_fullmap,True
