combo_id,mode,peak,center_D,width_D,s_min,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,2.1360604855864125,-0.03382061007660627,0.0
17,pointamp_cloud,0.5,6.169492525423729,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,74.46668270835596,-48.51876747052823,0.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,31.28632909715531,-2.3286101484218524e-05,0.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462467784829659,3.383536836952858e-16,0.14285714285714285
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,6.4,2.1022273869561374,2.13627202007968,-0.034045039611126246,0.0
18,pointamp_cloud,0.5,6.169492525423729,0.05,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.272444206243101,-0.0004991905784210292,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,85.83524345796164,-58.6388926770969,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,36.987559336576346,-5.6440031704380855,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.4656478308967635,-0.0031680143383956945,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,6.4,2.1022273869561374,4.767222069498786,-2.5814485154245697,0.0
19,pointamp_cloud,0.5,6.169492525423729,0.12,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.272579171234696,-0.0006568577929626718,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,74.46668271716572,-48.518767479326506,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,35.773743518469054,-4.486732811333626,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.465009012870102,-0.002541211747588045,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,6.4,2.1022273869561374,3.1481077468580168,-1.0446643643151616,0.0
20,pointamp_cloud,0.5,6.169492525423729,0.12,0.75,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.887582908974153,-2.129017167904056e-05,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,119.7853544322351,-87.46523013638715,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.462503313779795,-3.539452965435024e-05,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,4.0,0.9136772062233662,0.9140472983252148,-0.0003284073840410734,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,6.4,2.1022273869561374,32.380899908382546,-29.825743052680735,0.0
21,pointamp_cloud,0.5,6.4406779661016955,0.05,0.6,2.0,D21_guard,8.0,0.3226590996076344,0.3225623496223613,9.674995818870891e-05,1.0
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,4.813559322033898,8.950884564633627,8.950884543928256,2.0543808601370897e-08,1.0
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,5.627118644067797,10.271915904250342,10.271915904250342,0.0,0.0
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.169491525423728,25.887561191706766,25.88757914882828,-1.793628621136295e-05,0.0
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.4406779661016955,31.28630580743782,98.46217069621781,-67.16408543795946,0.0
22,pointamp_cloud,0.5,6.4406779661016955,0.05,0.75,2.0,D60_hotspot,6.711864406779661,7.462467784829663,7.4624961767616576,-2.839174995964792e-05,0.0
