beta_peak,center_D,sigma_D,D,eta,beta_eff,base_mu,cur_mu,delta_mu_current,base_width_ratio,cur_width_ratio,width_ratio_boost,mu_boost,delta_mu_boost,delta_log_width_current,delta_log_width_boost,acceptance_mismatch_boost
0.1,6.1,0.15,4.813559322033898,0.6,1.0673167154157311e-17,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.1,6.1,0.2,4.813559322033898,0.6,1.0373253409440161e-10,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920738598,14.7520735552026,1.306813730652447,-0.14911229499182835,-0.14911229497636064,0.0
0.2,5.9,0.1,4.813559322033898,0.6,4.677165487764919e-27,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.2,5.9,0.15,4.813559322033898,0.6,8.118082041605576e-13,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920602633,14.752073555428986,1.306813730878833,-0.14911229499182835,-0.14911229499170667,0.0
0.2,5.9,0.2,4.813559322033898,0.6,7.821106160282006e-08,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59983023928716,14.752073383388703,1.3068135588385505,-0.14911229499182835,-0.14911228332959814,0.0
0.2,6.0,0.1,4.813559322033898,0.6,5.426047382781349e-32,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.2,6.0,0.15,4.813559322033898,0.6,5.198741894046933e-15,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601563,14.752073555430767,1.3068137308806147,-0.14911229499182835,-0.14911229499182743,0.0
0.2,6.0,0.2,4.813559322033898,0.6,4.564501900343312e-09,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982926631868,14.752073545390171,1.3068137208400188,-0.14911229499182835,-0.14911229431120473,0.0
0.2,6.1,0.1,4.813559322033898,0.6,2.3157407900476396e-37,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
0.2,6.1,0.15,4.813559322033898,0.6,2.1346334308314622e-17,13.445259824550153,14.752073555430782,1.306813730880629,102.84697715998584,88.59982920601554,88.59982920601554,14.752073555430782,1.306813730880629,-0.14911229499182835,-0.14911229499182835,0.0
