D,eta,mu_full,chi2_full,mu_base,chi2_base,mu_parent,chi2_parent,mu_cf,chi2_cf,case,abs_delta_base,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent,acceptance_flip_vs_base,drift_grid_D
4.0,1.53,2.04476397179722,2.598253620798291,3.232475155303193,20.98728246752163,3.232475155303024,20.98728246751775,3.232475155303024,20.98728246751775,D100E41_monitor,1.1877111835059728,1.187711183505804,1.187711183505804,0.0,0.0,7.232323232323233
4.0,1.625,2.059419771245907,2.7177152169375263,3.255685615223944,21.522306890931674,3.2556856152237743,21.522306890927737,3.2556856152237743,21.522306890927737,D100E41_monitor,1.1962658439780371,1.1962658439778675,1.1962658439778675,0.0,0.0,7.232323232323233
4.0,1.72,2.0741193792694688,2.8402308594165873,3.2790422662673926,22.067498990120615,3.2790422662672216,22.067498990116604,3.2790422662672216,22.067498990116604,D100E41_monitor,1.2049228869979238,1.2049228869977529,1.2049228869977529,0.0,0.0,7.232323232323233
4.0,1.815,2.088862270516002,2.96582017337788,3.3025469542804013,22.6230307077602,3.302546954280229,22.6230307077561,3.302546954280229,22.6230307077561,D100E41_monitor,1.2136846837643995,1.2136846837642272,1.2136846837642272,0.0,0.0,7.232323232323233
4.0,1.91,2.1036479145833127,3.0945024231090312,3.3262015654815356,23.189077942896983,3.326201565481362,23.189077942892812,3.326201565481362,23.189077942892812,D100E41_monitor,1.2225536508982229,1.2225536508980492,1.2225536508980492,0.0,0.0,7.232323232323233
4.0,2.005,2.118475776097622,3.226296505244251,3.3499434829000085,23.764247415651344,3.349943482899834,23.764247415647095,3.349943482899834,23.764247415647095,D100E41_monitor,1.2314677068023867,1.2314677068022122,1.2314677068022122,0.0,0.0,7.232323232323233
4.0,2.1,2.1333453147934667,3.3612209420595556,3.3726623419685575,24.32122947138046,3.372662341968381,24.32122947137611,3.372662341968381,24.32122947137611,D100E41_monitor,1.2393170271750908,1.2393170271749145,1.2393170271749145,0.0,0.0,7.232323232323233
4.0,2.1950000000000003,2.148255985594808,3.4992938748653586,3.395508001638791,24.88782615377775,3.3955080016386137,24.887826153773336,3.3955080016386137,24.887826153773336,D100E41_monitor,1.247252016043983,1.2472520160438059,1.2472520160438059,0.0,0.0,7.232323232323233
4.0,2.29,2.163207238697277,3.640533057499515,3.41848194792102,25.464183588018965,3.4184819479208417,25.464183588014475,3.4184819479208417,25.464183588014475,D100E41_monitor,1.2552747092237428,1.2552747092235648,1.2552747092235648,0.0,0.0,7.232323232323233
4.0,2.385,2.1781985196515623,3.7849558499242697,3.4415856984347224,26.050451025332453,3.441585698434543,26.05045102532787,3.441585698434543,26.05045102532787,D100E41_monitor,1.26338717878316,1.2633871787829807,1.2633871787829807,0.0,0.0,7.232323232323233
4.0,2.4800000000000004,2.1932292694479214,3.93257921193052,3.464820803052264,26.646780929483725,3.464820803052083,26.646780929479057,3.464820803052083,26.646780929479057,D100E41_monitor,1.2715915336043424,1.2715915336041617,1.2715915336041617,0.0,0.0,7.232323232323233
4.0,2.575,2.208298924601744,4.0834196969521015,3.4881888445593603,27.253329065888476,3.4881888445591778,27.253329065883708,3.4881888445591778,27.253329065883708,D100E41_monitor,1.2798899199576161,1.2798899199574336,1.2798899199574336,0.0,0.0,7.232323232323233
4.0,2.6700000000000004,2.22340691724019,4.2374934459937,3.511691439332886,27.87025459344872,3.511691439332703,27.870254593443892,3.511691439332703,27.870254593443892,D100E41_monitor,1.2882845220926962,1.2882845220925132,1.2882845220925132,0.0,0.0,7.232323232323233
4.0,2.765,2.2385526751898115,4.394816181674935,3.5353302380364124,28.497720159204007,3.535330238036228,28.497720159199087,3.535330238036228,28.497720159199087,D100E41_monitor,1.296777562846601,1.2967775628464167,1.2967775628464167,0.0,0.0,7.232323232323233
4.0,2.8600000000000003,2.25373562206526,4.555403202394729,3.559106926334341,29.135891995905784,3.559106926334155,29.13589199590076,3.559106926334155,29.13589199590076,D100E41_monitor,1.305371304269081,1.305371304268895,1.305371304268895,0.0,0.0,7.232323232323233
4.0,2.955,2.2689551773588272,4.719269376616943,3.5830232256248977,29.78494002261083,3.5830232256247108,29.78494002260573,3.5830232256247108,29.78494002260573,D100E41_monitor,1.3140680482660705,1.3140680482658835,1.3140680482658835,0.0,0.0,7.232323232323233
4.0,3.0500000000000003,2.2842107565310497,4.886429137282571,3.6070808937928898,30.445037948410135,3.6070808937927015,30.44503794840494,3.6070808937927015,30.44503794840494,D100E41_monitor,1.32287013726184,1.3228701372616518,1.3228701372616518,0.0,0.0,7.232323232323233
4.0,3.145,2.299501771102127,5.056896476349144,3.631281725982744,31.116363379403325,3.631281725982554,31.11636337939803,3.631281725982554,31.11636337939803,D100E41_monitor,1.3317799548806173,1.3317799548804272,1.3317799548804272,0.0,0.0,7.232323232323233
4.0,3.24,2.314827628744275,5.2306849394617085,3.655627555392415,31.79909792903477,3.655627555392224,31.79909792902938,3.655627555392224,31.79909792902938,D100E41_monitor,1.34079992664814,1.3407999266479491,1.3407999266479491,0.0,0.0,7.232323232323233
4.0,3.3350000000000004,2.3301877333748995,5.407807620757083,3.680120254089081,32.493427331920344,3.6801202540888887,32.493427331914866,3.6801202540888887,32.493427331914866,D100E41_monitor,1.3499325207141815,1.3499325207139892,1.3499325207139892,0.0,0.0,7.232323232323233
4.0,3.43,2.3455814852505736,5.5882771578042565,3.7047617338471066,33.199541561287006,3.7047617338469134,33.19954156128144,3.7047617338469134,33.19954156128144,D100E41_monitor,1.359180248596533,1.3591802485963398,1.3591802485963398,0.0,0.0,7.232323232323233
4.0,3.5250000000000004,2.3610082810618485,5.772105726684054,3.7295539470091654,33.91763495016239,3.7295539470089705,33.9176349501567,3.7295539470089705,33.9176349501567,D100E41_monitor,1.368545665947317,1.368545665947122,1.368545665947122,0.0,0.0,7.232323232323233
4.0,3.62,2.376467514028759,5.959305037209404,3.754498887371257,34.64790631645304,3.754498887371061,34.64790631644727,3.754498887371061,34.64790631644727,D100E41_monitor,1.3780313733424978,1.378031373342302,1.378031373342302,0.0,0.0,7.232323232323233
4.0,3.715,2.3919585739970737,6.1498863282894245,3.77959859109236,35.390559092054666,3.7795985910921632,35.390559092048804,3.7795985910921632,35.390559092048804,D100E41_monitor,1.3876400170952863,1.3876400170950896,1.3876400170950896,0.0,0.0,7.232323232323233
4.0,3.81,2.407480847535262,6.343860363439812,3.804855137629648,36.145801456148206,3.8048551376294495,36.14580145614224,3.8048551376294495,36.14580145614224,D100E41_monitor,1.397374290094386,1.3973742900941875,1.3973742900941875,0.0,0.0,7.232323232323233
4.0,3.905,2.42303371803208,6.541237426440887,3.830270650700083,36.91384647283877,3.830270650699883,36.913846472832695,3.830270650699883,36.913846472832695,D100E41_monitor,1.4072369326680034,1.4072369326678031,1.4072369326678031,0.0,0.0,7.232323232323233
4.0,4.0,2.4386165657948013,6.742027317146169,3.8558472992692328,37.6949122332999,3.855847299269032,37.694912233293735,3.855847299269032,37.694912233293735,D100E41_monitor,1.4172307334744314,1.4172307334742307,1.4172307334742307,0.0,0.0,7.232323232323233
4.161616161616162,0.2,2.5749479409238885,8.628141649258035,3.3571845141584555,23.94107014038543,3.35718451415677,23.941070140344205,3.35718451415677,23.941070140344205,D100E41_monitor,0.7822365732345671,0.7822365732328818,0.7822365732328818,0.0,0.0,7.232323232323233
4.161616161616162,0.295,2.586035678347517,8.791753939457847,3.376155118689915,24.407431582027204,3.37615511868822,24.407431581985325,3.37615511868822,24.407431581985325,D100E41_monitor,0.7901194403423979,0.7901194403407028,0.7901194403407028,0.0,0.0,7.232323232323233
4.161616161616162,0.39,2.597144136898142,8.95721302818498,3.3952609818096926,24.88166490957611,3.3952609818079886,24.881664909533615,3.3952609818079886,24.881664909533615,D100E41_monitor,0.7981168449115508,0.7981168449098468,0.7981168449098468,0.0,0.0,7.232323232323233
4.161616161616162,0.485,2.6082731752122505,9.124525412109335,3.414503826692571,25.363910423493824,3.4145038266908565,25.36391042345065,3.4145038266908565,25.36391042345065,D100E41_monitor,0.8062306514803206,0.806230651478606,0.806230651478606,0.0,0.0,7.232323232323233
4.161616161616162,0.5800000000000001,2.6194226510013334,9.2936975110945,3.43388540792966,25.854311578682495,3.433885407927936,25.85431157863866,3.433885407927936,25.85431157863866,D100E41_monitor,0.8144627569283265,0.8144627569266025,0.8144627569266025,0.0,0.0,7.232323232323233
4.161616161616162,0.675,2.63059242105898,9.464735667298768,3.453167712905095,26.34686035822462,3.4531677129033618,26.346860358180137,3.4531677129033618,26.346860358180137,D100E41_monitor,0.8225752918461149,0.8225752918443816,0.8225752918443816,0.0,0.0,7.232323232323233
4.161616161616162,0.77,2.641782341268317,9.63764614428639,3.4725228159187593,26.8459426406489,3.472522815917016,26.845942640603727,3.472522815917016,26.845942640603727,D100E41_monitor,0.8307404746504425,0.830740474648699,0.830740474648699,0.0,0.0,7.232323232323233
4.161616161616162,0.865,2.652992266609339,9.812435126142557,3.49201574199873,27.3533116548156,3.492015741996977,27.35331165476976,3.492015741996977,27.35331165476976,D100E41_monitor,0.839023475389391,0.8390234753876382,0.8390234753876382,0.0,0.0,7.232323232323233
4.161616161616162,0.96,2.6642220511664862,9.989108716597489,3.5116482510488005,27.869114600984112,3.5116482510470375,27.86911460093757,3.5116482510470375,27.86911460093757,D100E41_monitor,0.8474261998823143,0.8474261998805512,0.8474261998805512,0.0,0.0,7.232323232323233
4.161616161616162,1.055,2.675471548136093,10.16767293815426,3.531101216863066,28.384952478220256,3.531101216861294,28.38495247817304,3.531101216861294,28.38495247817304,D100E41_monitor,0.8556296687269733,0.855629668725201,0.855629668725201,0.0,0.0,7.232323232323233
