D,eta,mu_ee_full,mu_mumu_full,mu_tautau_full,chi2_mumu_full,mu_ee_cmp,mu_mumu_cmp,mu_tautau_cmp,chi2_mumu_cmp,risk_score,high_anchor_candidate,alpha_blend,B1_full,B2_full,B3_full,B1_cmp,B2_cmp,B3_cmp,yraw1_full,yraw2_full,yraw3_full,yraw1_cmp,yraw2_cmp,yraw3_cmp,m2_1_full,m2_2_full,m2_3_full,m2_1_cmp,m2_2_cmp,m2_3_cmp,log_B1_ratio,log_B2_ratio,log_B3_ratio,log_yraw1_ratio,log_yraw2_ratio,log_yraw3_ratio,log_m2_1_ratio,log_m2_2_ratio,log_m2_3_ratio,b_visibility_norm_score,yraw_operator_score,m2_spectrum_score,scenario,surface,risk_score_release_tuned,release_hotspot_candidate,abs_delta_mu_mumu_map,rel_delta_mu_mumu_map
4.0,1.15,0.5328613532835184,2.5937211188708993,15.83104316721575,8.906063185239947,0.2671282841976501,0.9962499119362904,15.853894746347654,1.0188383350715815,0.3608715993899656,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3608715993899656,False,1.5974712069346089,0.6158993714906487
4.0,1.245,0.5404115831660199,2.6126068690134527,15.830819679566668,9.190096367366303,0.2709153934796588,1.0035117554023072,15.853794399399147,0.9825183006509988,0.3594157003444345,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3594157003444345,False,1.6090951136111455,0.6158963802383159
4.0,1.34,0.5480470764945934,2.631552244673955,15.830595384584289,9.479505821009107,0.2747453134430275,1.0107966427928028,15.853693685650176,0.9467453328834567,0.3581221954957586,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3581221954957586,False,1.6207556018811522,0.6158933781996645
4.0,1.435,0.5557684359476693,2.6505565856888667,15.83037028877097,9.774323587561224,0.2786183474843705,1.0181043214510412,15.853592607968208,0.9115269330898098,0.3569765433127105,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3569765433127105,False,1.6324522642378254,0.6158903654620749
4.0,1.53,0.5635762632706149,2.6696192249287676,15.830144398697366,10.07458110192953,0.2825347985450054,1.0254345360313384,15.853491169251132,0.8768705424878668,0.3559650817561988,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3559650817561988,False,1.6441846888974292,0.6158873421138553
4.0,1.625,0.5714711592024037,2.688739488394995,15.82991772100168,10.380309180928712,0.2864949690741177,1.0327870285358949,15.853389372426916,0.8427835400718611,0.3550750333478054,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3550750333478054,False,1.6559524598591002,0.6158843082442315
4.0,1.72,0.5794537234021989,2.707916695317909,15.829690262388905,10.691538011820745,0.2904991609918783,1.040161538352255,15.85328722045329,0.8092732405063469,0.3542945009366893,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3542945009366893,False,1.667755156965654,0.6158812639433355
4.0,1.815,0.58752455437603,2.7271501582568853,15.829462029630031,11.008297141007976,0.2945476756526014,1.0475578022914385,15.85318471631741,0.7763468920352544,0.353612455223355,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.353612455223355,False,1.6795923559654469,0.6158782093021945
4.0,1.91,0.5956842494033521,2.7464391832019213,15.829233029561264,11.330615462884108,0.2986408138078427,1.0549755546266786,15.853081863035507,0.7440116744073,0.353018715103422,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.353018715103422,False,1.6914636285752427,0.6158751444127224
4.0,2.005,0.603933404463647,2.765783069676865,15.829003269083191,11.658521208849752,0.3027788755695128,1.0624145271328085,15.852978663652552,0.7122746968185337,0.3525039218880537,False,0.0,1.9331165831267465,1.9537573358119125,1.0,1.9331165831269395,1.9537573358118574,1.0,0.0032558644413614906,0.0041510630369783405,0.0026742579992386456,0.00325586444136189,0.004151063036978355,0.0026742579992387033,1.3016179943485544,1.6419653290034042,2.0667054238124885,1.3016179943485526,1.6419653290034162,2.0667054238124836,9.992007221625909e-14,-2.8199664825479374e-14,0.0,1.2256862191860976e-13,3.5527136788004946e-15,2.1538326677727803e-14,-1.3322676295501888e-15,7.327471962526006e-15,-2.3314683517128315e-15,9.992007221625909e-14,1.2256862191860976e-13,7.327471962526006e-15,cell_direct_runtime_release,D21E41,0.3525039218880537,False,1.7033685425440566,0.6158720693677058
