combo_id,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_mean_abs_improvement_vs_base,slice_mean_abs_improvement_vs_runtime,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
177,0.99,6.39,0.005,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
177,0.99,6.39,0.005,D21_guard,6.4,2.1022273869561374,44.13924402166741,37.94373457268203,-35.84053054758089,6.195358354888385,0.0,1.0
177,0.99,6.39,0.005,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
178,0.99,6.39,0.0075,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
178,0.99,6.39,0.0075,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
178,0.99,6.39,0.0075,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
178,0.99,6.39,0.0075,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.8463293503512475,24.439384055020962,-2.9460543211306297e-09,1.0,0.0
178,0.99,6.39,0.0075,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
178,0.99,6.39,0.0075,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
178,0.99,6.39,0.0075,D21_guard,6.4,2.1022273869561374,44.13924402166741,25.318948090571894,-23.216051954713574,18.8198369477557,0.0,1.0
178,0.99,6.39,0.0075,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
179,0.99,6.39,0.01,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
179,0.99,6.39,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
179,0.99,6.39,0.01,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
179,0.99,6.39,0.01,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.8463934445071075,24.43931996241868,-6.409554834043601e-05,1.0,0.0
179,0.99,6.39,0.01,D60_hotspot,6.711864406779661,7.462467784829663,1.7268649543238617,1.7268649543238617,5.735517205664442,0.0,1.0,0.0
179,0.99,6.39,0.01,D21_guard,4.0,0.9136772062233662,0.7688606834098684,0.7688606834098684,0.12898721105220606,0.0,1.0,0.0
179,0.99,6.39,0.01,D21_guard,6.4,2.1022273869561374,44.13924402166741,16.37289703896782,-14.270219076532756,27.765669825936513,0.0,1.0
179,0.99,6.39,0.01,D21_guard,8.0,0.3226590996076344,1.3897781615027076,1.3897781615027076,-1.0671190542193356,0.0,0.0,0.0
180,0.99,6.39,0.015,D60_hotspot,4.813559322033898,8.950884564633627,9.736762911466718,9.736762911466718,-0.779729412975039,0.0,0.0,0.0
180,0.99,6.39,0.015,D60_hotspot,5.627118644067797,10.271915904250342,10.289321838292217,10.289321838292217,-0.017397880608360845,0.0,0.0,0.0
180,0.99,6.39,0.015,D60_hotspot,6.169491525423728,25.887561191706766,22.8165345114201,22.8165345114201,3.0700596061515544,0.0,1.0,0.0
180,0.99,6.39,0.015,D60_hotspot,6.4406779661016955,31.28630580743782,6.846329347405117,6.926703208063692,24.359012145495296,-0.08037191247171667,1.0,0.0
