D,eta,winner_baseline,winner_direct,winner_mismatch,R3_baseline,R3_direct,delta_R3,abs_delta_R3,mu_mumu_baseline,mu_mumu_direct,delta_mu_mumu,abs_delta_mu_mumu,chi2_mumu_baseline,chi2_mumu_direct,delta_chi2_mumu,abs_delta_chi2_mumu,underflow_fallback_baseline,underflow_fallback_direct
6.240677966,0.5800000000000001,2,2,0,0.9472298784454058,0.9472298593044894,-1.9140916407422992e-08,1.9140916407422992e-08,64.29965532596209,64.29962563151368,-2.969444841482982e-05,2.969444841482982e-05,24727.291500780193,24727.268153653575,-0.023347126618318725,0.023347126618318725,0,0
6.369491525,0.5800000000000001,2,2,0,0.947619595210337,0.947619586765747,-8.444590027245624e-09,8.444590027245624e-09,51.69044299554477,51.69043186390864,-1.113163612842527e-05,1.113163612842527e-05,15807.054104300863,15807.047106615233,-0.0069976856302673696,0.0069976856302673696,0,0
6.4,0.5800000000000001,2,2,0,0.9477075429749084,0.9477075352725165,-7.702391946473597e-09,7.702391946473597e-09,48.74300153936987,48.74299193004851,-9.609321359960177e-06,9.609321359960177e-06,14008.49871722986,14008.49303055399,-0.005686675871402258,0.005686675871402258,0,0
6.440677966,0.5800000000000001,2,2,0,0.9478223952516214,0.9478223952516212,-2.220446049250313e-16,2.220446049250313e-16,44.851308221959165,44.851306607224586,-1.6147345789363499e-06,1.6147345789363499e-06,11800.1011637481,11800.100286718995,-0.0008770291060500313,0.0008770291060500313,0,0
6.6,0.5800000000000001,2,2,0,0.9482478104803956,0.9482478047034835,-5.7769121708517446e-09,5.7769121708517446e-09,30.25093460461133,30.250930320305788,-4.284305543222899e-06,4.284305543222899e-06,5202.352672247247,5202.351127169623,-0.0015450776236320962,0.0015450776236320962,0,0
6.640677966,0.5800000000000001,2,2,0,0.9483506867869861,0.9483506828431291,-3.943857018740005e-09,3.943857018740005e-09,26.753181170546984,26.75317838258227,-2.7879647142015074e-06,2.7879647142015074e-06,4017.398721666113,4017.3978381189813,-0.0008835471317070187,0.0008835471317070187,0,0
20.0,0.5800000000000001,2,2,0,0.9273399658726669,0.9273399658726669,0.0,0.0,7.407618517495128e-08,7.40761913561178e-08,6.181166512253036e-15,6.181166512253036e-15,12.24999870366679,12.249998703666682,-1.0835776720341528e-13,1.0835776720341528e-13,0,0
4.0,0.77,2,2,0,0.9032959996323188,0.9032959996323188,0.0,0.0,1.4548558292020022,1.4548557453976265,-8.380437566124499e-08,8.380437566124499e-08,0.018807262483995283,0.018807205019557707,-5.746443757642661e-08,5.746443757642661e-08,0,0
5.4,0.77,2,2,0,0.9399283088841068,0.9399281351272111,-1.737568957604907e-07,1.737568957604907e-07,29.09918906711893,29.099066706944704,-0.00012236017422750933,0.00012236017422750933,4795.281718600006,4795.239352723579,-0.042365876426629256,0.042365876426629256,0,0
5.6,0.77,2,2,0,0.942419046109187,0.9424190140779152,-3.2031271857135835e-08,3.2031271857135835e-08,41.12780385533269,41.127769617598545,-3.4237734141129295e-05,3.4237734141129295e-05,9864.364994798665,9864.347992431163,-0.017002367501845583,0.017002367501845583,0,0
5.698305085,0.77,2,2,0,0.9435125711272065,0.9435125925090896,2.138188304190436e-08,2.138188304190436e-08,49.056641539217736,49.05666464296438,2.3103746642050282e-05,2.3103746642050282e-05,14194.721767484334,14194.735530574817,0.013763090482825646,0.013763090482825646,0,0
5.8,0.77,2,2,0,0.9445624124022767,0.9445622700771065,-1.4232517020484892e-07,1.4232517020484892e-07,59.22472871777467,59.22452059514955,-0.00020812262511782365,0.00020812262511782365,20898.120320526465,20897.969887867963,-0.15043265850181342,0.15043265850181342,0,0
5.898305085,0.77,2,2,0,0.9455045456002686,0.9455045456002691,4.440892098500626e-16,4.440892098500626e-16,71.56048983087905,71.56048648017374,-3.350705313209801e-06,3.350705313209801e-06,30765.58958318051,30765.586644591498,-0.0029385890120465774,0.0029385890120465774,0,0
5.969491525,0.77,2,2,0,0.9461454234244385,0.9461453561563377,-6.726810086732371e-08,6.726810086732371e-08,82.49070359142722,82.49056847321923,-0.00013511820799294583,0.00013511820799294583,41098.13880595441,41098.001845686595,-0.13696026781690307,0.13696026781690307,0,0
6.098305085,0.77,2,2,0,0.9467609466961187,0.9467609209223272,-2.577379143442471e-08,2.577379143442471e-08,78.28355108621012,78.28350148562566,-4.9600584461018116e-05,4.9600584461018116e-05,36944.25267266176,36944.205004313764,-0.047668347993749194,0.047668347993749194,0,0
6.169491525,0.77,2,2,0,0.9470009440139433,0.9470009440139424,-8.881784197001252e-16,8.881784197001252e-16,71.306349722321,71.30634680517042,-2.917150581538408e-06,2.917150581538408e-06,30543.11082187155,30543.108272779747,-0.0025490918014838826,0.0025490918014838826,0,0
