label,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
baseline_local_closures,2.6700000000000004,4.048115504654075,2.3187706699533273,43.82822328743316,5.275872149790536,1.7293448347007478,0.0
baseline_local_closures,2.765,4.048115498599281,2.3187706685427605,43.82822308701074,5.275872133590694,1.7293448300565206,0.0
baseline_local_closures,2.8600000000000003,4.048115492582371,2.318770667155682,43.82822288784232,5.275872117660608,1.7293448254266885,0.0
baseline_local_closures,2.955,4.048115486499493,2.318770665727306,43.82822268649029,5.275872101256231,1.7293448207721873,0.0
baseline_local_closures,3.0500000000000003,4.048115480453916,2.31877066432208,43.82822248637296,5.27587208511773,1.729344816131836,0.0
baseline_local_closures,3.145,4.048115474450873,2.318770662941594,43.828222287663586,5.275872069263349,1.7293448115092795,0.0
baseline_local_closures,3.24,4.048115468475486,2.318770661578554,43.82822208986964,5.275872053609336,1.7293448068969322,0.0
baseline_local_closures,3.3350000000000004,4.048115462441956,2.3187706601790308,43.82822189015109,5.275872037536327,1.7293448022629252,0.0
baseline_local_closures,3.43,4.048115456378795,2.3187706587654406,43.82822168945172,5.275872021301762,1.7293447976133547,0.0
baseline_local_closures,3.5250000000000004,4.048115450410428,2.318770657405126,43.828221491890154,5.275872005679049,1.729344793005302,0.0
baseline_local_closures,3.62,4.048115444385399,2.318770656009532,43.82822129245299,5.275871989651159,1.729344788375867,0.0
baseline_local_closures,3.715,4.048115438184933,2.318770654515399,43.82822108720862,5.275871972491592,1.729344783669534,0.0
baseline_local_closures,3.81,4.048115432225591,2.3187706531592545,43.82822088994578,5.275871956916769,1.729344779066336,0.0
baseline_local_closures,3.905,4.0481154262870644,2.318770651816402,43.828220693372,5.275871941494602,1.7293447744706625,0.0
baseline_local_closures,4.0,4.048115420239777,2.318770650410769,43.828220493198074,5.2758719253514235,1.7293447698290083,0.0
candidate_tail_beta0p3,0.2,3.537453489642338,2.318770705646786,28.554421377401304,5.275872559716833,1.2186827839955519,0.0
candidate_tail_beta0p3,0.295,3.537453494359806,2.318770704210207,28.55442150344341,5.275872543218247,1.2186827901495993,0.0
candidate_tail_beta0p3,0.39,3.5374534994046494,2.318770703002571,28.55442163823238,5.275872529348993,1.2186827964020783,0.0
candidate_tail_beta0p3,0.485,3.5374535048651254,2.318770702090063,28.5544217841263,5.275872518869173,1.2186828027750622,0.0
candidate_tail_beta0p3,0.5800000000000001,3.5374535094195347,2.3187707005951284,28.554421905811783,5.275872501700394,1.2186828088244064,0.0
candidate_tail_beta0p3,0.675,3.53745351421013,2.3187706992499137,28.554422033807718,5.275872486251097,1.2186828149602165,0.0
candidate_tail_beta0p3,0.77,3.5374535186863065,2.3187706977199976,28.55442215340295,5.2758724686805705,1.218682820966309,0.0
candidate_tail_beta0p3,0.865,3.5374535233470605,2.318770696300929,28.55442227792977,5.27587245238309,1.2186828270461314,0.0
candidate_tail_beta0p3,0.96,3.5374535284950177,2.3187706951587996,28.55442241547376,5.275872439266149,1.218682833336218,0.0
candidate_tail_beta0p3,1.055,3.5374535328895655,2.318770693561632,28.554422532888026,5.275872420923263,1.2186828393279336,0.0
candidate_tail_beta0p3,1.15,3.5374535375670266,2.318770692159089,28.554422657861227,5.275872404815571,1.2186828454079377,0.0
candidate_tail_beta0p3,1.245,3.5374535422218214,2.3187706907168164,28.55442278222882,5.2758723882516,1.218682851505005,0.0
candidate_tail_beta0p3,1.34,3.537453547343722,2.3187706895662994,28.55442291907663,5.275872375038334,1.2186828577774227,0.0
candidate_tail_beta0p3,1.435,3.5374535516712577,2.3187706879453756,28.55442303470046,5.275872356422617,1.2186828637258822,0.0
candidate_tail_beta0p3,1.53,3.537453556350403,2.318770686526922,28.554423159718656,5.275872340132206,1.2186828698234806,0.0
candidate_tail_beta0p3,1.625,3.5374535614071454,2.318770685342422,28.55442329482556,5.275872326528652,1.2186828760647233,0.0
candidate_tail_beta0p3,1.72,3.5374535660078115,2.318770683880256,28.554423417746932,5.275872309736211,1.2186828821275553,0.0
candidate_tail_beta0p3,1.815,3.5374535706872843,2.318770682466945,28.55442354277388,5.2758722935048485,1.2186828882203393,0.0
candidate_tail_beta0p3,1.91,3.537453575426732,2.318770681086134,28.554423669403253,5.27587227764674,1.2186828943405983,0.0
candidate_tail_beta0p3,2.005,3.537453580228187,2.3187706797449383,28.55442379768934,5.2758722622436,1.2186829004832487,0.0
