D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3
6.0,coarse,0.12,0.06,22,5.771064449791934,0.7063129059724655,5.771064449791934,232.10164121758496,206.12243752468845,20.386145994913864
6.0,coarse,0.12,0.06,23,6.310832505096844,0.7063129059724655,6.310832505096844,253.9622474574338,227.98304376453729,22.54822750187986
6.0,coarse,0.12,0.06,24,6.585151865083848,0.7063129059724655,6.585151865083848,265.07218153690746,239.09297784401096,23.647034312326646
6.0,coarse,0.12,0.06,25,6.944923440680512,0.7063129059724655,6.944923440680512,279.64293034857235,253.66372665567584,25.088126393795164
6.0,coarse,0.12,0.06,26,7.459860863866498,0.7063129059724655,7.459860863866498,300.49789598760475,274.5186922947083,27.150746937884666
6.0,coarse,0.12,0.06,27,7.6401371848609685,0.7063129059724655,7.6401371848609685,307.7990869878808,281.8198832949843,27.87285728868309
6.0,coarse,0.12,0.06,28,8.006181303393612,0.7063129059724655,8.006181303393612,322.6238737884529,296.6446700955564,29.33907451223856
6.0,coarse,0.12,0.06,29,8.090918744841407,0.7063129059724655,8.090918744841407,326.0557401670886,300.0765364741921,29.678496701642484
6.0,coarse,0.12,0.06,30,8.233043584375231,0.7063129059724655,8.233043584375231,331.81179616820856,305.8325924753121,30.24778842651682
6.0,coarse,0.12,0.06,31,8.393178776727732,0.7063129059724655,8.393178776727732,338.2972714584848,312.3180677655883,30.88922197301338
6.0,coarse,0.12,0.06,32,8.393340987548717,0.7063129059724655,8.393340987548717,338.30384099673466,312.3246373038382,30.88987172064634
6.0,coarse,0.12,0.06,33,8.451859182981002,0.7063129059724655,8.451859182981002,340.6738279117422,314.6946242188457,31.12427074986213
6.0,coarse,0.12,0.06,34,8.72293049096033,0.7063129059724655,8.72293049096033,351.65221588490493,325.67301219200846,32.210067243913855
6.0,coarse,0.12,0.06,35,9.053980555473643,0.7063129059724655,9.053980555473643,365.05974349769417,339.0805398047977,33.53611315442965
6.0,coarse,0.12,0.06,36,9.207685598179083,0.7063129059724655,9.207685598179083,371.28479772726445,345.30559403436797,34.15179025331451
6.0,coarse,0.12,0.06,37,9.386832087499895,0.7063129059724655,9.386832087499895,378.5402305447574,352.5610268518609,34.8693749784417
6.0,coarse,0.12,0.06,38,9.447877079977712,0.7063129059724655,9.447877079977712,381.01255274010896,355.0333490472125,35.1138952831022
6.0,coarse,0.12,0.06,39,9.90104565850191,0.7063129059724655,9.90104565850191,399.3658801703389,373.38667647744245,36.92909607821366
6.0,coarse,0.12,0.06,40,10.083273360393129,0.7063129059724655,10.083273360393129,406.74610209693327,380.7668984040368,37.65902283183259
6.0,fine,0.06,0.03,1,0.7194764944777152,0.7194764944777152,0.7194764944777152,27.511483880242483,1.0,0.09867368237204134
6.0,fine,0.06,0.03,2,0.8041259764256425,0.7194764944777152,0.8041259764256425,30.93978789913354,4.428304018891058,0.43695706420689046
6.0,fine,0.06,0.03,3,0.9450175938938494,0.7194764944777152,0.9450175938938494,36.64589840659591,10.134414526353428,1.0
6.0,fine,0.06,0.03,4,1.166403148906546,0.7194764944777152,1.166403148906546,45.61201338461013,19.100529504367646,1.8847195814517774
