D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.6075949367088604,fine,0.06,0.03,16,4.646363727978145,0.7304339794709322,4.646363727978145,172.16571884086648,147.43619294542722,13.463230480416629,3
4.6075949367088604,fine,0.06,0.03,17,4.987279614390609,0.7304339794709322,4.987279614390609,184.91426841326054,160.1847425178213,14.627372457737549,3
4.6075949367088604,fine,0.06,0.03,18,5.110635694178253,0.7304339794709322,5.110635694178253,189.52716901691952,164.79764312148026,15.04860243369943,3
4.6075949367088604,fine,0.06,0.03,19,5.643254735674493,0.7304339794709322,5.643254735674493,209.4444580736714,184.71493217823215,16.867362452926088,3
4.6075949367088604,fine,0.06,0.03,20,5.805373562903845,0.7304339794709322,5.805373562903845,215.506891617913,190.77736572247375,17.420957458655415,3
4.6075949367088604,fine,0.06,0.03,21,6.248560519547199,0.7304339794709322,6.248560519547199,232.07986786159123,207.35034196615197,18.93432940931137,3
4.6075949367088604,fine,0.06,0.03,22,6.694674827654785,0.7304339794709322,6.694674827654785,248.76231241327443,224.03278651783518,20.45769752869313,3
4.6075949367088604,fine,0.06,0.03,23,6.924439308753459,0.7304339794709322,6.924439308753459,257.35435518395934,232.6248292885201,21.24228542267209,3
4.6075949367088604,fine,0.06,0.03,24,7.655359175939567,0.7304339794709322,7.655359175939567,284.6871036173838,259.9575777219445,23.73819286894377,3
4.6075949367088604,fine,0.06,0.03,25,7.6723357077966945,0.7304339794709322,7.6723357077966945,285.3219410261811,260.5924151307418,23.796163453923484,3
4.6075949367088604,fine,0.06,0.03,26,8.23394350585924,0.7304339794709322,8.23394350585924,306.32326463473004,281.59373873929076,25.713912783223964,3
4.6075949367088604,fine,0.06,0.03,27,8.328938898058677,0.7304339794709322,8.328938898058677,309.87561732602796,285.1460914305887,26.03829814664945,3
4.6075949367088604,fine,0.06,0.03,28,8.48970847476927,0.7304339794709322,8.48970847476927,315.8875956471206,291.1580697516813,26.587285801329994,3
4.6075949367088604,fine,0.06,0.03,29,8.50170637740423,0.7304339794709322,8.50170637740423,316.3362572161549,291.6067313207156,26.62825562014409,3
4.6075949367088604,fine,0.06,0.03,30,8.685992031921991,0.7304339794709322,8.685992031921991,323.22761926684655,298.49809337140726,27.25754476386744,3
4.6075949367088604,fine,0.06,0.03,31,8.758354581422747,0.7304339794709322,8.758354581422747,325.93361680542733,301.20409090998805,27.504644663922768,3
4.6075949367088604,fine,0.06,0.03,32,9.074721990032266,0.7304339794709322,9.074721990032266,337.7641760503803,313.034650154941,28.584959765968172,3
4.6075949367088604,fine,0.06,0.03,33,9.379167425896838,0.7304339794709322,9.379167425896838,349.148913124536,324.41938722909674,29.624564330669845,3
4.6075949367088604,fine,0.06,0.03,34,9.46658843744273,0.7304339794709322,9.46658843744273,352.41802185129467,327.6884959558554,29.923085089885216,3
4.6075949367088604,fine,0.06,0.03,35,9.788646170856325,0.7304339794709322,9.788646170856325,364.46137079229595,339.73184489685667,31.022831219445127,3
4.6075949367088604,fine,0.06,0.03,36,9.929799422750666,0.7304339794709322,9.929799422750666,369.7397966468849,345.0102707514456,31.5048340603651,3
4.6075949367088604,fine,0.06,0.03,37,10.34045188469036,0.7304339794709322,10.34045188469036,385.0961454611197,360.3666195656804,32.907108897319425,3
4.6075949367088604,fine,0.06,0.03,38,10.463851172031003,0.7304339794709322,10.463851172031003,389.7106618112231,364.9811359157838,33.32848641620374,3
4.6075949367088604,fine,0.06,0.03,39,10.961939278812745,0.7304339794709322,10.961939278812745,408.3366665643264,383.6071406688871,35.029331981398066,3
4.6075949367088604,fine,0.06,0.03,40,11.068398320193644,0.7304339794709322,11.068398320193644,412.31770241676503,387.58817652132575,35.392862822512654,3
4.810126582278481,fine,0.06,0.03,1,0.7288582774239867,0.7288582774239867,0.7288582774239867,25.96025584335412,1.0,0.09231666145648204,4
4.810126582278481,fine,0.06,0.03,2,0.8215932742770444,0.7288582774239867,0.8215932742770444,29.465638724399703,4.505382881045584,0.41592190616131486,4
4.810126582278481,fine,0.06,0.03,3,0.9889715262688348,0.7288582774239867,0.9889715262688348,35.792536649689374,10.832280806335255,1.0,4
4.810126582278481,fine,0.06,0.03,4,1.2419136491054703,0.7288582774239867,1.2419136491054703,45.3537488929142,20.393493049560078,1.882659193771357,4
4.810126582278481,fine,0.06,0.03,5,1.5509271523063852,0.7288582774239867,1.5509271523063852,57.03445931390878,32.074203470554664,2.960983383277516,4
4.810126582278481,fine,0.06,0.03,6,1.9338341876347531,0.7288582774239867,1.9338341876347531,71.50834524932108,46.54808940596696,4.29716421113671,4
4.810126582278481,fine,0.06,0.03,7,2.3885832774753126,0.7288582774239867,2.3885832774753126,88.69786084529423,63.73760500194011,5.884042903011081,4
4.810126582278481,fine,0.06,0.03,8,2.909684493928348,0.7288582774239867,2.909684493928348,108.39548682721895,83.43523098386483,7.70246197228083,4
4.810126582278481,fine,0.06,0.03,9,3.4130426496126995,0.7288582774239867,3.4130426496126995,127.42242511208742,102.4621692687333,9.45896539247841,4
4.810126582278481,fine,0.06,0.03,10,3.5021878974338185,0.7288582774239867,3.5021878974338185,130.79211547972577,105.83185963637165,9.770043957360848,4
4.810126582278481,fine,0.06,0.03,11,3.506238983554854,0.7288582774239867,3.506238983554854,130.9452465351009,105.98499069174677,9.784180505158387,4
4.810126582278481,fine,0.06,0.03,12,3.673575204631388,0.7288582774239867,3.673575204631388,137.27055569179387,112.31029984843975,10.368111929184398,4
4.810126582278481,fine,0.06,0.03,13,3.9266045838641865,0.7288582774239867,3.9266045838641865,146.83506622679366,121.87481038343954,11.25107561024093,4
4.810126582278481,fine,0.06,0.03,14,4.164097956679725,0.7288582774239867,4.164097956679725,155.812315719221,130.85205987586687,12.079825312443718,4
4.810126582278481,fine,0.06,0.03,15,4.235530898410196,0.7288582774239867,4.235530898410196,158.5124809166328,133.5522250732787,12.329095548849761,4
4.810126582278481,fine,0.06,0.03,16,4.618450119038998,0.7288582774239867,4.618450119038998,172.98682745640158,148.02657161304745,13.665318898165395,4
4.810126582278481,fine,0.06,0.03,17,4.895266835833632,0.7288582774239867,4.895266835833632,183.45049935123868,158.49024350788454,14.631290154072778,4
4.810126582278481,fine,0.06,0.03,18,5.073197651554985,0.7288582774239867,5.073197651554985,190.17628418550584,165.21602834215173,15.252192155646963,4
4.810126582278481,fine,0.06,0.03,19,5.594430814343651,0.7288582774239867,5.594430814343651,209.8788977389174,184.91864189556327,17.07107166086515,4
4.810126582278481,fine,0.06,0.03,20,5.696055978224102,0.7288582774239867,5.696055978224102,213.72032893359847,188.76007309024436,17.425699763972894,4
4.810126582278481,fine,0.06,0.03,21,6.186828955289034,0.7288582774239867,6.186828955289034,232.27154746665286,207.31129162329876,19.138286324894093,4
4.810126582278481,fine,0.06,0.03,22,6.566303067770406,0.7288582774239867,6.566303067770406,246.6156689184488,221.65541307509466,20.462487728850196,4
4.810126582278481,fine,0.06,0.03,23,6.848320751557787,0.7288582774239867,6.848320751557787,257.27593736561175,232.31568152225765,21.446608122122157,4
4.810126582278481,fine,0.06,0.03,24,7.506669933708647,0.7288582774239867,7.506669933708647,282.16153645091424,257.20128060756014,23.743963548021767,4
4.810126582278481,fine,0.06,0.03,25,7.580278718707036,0.7288582774239867,7.580278718707036,284.94394852385335,259.98369268049925,24.000826541391714,4
4.810126582278481,fine,0.06,0.03,26,8.232422935996123,0.7288582774239867,8.232422935996123,309.5949999373808,284.6347440940267,26.27652930928066,4
4.810126582278481,fine,0.06,0.03,27,8.326052540952634,0.7288582774239867,8.326052540952634,313.13419900473696,288.17394316138285,26.603256351408877,4
4.810126582278481,fine,0.06,0.03,28,8.38054944018161,0.7288582774239867,8.38054944018161,315.1941817955922,290.2339259522381,26.79342708531844,4
4.810126582278481,fine,0.06,0.03,29,8.494200734240453,0.7288582774239867,8.494200734240453,319.4902007110165,294.5299448676624,27.190021209144305,4
