z,U1D,U2D_axis,rel_error
-42.72,0.003767411074987,0.0037674109917134047,6.572195782462498e-12
-42.7,0.0037691948391453,0.0037691949401050806,7.968041244269748e-12
-42.68,0.0037709803014421,0.0037709802854806185,1.2597268331642507e-12
-42.66,0.0037727674643143,0.0037727674935013056,2.3035238780853692e-12
-42.64,0.0037745563302044,0.0037745563313364983,8.934851160854338e-14
-42.62,0.0037763469015594,0.0037763467989861965,8.095377302712464e-12
-42.6,0.0037781391808313,0.003778139129281044,4.068497005534647e-12
-42.58,0.0037799331704759,0.003779933089390397,6.399505113808151e-12
-42.56,0.0037817288729549,0.0037817289121448994,3.09298940260993e-12
-42.54,0.0037835262907341,0.0037835263647139072,5.838702812234179e-12
-42.52,0.0037853254262839,0.0037853254470974207,1.6426639391233004e-12
-42.5,0.0037871262820801,0.0037871263921260834,8.685150944940721e-12
-42.48,0.0037889288606026,0.0037889289669692516,8.394767332403633e-12
-42.46,0.0037907331643365,0.0037907331716269255,5.753817206482783e-13
-42.44,0.0037925391957721,0.0037925392389297485,3.4061278794573146e-12
-42.42,0.0037943469574027,0.003794346936047077,1.6854482455129925e-12
-42.4,0.0037961564517294,0.003796156495809555,3.478934785727432e-12
-42.38,0.0037979676812546,0.0037979676853865385,3.261046918503736e-13
-42.36,0.0037997806484894,0.003799780737608671,7.033553595628547e-12
-42.34,0.0038015953559463,0.0038015954196453094,5.027312197359709e-12
-42.32,0.003803411806145,0.0038034117314964533,5.891481713974145e-12
-42.3,0.0038052300016091,0.0038052299059927464,7.546322379746259e-12
-42.28,0.0038070499448669,0.0038070499431341887,1.367506369001674e-13
-42.26,0.0038088716384523,0.0038088716100901365,2.2384249055004882e-12
-42.24,0.0038106950849037,0.0038106951396912336,4.3239924274088665e-12
-42.22,0.0038125202867648,0.0038125202991068363,9.740696087244228e-13
-42.2,0.0038143472465834,0.0038143473211675882,5.886402339082615e-12
-42.18,0.0038161759669134,0.0038161759730428457,4.837538035756457e-13
-42.16,0.0038180064503125,0.0038180064875632524,2.9399383605981586e-12
-42.14,0.0038198386993443,0.0038198386318981647,5.323046299730381e-12
-42.12,0.003821672716577,0.0038216726388782263,6.1322145319274635e-12
-42.1,0.0038235085045841,0.003823508508503437,3.093255486129628e-13
-42.08,0.0038253460659437,0.0038253460079431534,4.577572828325134e-12
-42.06,0.0038271854032394,0.003827185370028019,2.6211393624634432e-12
-42.04,0.0038290265190588,0.0038290265947580338,5.974404996551969e-12
-42.02,0.0038308694159964,0.003830869449302554,2.6286191365471474e-12
-42.0,0.0038327140966495,0.0038327141664922237,5.512192081176939e-12
-41.98,0.0038345605636231,0.003834560513496399,3.956145891962659e-12
-41.96,0.003836408819525,0.0038364087231457233,7.606534472128932e-12
-41.94,0.0038382588669686,0.003838258795440197,5.645230829018161e-12
-41.92,0.0038401107085735,0.00384011073037982,1.7210185532924121e-12
-41.9,0.0038419643469637,0.0038419642951339483,4.09055565105485e-12
-41.88,0.0038438197847679,0.003843819722533226,4.911742547938568e-12
-41.86,0.0038456770246213,0.003845677012577653,9.505198481366024e-13
-41.84,0.0038475360691621,0.003847536165267229,7.584897952676189e-12
-41.82,0.0038493969210363,0.003849396947771311,2.110005277200991e-12
-41.8,0.0038512595828924,0.0038512595929205418,7.914503008482379e-13
-41.78,0.0038531240573872,0.003853124100714922,3.4195505848001825e-12
-41.76,0.0038549903471792,0.0038549902383238077,8.591186017752127e-12
-41.74,0.0038568584549352,0.0038568584714084864,1.3001199475224063e-12
-41.72,0.0038587283833255,0.0038587283343076706,3.86863049523249e-12
-41.7,0.0038606001350261,0.003860600059852004,5.932959596146785e-12
-41.68,0.003862473712719,0.0038624736480414867,5.10453857496337e-12
-41.66,0.0038643491190897,0.0038643490988761187,1.5953149689263628e-12
-41.64,0.0038662263568306,0.0038662264123559,4.382219093147966e-12
-41.62,0.0038681054286385,0.0038681053556501865,5.760451222427595e-12
-41.6,0.0038699863372172,0.003869986394420266,4.514633328524508e-12
-41.58,0.0038718690852731,0.0038718690630048513,1.7574753155452905e-12
-41.56,0.00387375367552,0.0038737535942345858,6.415282695950448e-12
-41.54,0.0038756401106769,0.003875640220940113,8.702295362595705e-12
-41.52,0.0038775283934674,0.003877528477460146,6.628953238646278e-12
-41.5,0.0038794185266204,0.003879418596625328,5.524993731018787e-12
-41.48,0.0038813105128712,0.0038813105784356594,5.174538940152357e-12
-41.46,0.00388320435496,0.00388320442289114,5.361324299966685e-12
-41.44,0.0038851000556322,0.00388510012999177,5.868674789844778e-12
-41.42,0.0038869976176391,0.003886997699737549,6.479449760123852e-12
-41.4,0.0038888970437368,0.003888897132128477,6.9761297669151795e-12
-41.38,0.0038907983366878,0.0038907984271645546,7.140690170452652e-12
-41.36,0.0038927014992591,0.0038927015848457813,6.754751290534114e-12
-41.34,0.0038946065342234,0.0038946066051721573,5.599483494043858e-12
-41.32,0.0038965134443604,0.0038965134881436825,3.4555047524552666e-12
-41.3,0.0038984222324527,0.003898422233760357,1.032041246382062e-13
-41.28,0.003900332901291,0.0039003328420221806,4.677668629222938e-12
-41.26,0.0039022454536697,0.003902245545759797,7.26801989683322e-12
-41.24,0.0039041598923895,0.003904159879311919,1.0321209276830471e-12
-41.22,0.0039060762202565,0.003906076308339834,6.9517944198925615e-12
-41.2,0.0039079944400835,0.003907994367182255,5.753579531674347e-12
-41.18,0.0039099145546867,0.003909914754331112,1.575652108749806e-11
-41.16,0.0039118365668904,0.003911836538463831,2.243508011174581e-12
-41.14,0.0039137604795221,0.0039137606509029865,1.3525880990340032e-11
-41.12,0.0039156862954174,0.003915686160326004,1.0661808230076092e-11
-41.1,0.0039176140174154,0.003917613998055458,1.5279432309858076e-12
-41.08,0.003919543648362,0.003919543698430061,3.951517907533926e-12
-41.06,0.0039214751911091,0.003921475261449814,5.551494951342536e-12
-41.04,0.003923408648513,0.003923408687114716,3.046560327020069e-12
-41.02,0.0039253440234377,0.0039253439754247665,3.789321143000802e-12
-41.0,0.0039272813187506,0.003927281126379967,1.5182453184177237e-11
-40.98,0.0039292205373269,0.0039292206056416035,5.391596280413681e-12
-40.96,0.0039311616820461,0.003931161481887102,1.579713370193492e-11
-40.94,0.0039331047557947,0.003933104686439037,5.473751809012813e-12
-40.92,0.0039350497614635,0.003935049753636122,6.177596113301111e-13
-40.9,0.0039369967019512,0.003936996683478355,1.457930954674508e-12
-40.88,0.0039389455801604,0.003938945475965738,8.223347525736216e-12
-40.86,0.0039408963989999,0.003940896596759558,1.5607770747870342e-11
-40.84,0.0039428491613858,0.003942849114537239,3.697425465267686e-12
-40.82,0.003944803870238,0.003944803960621357,7.133318965564277e-12
-40.8,0.0039467605284835,0.003946760669350624,1.1117645580324067e-11
-40.78,0.0039487191390555,0.0039487192407250404,8.024057609590586e-12
-40.76,0.0039506797048923,0.003950679674744606,2.3793442298457467e-12
-40.74,0.0039526422289377,0.003952642437070608,1.642645805466401e-11
-40.72,0.0039546067141433,0.003954606596380472,9.294186925589578e-12
-40.7,0.0039565731634651,0.003956573083996773,6.2718728517663255e-12
-40.68,0.003958541579865,0.003958541434258223,1.1491712870534635e-11
-40.66,0.0039605119663127,0.003960512112826109,1.1563266884183378e-11
-40.64,0.0039624843257809,0.003962484188377857,1.0844250137530024e-11
-40.62,0.0039644586612512,0.003964458592236042,5.446878194979993e-12
-40.6,0.0039664349757097,0.003966434858739376,9.231640184778988e-12
-40.58,0.0039684132721488,0.003968413453549147,1.4316646093609052e-11
-40.56,0.0039703935535669,0.003970393445342779,8.541364223262979e-12
-40.54,0.0039723758229694,0.003972375765442848,4.540163792379813e-12
-40.52,0.0039743600833666,0.0039743599481880665,1.0668685328752689e-11
-40.5,0.0039763463377752,0.003976346459239721,9.586335403643285e-12
-40.48,0.0039783345892181,0.003978334367275238,1.751637996237295e-11
-40.46,0.0039803248407248,0.003980325069278479,1.8038124975110604e-11
-40.44,0.0039823170953307,0.003982317168265581,5.756234205945996e-12
-40.42,0.0039843113560768,0.003984311129897833,1.785070579298887e-11
-40.4,0.0039863076260112,0.003986307419836521,1.627190884674785e-11
