preset,D,z,rel_error
physical_gap,6.0,48.400000000000006,2.0384448288080097e-13
physical_gap,6.0,48.80000000000001,6.5502985531860425e-12
physical_gap,6.0,49.19999999999999,2.068122211505559e-12
physical_gap,6.0,49.6,7.285243140105116e-12
physical_gap,6.0,50.0,5.3643727258218965e-12
physical_gap,6.0,50.400000000000006,3.745695322665226e-12
physical_gap,6.0,50.80000000000001,6.078451045864415e-12
physical_gap,6.0,51.19999999999999,9.134239720260036e-12
physical_gap,6.0,51.6,3.8060825906915594e-12
physical_gap,6.0,52.0,5.563278610955047e-12
physical_gap,6.0,52.400000000000006,2.742496550915882e-13
physical_gap,6.0,52.80000000000001,1.5318467932773634e-12
physical_gap,6.0,53.19999999999999,3.882310282298596e-12
physical_gap,6.0,53.6,9.104989837325933e-12
physical_gap,6.0,54.0,7.1471808764287254e-12
physical_gap,6.0,54.400000000000006,8.330866249067838e-12
physical_gap,6.0,54.80000000000001,5.880455026720992e-12
physical_gap,6.0,55.19999999999999,5.8748507409910146e-12
physical_gap,6.0,55.6,6.042789111434336e-12
physical_gap,6.0,56.0,3.6046269381542506e-12
physical_gap,6.0,56.400000000000006,6.978171155297203e-12
physical_gap,6.0,56.80000000000001,3.1972434858344838e-12
physical_gap,6.0,57.20000000000002,1.8138750615587124e-12
physical_gap,6.0,57.6,1.3505506810260842e-12
physical_gap,6.0,58.0,5.348042474449786e-12
physical_gap,6.0,58.400000000000006,3.642878172592714e-12
physical_gap,6.0,58.80000000000001,2.0452647677884533e-12
physical_gap,6.0,59.20000000000002,8.83428774572369e-14
physical_gap,6.0,59.6,8.11424102926396e-12
physical_gap,6.0,60.0,6.4760990724262874e-12
physical_gap,6.0,60.400000000000006,7.265862135417112e-12
physical_gap,6.0,60.80000000000001,6.038988984233663e-13
physical_gap,6.0,61.20000000000002,8.352268105720084e-12
physical_gap,6.0,61.6,1.53926232260078e-12
physical_gap,6.0,62.0,2.6567565275027635e-12
physical_gap,6.0,62.400000000000006,3.659797442654108e-12
physical_gap,6.0,62.80000000000001,4.327180672041794e-13
physical_gap,6.0,63.20000000000002,5.501849804273656e-12
physical_gap,6.0,63.6,9.376955055531076e-13
physical_gap,6.0,64.0,6.065629270333143e-12
physical_gap,6.0,64.4,3.92907923560271e-12
physical_gap,6.0,64.80000000000001,3.9341099734114655e-12
physical_gap,6.0,65.20000000000002,8.727931075592131e-12
physical_gap,6.0,65.6,5.377313304530024e-12
physical_gap,6.0,66.0,5.902334834269698e-12
physical_gap,6.0,66.4,3.7289203551660976e-12
physical_gap,6.0,66.80000000000001,2.2272039779625024e-12
physical_gap,6.0,67.20000000000002,6.834074094119447e-12
physical_gap,6.0,67.6,1.070419772383397e-12
physical_gap,6.0,68.0,1.747561086043261e-12
physical_gap,6.0,68.4,4.881889168140648e-13
physical_gap,6.0,68.80000000000001,4.18796648646478e-12
physical_gap,6.0,69.20000000000002,5.801241682242424e-12
physical_gap,6.0,69.6,8.287664779578315e-12
physical_gap,6.0,70.0,1.6365969679007474e-12
physical_gap,6.0,70.4,5.264011354814838e-12
physical_gap,6.0,70.80000000000001,4.277003597525058e-12
physical_gap,6.0,71.20000000000002,4.265361228466871e-12
physical_gap,6.0,71.6,8.954282411311175e-12
physical_gap,6.0,72.0,4.616223461862049e-12
physical_gap,6.0,72.4,5.895386405768679e-12
physical_gap,6.0,72.80000000000001,3.319818210042352e-12
physical_gap,6.0,73.20000000000002,1.1561755061561167e-12
physical_gap,6.0,73.6,7.71528349802237e-12
physical_gap,6.0,74.0,1.9505152467585883e-12
physical_gap,6.0,74.4,7.771434924517472e-12
physical_gap,6.0,74.80000000000001,2.2900013657520926e-12
physical_gap,6.0,75.20000000000002,1.3001346995158446e-12
physical_gap,6.0,75.6,1.4210429276482571e-12
physical_gap,6.0,76.0,6.759486954246738e-12
physical_gap,6.0,76.4,4.948656040122866e-12
physical_gap,6.0,76.80000000000001,6.230206479505832e-12
physical_gap,6.0,77.20000000000002,4.719808673959519e-12
physical_gap,6.0,77.6,2.235295566159225e-12
physical_gap,6.0,78.0,7.590084527668529e-12
physical_gap,6.0,78.4,8.394898183612251e-12
physical_gap,6.0,78.80000000000001,7.88144834342624e-12
physical_gap,6.0,79.20000000000002,6.597128191604696e-12
physical_gap,6.0,79.6,2.472862353038181e-12
physical_gap,6.0,80.0,9.110669046753444e-12
physical_gap,12.0,-80.0,9.300380559860509e-13
physical_gap,12.0,-79.6,4.654401284128439e-12
physical_gap,12.0,-79.2,3.92485592824347e-12
physical_gap,12.0,-78.8,9.099661678111982e-12
physical_gap,12.0,-78.4,3.989926784813955e-12
physical_gap,12.0,-78.0,7.521834744221217e-12
physical_gap,12.0,-77.6,2.2216220852613326e-12
physical_gap,12.0,-77.2,2.885102272313913e-12
physical_gap,12.0,-76.8,2.2456292714171524e-12
physical_gap,12.0,-76.4,5.3391187338552985e-12
physical_gap,12.0,-76.0,4.343077052278487e-12
physical_gap,12.0,-75.6,6.837694757050359e-12
physical_gap,12.0,-75.2,3.226722051841827e-12
physical_gap,12.0,-74.8,1.2165593721286524e-12
physical_gap,12.0,-74.4,4.760521380519793e-12
physical_gap,12.0,-74.0,9.000508761104135e-12
physical_gap,12.0,-73.6,2.217339815081019e-12
physical_gap,12.0,-73.2,7.028202919069362e-12
physical_gap,12.0,-72.8,4.958283764513796e-12
physical_gap,12.0,-72.4,7.649245458957529e-12
physical_gap,12.0,-72.0,2.4225067312066815e-12
physical_gap,12.0,-71.6,9.131254068798384e-12
physical_gap,12.0,-71.2,3.1042199564633664e-13
physical_gap,12.0,-70.8,4.146037460224817e-12
physical_gap,12.0,-70.4,7.36493922190521e-12
physical_gap,12.0,-70.0,9.967331560582675e-13
physical_gap,12.0,-69.6,7.97599521093344e-12
physical_gap,12.0,-69.2,4.5315011022275e-12
physical_gap,12.0,-68.8,4.9814254220757524e-12
physical_gap,12.0,-68.4,3.918940067084592e-12
physical_gap,12.0,-68.0,7.992353329505281e-13
physical_gap,12.0,-67.6,5.515683428434606e-12
physical_gap,12.0,-67.2,5.916382775376766e-13
physical_gap,12.0,-66.8,6.850204649046779e-12
physical_gap,12.0,-66.4,2.1207256250200635e-12
physical_gap,12.0,-66.0,5.701970658825649e-12
